State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Pune,11971755,2300.7551020408164,275.0,0.05639094498160978,0.0035230686427479632,0.10115878181338064,0.105,1.7938834301565714
Delhi,Delhi,19960711,5706.428571428572,571.2857142857143,0.04390150750223975,0.00384874259989694,0.0652040991754871,0.495,1.485235994963511
Maharashtra,Mumbai,12875246,17594.020408163266,1519.5714285714287,0.02256537204063891,0.002309622294991253,0.07350307848840099,0.495,3.257339535817369
Tamil_Nadu,Chennai,4937551,5426.142857142857,572.2857142857143,0.07202157029800406,0.0011915499593269905,0.08998698505931346,0.44,1.2494449188899077
Maharashtra,Thane,14587316,3645.918367346939,365.14285714285717,0.042882924188807785,0.0023473415984094667,0.11746257728852297,0.36,2.739145697512393
Karnataka,Bengaluru_Urban,13624407,110.06122448979592,5.142857142857143,0.04111088624670112,0.0058101675281232576,0.06481457266000652,0.1,1.5765793097006628
Andhra_Pradesh,East_Godavari,5393020,15.061224489795917,0.2857142857142857,0.036067090860183955,0.0011795779288446895,0.03142147589313896,0.495,0.871195184966429
Andhra_Pradesh,Kurnool,4591225,182.0,3.2857142857142856,0.0626282469422214,0.0022063504190802208,0.01943625614071332,0.26,0.3103432890057504
Andhra_Pradesh,Anantapur,4523180,43.57142857142857,2.0,0.09196803274403954,0.0004274561879067158,0.051865598613791086,0.495,0.5639524633319125
West_Bengal,Kolkata,4429215,740.1224489795919,45.857142857142854,0.04768188123287528,0.005023304301384049,0.07270821347089218,0.49,1.5248604205817695
Maharashtra,Nashik,7319991,308.8367346938776,16.571428571428573,0.1084258909046154,0.006928972132981304,0.000848683222843445,0.335,0.007827311500627189
Andhra_Pradesh,West_Godavari,4061068,21.571428571428573,0.42857142857142855,0.024527774157368447,0.0004799479998139228,0.017681700537660987,0.495,0.7208848395380869
Andhra_Pradesh,Visakhapatnam,4749686,37.10204081632653,0.7142857142857143,0.10031371804972354,0.0007003501787623881,0.07991547867343805,0.495,0.7966555345284433
Andhra_Pradesh,Chittoor,4601128,104.02040816326532,2.2857142857142856,0.05004492229985857,0.0010647864775608815,0.0739684352643734,0.085,1.478040765478068
Andhra_Pradesh,Guntur,5302318,107.28571428571426,1.2857142857142858,0.046550861562675225,0.00021613360917569697,0.010119660145749857,0.16,0.217389320112259
West_Bengal,North_24_Parganas,11087990,215.9591836734694,14.142857142857142,0.044952466173802004,0.0029115165845330455,0.07636006527086771,0.495,1.6986846722854516
Andhra_Pradesh,S.P.S._Nellore,3256832,64.79591836734694,3.5714285714285716,0.052622735926246604,0.00052547996187026,0.0997032211895899,0.185,1.894679541735134
Maharashtra,Raigad,3087777,352.44897959183675,45.57142857142857,0.07156582283172998,0.004828037635658796,0.11609386523902024,0.355,1.6221970298865616
Assam,Kamrup_Metropolitan,1459166,65.10204081632652,18.571428571428573,0.08488461451118556,0.0003725798183442974,0.34914121728269054,0.08,4.113127205598405
Maharashtra,Nagpur,5252740,173.89795918367346,14.285714285714286,0.07390088639837543,0.0024127799648721933,0.044368311743263285,0.19,0.6003759075918017
Maharashtra,Jalgaon,4791614,168.71428571428572,18.0,0.08371013474147469,0.014222890683434398,0.09571711685051418,0.08,1.1434352261661163
Uttar_Pradesh,Lucknow,5643953,64.85714285714286,4.571428571428571,0.05268664967273811,0.00038230098354325153,0.0618237311358021,0.08,1.1734230876288159
Andhra_Pradesh,Y.S.R._Kadapa,3160870,33.9795918367347,0.42857142857142855,0.057420614097015696,0.00022928772585887423,0.014844361395041875,0.325,0.2585197255111449
Tamil_Nadu,Thiruvallur,1356153,396.14285714285717,29.285714285714285,0.0576250005261973,0.001186532135793625,0.06702552926907993,0.11,1.1631328183434722
