State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Andhra_Pradesh,Anantapur,4523180,2111.714285714286,373.57142857142856,0.21098752521977263,0.0016908188326378254,0.1627173356988794,0.28,0.7712178031823769
Andhra_Pradesh,Chittoor,4601128,6080.428571428572,614.7142857142857,0.11614168361841862,0.0010092441799209526,0.09716726718203693,0.08,0.8366269900243414
Andhra_Pradesh,East_Godavari,5393020,10341.142857142857,861.7142857142857,0.12149979712435979,0.0003400352050461354,0.09973200920235471,0.48,0.8208409525184236
Andhra_Pradesh,Guntur,5302318,6047.857142857143,415.2857142857143,0.09670316995480967,0.0006072779245808187,0.08277331726312741,0.2,0.8559524708632424
Andhra_Pradesh,Krishna,4836115,2712.285714285714,306.7142857142857,0.12618804349678162,0.001561335087489117,0.11920890931840454,0.08,0.9446925874672503
Andhra_Pradesh,Kurnool,4591225,1916.7142857142858,159.0,0.15869151231030112,0.0009912067142638932,0.09542699907825938,0.52,0.6013365030617642
Andhra_Pradesh,Prakasam,3733488,9629.285714285714,516.0,0.0892187279331682,0.0007209172928295469,0.048376241179776666,0.52,0.5422207007481014
Andhra_Pradesh,S.P.S._Nellore,3256832,2360.5714285714284,395.2857142857143,0.21427502143326957,0.0010240752061987859,0.1986094193990364,0.44,0.9268902089966103
Andhra_Pradesh,Srikakulam,2861294,3937.4285714285716,323.42857142857144,0.11644994748501382,0.0002463366109242734,0.08693489220574334,0.4,0.7465429919316294
Andhra_Pradesh,Visakhapatnam,4749686,3968.8571428571427,254.14285714285714,0.09039560431226853,0.0010313702962716292,0.07923283534256846,0.08,0.8765120377851707
Andhra_Pradesh,Vizianagaram,2433613,3864.8571428571427,310.0,0.15560971560614853,0.000130081171879333,0.07432485805475277,0.52,0.477636359434462
Andhra_Pradesh,West_Godavari,4061068,6249.571428571428,722.2857142857143,0.10235012723051175,0.0005242149612002942,0.09620531601431567,0.52,0.9399628375414053
Andhra_Pradesh,Y.S.R._Kadapa,3160870,3321.285714285714,333.42857142857144,0.09878747785926587,0.0005888479585330435,0.09490955227710607,0.36,0.9607447657719904
Bihar,Araria,3566532,481.7142857142857,37.142857142857146,0.13049870822403029,0.00034337724064843376,0.09753954068068281,0.4,0.747436829131169
Bihar,Begusarai,3668866,211.71428571428572,27.428571428571427,0.1628924208367604,0.0004500838334021029,0.11568124711210384,0.52,0.7101696108257342
Bihar,Bhagalpur,3723123,363.0,39.42857142857143,0.1349159889293825,0.0010662944515980718,0.09557519699799186,0.08,0.7084052657985382
Bihar,East_Champaran,6432169,430.2857142857143,35.285714285714285,0.11342444886486033,0.0006323898893603341,0.0827972216435066,0.44,0.7299768477795773
Bihar,Gaya,5423337,323.85714285714283,37.714285714285715,0.10956349455059998,0.0007651134126896122,0.09473495087963256,0.52,0.8646579891250263
Bihar,Katihar,3844591,258.57142857142856,23.714285714285715,0.11261790441556128,0.0002207706549364066,0.10715911308506709,0.52,0.951528210733249
Bihar,Madhubani,5505630,455.0,34.42857142857143,0.11043885055551528,0.00026383552201121764,0.045239075092644736,0.44,0.40963007913509575
Bihar,Muzaffarpur,6001439,692.8571428571429,58.0,0.11496173751219362,0.0005192641948450024,0.07872932698776038,0.52,0.6848306983826667
Bihar,Nalanda,3426197,464.85714285714283,39.857142857142854,0.11698954511123837,0.0008004658976018106,0.08473771195949607,0.12,0.7243186720567556
Bihar,Patna,7071903,2023.7142857142858,205.57142857142858,0.11518594693604386,0.0006184975778117553,0.108521235848152,0.48,0.9421395468355841
Bihar,Purnia,4086253,685.4285714285714,93.28571428571429,0.1272581356857624,0.000197012874688986,0.16805248078233778,0.08,1.3205637492388584
Bihar,Rohtas,3490729,316.2857142857143,27.428571428571427,0.11940536147733773,0.0008337349568587495,0.06368802862198703,0.4,0.5333766242487742
Bihar,Saran,4713945,301.2857142857143,23.857142857142858,0.11213723365655837,0.0006082676350739913,0.08417138696751894,0.52,0.7506105173354806
Chandigarh,Chandigarh,1217412,2168.1428571428573,138.57142857142858,0.11518693325630311,0.0014125384351040876,0.08210623074661587,0.52,0.7128085488995598
Chhattisgarh,Bilaspur,3449806,1032.142857142857,146.14285714285714,0.21006794385322186,0.0006937452154322616,0.11183204210778827,0.36,0.5323612925250855
Chhattisgarh,Durg,3910011,2516.285714285714,274.0,0.07269250435533549,0.002221730535813607,0.016079285415508557,0.12,0.22119592051623088
Chhattisgarh,Raigarh,1734652,1487.0,196.0,0.07655298235604982,0.001532798696188031,0.10083943982545529,0.2,1.3172503111171887
Chhattisgarh,Raipur,5313458,10687.285714285714,503.2857142857143,0.04371547539207883,0.0007549533666860843,0.05826024990739787,0.52,1.3327145452467053
Chhattisgarh,Rajnandgaon,1808337,1664.857142857143,105.42857142857143,0.11489177623010359,0.00014543510572153045,0.041245570574449615,0.52,0.35899497708037503
Delhi,Delhi,19960711,28325.0,2727.4285714285716,0.10788092532159842,0.0011466806164213228,0.08711584758903235,0.08,0.8075185425906912
Gujarat,Ahmedabad,8654594,4267.428571428572,168.0,0.03926368617236132,0.0009875296061649353,0.034869556971859755,0.52,0.888086686990823
Gujarat,Jamnagar,2419637,360.2857142857143,85.85714285714286,0.22692194267410382,0.001145090463022205,0.22994374468296644,0.2,1.0133164821931848
Gujarat,Rajkot,4483728,1453.0,133.42857142857142,0.11541017051690294,0.0008684377655562866,0.0894190726524081,0.08,0.7747936967072743
Gujarat,Surat,8350343,2637.5714285714284,253.85714285714286,0.10891854577725121,0.0017727173968887925,0.11048769109917347,0.12,1.014406594494305
Gujarat,Vadodara,4701190,1838.2857142857142,115.14285714285714,0.07737816365597013,0.0010829419131359538,0.09310056836335198,0.08,1.2031891681648714
Haryana,Ambala,1241797,920.0,60.142857142857146,0.11824263049423675,0.0016802409790370018,0.046539160181893184,0.52,0.39359036573667516
Haryana,Faridabad,2331927,1325.5714285714287,158.85714285714286,0.1610904187564731,0.0009383672327088644,0.12507083802605837,0.24,0.7764014706246001
Haryana,Hisar,1953751,1259.857142857143,109.57142857142857,0.10371543105035573,0.0017479573840717198,0.08856864352028873,0.2,0.8539582068292908
Haryana,Karnal,1748994,973.4285714285714,57.42857142857143,0.1140132787204299,0.0011213735822606585,0.02712018241892663,0.52,0.23786863006920084
Haryana,Kurukshetra,1109898,960.0,94.14285714285714,0.25759635296900235,0.0013267498707707757,0.1254885683442048,0.16,0.48715196041345105
Haryana,Panchkula,660535,949.5714285714286,80.42857142857143,0.1563704615445413,0.0007623581560050216,0.10854574195413277,0.44,0.6941575850194323
Haryana,Panipat,1469296,854.2857142857143,46.142857142857146,0.1235434318612978,0.0005938466908370398,0.07344818478194608,0.12,0.5945130686057544
Haryana,Rewari,1042054,584.8571428571429,71.57142857142857,0.12351120658508594,0.0006770074824464856,0.12451427341588928,0.2,1.0081212616938717
Haryana,Rohtak,1183449,799.1428571428571,85.57142857142857,0.12362310905333075,0.001387194043995616,0.14131020597665975,0.08,1.1430727398685534
Haryana,Sonipat,1623165,692.4285714285714,99.42857142857143,0.16591390361998484,0.0008321545519002674,0.11921873094862388,0.32,0.7185578082816177
Jharkhand,Ranchi,3536714,3694.714285714286,308.7142857142857,0.07284992695756386,0.0002069629969610953,0.06108875166676014,0.12,0.8385561141652925
Karnataka,Belagavi,5352819,2316.285714285714,130.71428571428572,0.06273623622920173,0.0010385567870408305,0.059086551121797885,0.2,0.9418249272387011
Karnataka,Bengaluru_Rural,1136459,2085.5714285714284,195.0,0.07001423275476315,0.0014337141118561827,0.10520717228468733,0.52,1.5026540768245433
Karnataka,Bengaluru_Urban,13624407,44936.71428571428,3456.5714285714284,0.07821759119873582,0.0007984042867594321,0.10100271517491309,0.52,1.291304342501224
Karnataka,Bidar,1907010,500.42857142857144,41.857142857142854,0.11800374390136627,0.0006077635425894541,0.10744124756950744,0.12,0.9104901591877669
Karnataka,Chikkaballapura,1358942,1495.7142857142858,101.28571428571429,0.015583560553467952,0.0004507247385168684,0.04022826907129776,0.32,2.581455562306998
Karnataka,Chitradurga,1798113,1316.857142857143,127.0,0.11438061948523767,0.0006265609053480616,0.08824397277377367,0.16,0.7714940972597436
Karnataka,Dakshina_Kannada,2278916,5454.0,273.7142857142857,0.02929702946981946,0.0011213919519795818,0.050072421033097225,0.48,1.7091296264244018
Karnataka,Davanagere,2095957,2882.285714285714,132.57142857142858,0.04739576128570199,0.0004127416280872595,0.050624001800644094,0.52,1.0681124308876957
Karnataka,Dharwad,2096774,2521.5714285714284,149.28571428571428,0.05751006754132431,0.0010063600811616293,0.05810471619534791,0.24,1.0103399053321631
Karnataka,Gadag,1155573,665.2857142857143,60.285714285714285,0.1500773558993813,0.0013682070162405401,0.10943908076477513,0.4,0.7292178097683709
Karnataka,Hassan,1827184,3082.1428571428573,302.14285714285717,0.057797389649680335,0.0015207799690462392,0.08723854486770917,0.16,1.5093855517779715
Karnataka,Haveri,1755246,1739.5714285714287,96.28571428571429,0.046286108160389396,0.0012185326265682732,0.0712812615553682,0.16,1.540014150862852
Karnataka,Kalaburagi,2978691,2617.5714285714284,145.14285714285714,0.03223392690684015,0.0005937945038867866,0.059525428491836514,0.12,1.8466700834767054
Karnataka,Kolar,1684505,1110.2857142857142,84.0,0.03748002026458228,0.0008656867806917848,0.05691123528270549,0.32,1.5184419560329117
Karnataka,Koppal,1591085,2191.0,108.28571428571429,0.0772301514504559,0.0008923863695299656,0.02305589696752161,0.52,0.29853491848079894
Karnataka,Mandya,1844483,1851.142857142857,193.42857142857142,0.05199978065381434,0.0005709631435827162,0.12048783572503764,0.08,2.31708353785526
Karnataka,Mysuru,3367012,6455.571428571428,420.7142857142857,0.007889823307021718,0.000473689259467354,0.06250485721525789,0.08,7.922212549377417
Karnataka,Raichur,2196148,1560.857142857143,78.85714285714286,0.08108152984864489,0.00034566553154238275,0.0706250970054693,0.12,0.87103804204614
Karnataka,Shivamogga,1858248,3130.4285714285716,196.71428571428572,0.0696989885511189,0.001937016929001179,0.06529448356280777,0.08,0.9368067588946322
Karnataka,Tumakuru,2766758,3362.1428571428573,206.42857142857142,0.04469510338389459,0.0009215212009993374,0.06698891438168532,0.52,1.4987976156203293
Karnataka,Udupi,1239220,1815.7142857142858,175.71428571428572,0.06747430786668934,0.00029236112499771713,0.11757547342161126,0.44,1.7425221115851686
Karnataka,Uttara_Kannada,1516739,2347.714285714286,106.14285714285714,0.023367389840118966,0.0001279340823320434,0.041966049110270146,0.52,1.7959236952609718
Karnataka,Vijayapura,2575205,666.5714285714286,88.57142857142857,0.12968400741733954,0.0014919638225470392,0.14853570955248235,0.12,1.1453664373161732
Karnataka,Yadgir,1412778,793.4285714285714,71.57142857142857,0.1147553417988407,0.00031774726076256275,0.093864078884324,0.08,0.8179495386703842
