,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,2,2
2,0,0,2,2
3,0,0,2,2
4,0,0,3,3
5,0,0,6,6
6,0,0,6,6
7,0,0,6,6
8,0,0,13,13
9,0,0,13,13
10,0,0,15,15
11,0,0,15,15
12,0,0,15,15
13,0,0,15,15
14,0,0,20,20
15,0,0,21,21
16,0,0,21,21
17,0,0,26,26
18,0,0,26,26
19,1,0,28,29
20,3,1,29,33
21,5,1,30,36
22,7,2,27,36
23,8,2,32,42
24,10,3,33,46
25,12,3,36,51
26,14,4,35,53
27,14,4,35,53
28,14,4,36,54
29,17,4,37,58
30,20,4,37,61
31,22,4,41,67
32,24,4,43,71
33,24,4,50,78
34,24,4,50,78
35,24,4,52,80
36,34,4,42,80
37,39,4,40,83
38,42,4,53,99
39,44,4,54,102
40,45,4,58,107
41,45,4,66,115
42,48,4,63,115
43,49,4,65,118
44,52,4,62,118
45,56,4,62,122
46,93,4,25,122
47,71,4,47,122
48,73,4,45,122
49,73,4,45,122
50,92,4,40,136
51,92,4,40,136
52,92,4,40,136
53,92,4,40,136
54,92,4,40,136
55,92,4,40,136
56,92,4,40,136
57,104,4,98,206
58,104,4,101,209
59,116,4,89,209
60,130,4,75,209
61,141,4,71,216
62,150,4,66,220
63,162,4,57,223
64,164,4,63,231
65,165,4,69,238
66,165,4,86,255
67,166,4,104,274
68,173,4,111,288
69,173,4,129,306
70,173,5,128,306
71,174,5,172,351
72,175,5,186,366
73,175,5,223,403
74,177,5,236,418
75,194,5,264,463
76,194,6,285,485
77,202,6,305,513
78,202,6,372,580
79,205,6,431,642
80,211,6,475,692
81,230,6,553,789
82,288,6,506,800
83,299,7,564,870
84,310,7,621,938
85,347,7,674,1028
86,347,7,726,1080
87,388,7,764,1159
88,463,7,850,1320
89,702,7,662,1371
90,838,7,622,1467
91,915,8,648,1571
92,1005,8,676,1689
93,1083,9,731,1823
94,1111,9,852,1972
95,1139,9,951,2099
96,1247,12,927,2186
97,1359,13,956,2328
98,1443,16,1022,2481
99,1517,18,1033,2568
100,1655,20,984,2659
101,1703,22,1125,2850
102,1821,23,1317,3161
103,1893,24,1373,3290
104,2072,30,1364,3466
105,2155,40,1456,3651
106,2205,49,1559,3813
107,2404,52,1531,3987
108,2500,58,1726,4284
109,2616,65,1823,4504
110,2732,68,2341,5141
111,3091,74,2318,5483
112,3255,80,2606,5941
113,3980,80,2206,6266
114,4315,81,2886,7282
115,4711,81,3474,8266
116,4740,81,4168,8989
117,4926,83,4714,9723
118,5029,86,5132,10247
119,5228,89,5670,10987
120,5384,97,6877,12358
121,5772,105,7435,13312
122,6158,114,8427,14699
123,6885,120,8822,15827
124,8011,122,8390,16523
125,9473,124,7879,17476
126,10944,130,7727,18801
127,12667,132,7262,20061
128,14263,142,6768,21173
129,15496,151,6626,22273
130,16162,162,6925,23249
131,16927,170,7010,24107
132,17597,175,6966,24738
133,19076,188,6433,25697
134,19625,195,6658,26478
135,20689,203,6442,27334
136,21517,209,6370,28096
137,22437,216,6294,28947
138,23322,224,5981,29527
139,24300,229,5533,30062
140,25218,238,5051,30507
141,25794,246,5590,31630
142,26554,254,5795,32603
143,27367,262,5678,33307
144,28076,273,5978,34327
145,28599,276,5918,34793
146,29238,282,6206,35726
147,30021,293,5906,36220
148,30672,299,5977,36948
149,31546,305,5912,37763
150,32494,310,5792,38596
151,33220,316,5924,39460
152,33929,323,5903,40155
153,34603,330,6195,41128
154,35464,337,5783,41584
155,36052,341,6001,42394
156,36726,348,6174,43248
157,37472,351,6175,43998
158,38195,359,5993,44547
159,38913,367,6020,45300
160,39527,371,5986,45884
161,40241,379,5705,46325
162,41344,385,5397,47126
163,42191,391,4966,47548
164,43127,397,4581,48105
165,43856,400,4529,48785
166,44611,407,4288,49306
167,45367,414,4008,49789
168,46166,420,3502,50088
169,46818,425,3570,50813
170,47392,429,3537,51358
171,48104,434,3283,51821
172,48801,439,3058,52298
173,49356,446,3035,52837
174,49895,451,2996,53342
175,50633,457,2561,53651
176,51216,460,2587,54263
177,51838,466,2456,54760
178,52342,472,2402,55216
179,52991,474,2264,55729
180,53495,477,2237,56209
181,53903,479,2137,56519
182,54446,483,1866,56795
183,54950,487,1938,57375
184,54950,487,1938,57375
