,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.7142857142857142,6
3,0,0,2.8571428571428568,9
4,0,0,4.0,9
5,0,0,5.285714285714286,10
6,0,0,7.571428571428571,17
7,0,0,9.857142857142858,17
8,0,0,12.285714285714285,18
9,0,0,14.285714285714285,20
10,0,0,15.857142857142858,20
11,0,0,17.428571428571427,20
12,0,0,18.857142857142858,20
13,0,0,19.428571428571427,21
14,1,0,20.142857142857142,23
15,2,0,20.571428571428573,23
16,3,0,20.571428571428573,23
17,4,0,20.428571428571427,23
18,5,0,20.857142857142858,28
19,6,0,21.142857142857142,28
20,6,0,21.285714285714285,28
21,7,0,24.714285714285715,53
22,8,0,28.142857142857146,53
23,9,0,32.42857142857143,59
24,10,0,38.714285714285715,73
25,11,0,44.28571428571429,73
26,12,0,49.85714285714285,73
27,13,0,55.28571428571429,73
28,16,0,56.85714285714285,73
29,16,0,58.714285714285715,74
30,16,0,60.28571428571429,77
31,16,0,60.42857142857143,80
32,22,0,59.85714285714285,80
33,24,0,59.14285714285714,80
34,37,0,56.85714285714285,81
35,45,0,54.0,82
36,48,0,50.57142857142857,82
37,68,0,43.85714285714285,82
38,68,0,36.714285714285715,82
39,74,0,30.0,85
40,74,0,25.142857142857146,96
41,74,0,24.285714285714285,112
42,74,0,25.714285714285715,121
43,74,0,29.0,131
44,74,0,36.714285714285715,142
45,77,0,45.28571428571429,151
46,77,0,56.28571428571429,165
47,77,0,66.85714285714286,173
48,77,0,75.71428571428571,177
49,82,0,84.71428571428571,192
50,82,1,92.14285714285714,192
51,97,1,98.14285714285714,208
52,97,1,103.28571428571428,208
53,97,1,106.42857142857143,208
54,97,1,108.42857142857143,208
55,97,1,109.85714285714286,208
56,97,1,109.85714285714286,208
57,97,1,110.0,208
58,151,1,106.0,234
59,158,1,101.57142857142857,238
60,175,1,95.85714285714286,246
61,180,1,90.42857142857143,253
62,187,2,84.42857142857143,257
63,191,2,78.57142857142857,262
64,194,2,72.57142857142857,264
65,198,4,70.85714285714286,272
66,207,4,69.57142857142857,281
67,209,4,69.85714285714286,285
68,210,4,71.57142857142857,298
69,213,4,73.57142857142857,299
70,213,4,76.0,303
71,213,4,78.57142857142857,303
72,221,4,83.14285714285714,327
73,223,4,88.0,331
74,232,4,93.28571428571428,345
75,232,4,97.57142857142857,350
76,235,4,102.14285714285714,353
77,237,4,106.71428571428572,359
78,240,5,111.28571428571428,363
79,253,5,115.28571428571428,388
80,257,5,121.0,406
81,262,5,133.57142857142858,464
82,268,5,151.85714285714286,515
83,272,6,176.14285714285714,562
84,272,6,204.0,591
85,275,6,235.14285714285717,617
86,284,6,269.0,657
87,289,6,306.14285714285717,699
88,290,6,339.2857142857143,725
89,310,6,375.1428571428572,809
90,335,6,413.1428571428572,891
91,338,6,454.57142857142856,947
92,369,6,503.57142857142856,1054
93,399,6,548.8571428571429,1089
94,411,6,593.8571428571429,1136
95,411,8,641.7142857142858,1183
96,463,10,682.2857142857142,1250
97,463,12,725.0,1324
98,574,13,761.2857142857142,1444
99,732,15,773.2857142857142,1510
100,903,16,796.4285714285713,1765
101,998,17,834.5714285714287,2001
102,1057,19,887.2857142857142,2209
103,1126,19,971.1428571428572,2509
104,1174,21,1060.2857142857142,2668
105,1183,24,1170.5714285714287,2836
106,1236,29,1320.0,3074
107,1273,33,1488.4285714285709,3331
108,1303,38,1661.142857142857,3536
109,1362,43,1850.5714285714291,3864
110,1413,44,2048.5714285714284,4207
111,1462,46,2286.5714285714284,4647
112,1580,51,2501.285714285714,4763
113,1685,59,2754.142857142857,5323
114,3083,64,2825.0,5668
115,3442,67,2858.5714285714284,5939
116,3581,68,2924.4285714285716,6569
117,3901,73,2945.142857142857,6869
118,4128,77,2959.142857142857,7442
119,4432,84,2982.142857142857,7809
120,4680,89,2969.714285714286,8261
121,4898,95,3193.4285714285716,9080
122,5143,101,3467.0,9589
123,5437,108,3740.285714285714,10378
124,6010,114,4070.0,11327
125,6344,117,4414.285714285715,12108
126,6671,120,4737.714285714285,12348
127,7097,127,5046.0,12874
128,7452,135,5314.142857142857,13551
129,7948,143,5581.2857142857165,14306
130,8498,153,5838.7142857142835,15286
131,9169,161,6083.857142857143,16249
132,9842,171,6289.142857142857,17097
133,10367,177,6499.857142857143,17576
134,10945,189,6721.2857142857165,18334
135,11363,199,7013.142857142857,19569
136,12126,205,7296.857142857143,20532
137,12779,215,7566.857142857143,21519
138,13371,225,7847.2857142857165,22478
139,14093,235,8139.7142857142835,23459
140,14673,243,8421.0,23917
141,15284,257,8730.42857142857,24907
142,16117,272,8922.0,25737
143,16765,288,9110.42857142857,26573
144,17440,304,9311.42857142857,27676
145,18641,317,9462.285714285714,28896
146,19503,328,9586.285714285714,29830
147,21288,336,9543.42857142857,30325
148,22126,352,9464.57142857143,31292
149,23029,360,9388.57142857143,32205
150,23819,369,9306.42857142857,33133
151,24730,379,9150.857142857143,33952
152,25632,394,8979.57142857143,34765
153,26470,406,8813.57142857143,35713
154,27368,415,8837.142857142857,36649
