,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4601130.0,0.326421,0.9729190000000001,0.0388761,0.0007889739999999999,1.01285,-4.3467601851254756e-07
1,4601130.0,0.713806,0.9747600000000001,0.0772359,0.00156747,1.05413,-4.3467601851254756e-07
2,4601130.0,1.1846299999999998,1.01001,0.11630399999999999,0.00236034,1.12962,-4.3467601851254756e-07
3,4601120.0,1.76765,1.0849600000000001,0.15751600000000002,0.00319672,1.24708,1.7387040742722348e-06
4,4601120.0,2.4998099999999996,1.20822,0.2026,0.00411169,1.4169399999999999,1.7387040742722348e-06
5,4601120.0,3.42878,1.3913799999999998,0.25368,0.00514833,1.65295,1.7387040742722348e-06
6,4601120.0,4.6161900000000005,1.6498,0.313407,0.00636046,1.9732599999999998,1.7387040742722348e-06
7,4601120.0,6.14187,2.0037700000000003,0.38513200000000003,0.00781609,2.40163,1.7387040742722348e-06
8,4601120.0,8.10936,2.4799,0.473125,0.00960187,2.9691099999999997,1.7387040742722348e-06
9,4601110.0,10.652999999999999,3.11305,0.582862,0.0118289,3.7162599999999997,3.9120841671680395e-06
10,4601110.0,13.9473,3.9487099999999997,0.721395,0.0146404,4.6959,3.9120841671680395e-06
11,4601100.0,18.2188,5.04623,0.8978280000000001,0.018221,5.97685,6.085464260063844e-06
12,4601090.0,23.7619,6.4829,1.12395,0.0228101,7.64867,8.258844352959649e-06
13,4601080.0,30.9594,8.35935,1.41503,0.0287175,9.827869999999999,1.0432224445855454e-05
14,4601070.0,40.3085,10.8065,1.7909,0.036345499999999996,12.665999999999999,1.2605604538751258e-05
15,4601070.0,37.699,13.4368,2.2701599999999997,0.0460719,15.7832,1.2605604538751258e-05
16,4601070.0,35.3843,15.7703,2.8473900000000003,0.0577865,18.7038,1.2605604538751258e-05
17,4601060.0,33.3312,17.8405,3.5115199999999995,0.0712648,21.4499,1.4778984631647063e-05
18,4601060.0,31.51,19.6771,4.252759999999999,0.08630789999999999,24.0414,1.4778984631647063e-05
19,4601060.0,29.8946,21.3066,5.0624,0.10273900000000001,26.4956,1.4778984631647063e-05
20,4601060.0,28.4618,22.7523,5.93274,0.120402,28.8282,1.4778984631647063e-05
21,4601050.0,27.1909,24.0349,6.85692,0.139158,31.0528,1.6952364724431845e-05
22,4601050.0,26.0637,25.173000000000002,7.828869999999999,0.158884,33.1816,1.6952364724431845e-05
23,4601050.0,25.0639,26.1828,8.84322,0.17946900000000002,35.2255,1.6952364724431845e-05
24,4601040.0,34.71,27.4819,9.90034,0.200923,37.611,1.912574481732765e-05
25,4601020.0,45.9328,29.5456,11.0234,0.223715,40.8294,2.347250500311926e-05
26,4601000.0,59.1245,32.482,12.2446,0.2485,45.0224,2.781926518891087e-05
27,4600980.0,74.7546,36.4289,13.6011,0.276028,50.3658,3.216602537470248e-05
28,4600950.0,93.3875,41.559,15.1359,0.307177,57.0768,3.868616565327887e-05
29,4600920.0,115.704,48.0869,16.8999,0.342976,65.4223,4.5206305931966284e-05
