,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.2857142857142858,3
4,0,0,1.7142857142857142,4
5,0,0,2.8571428571428568,9
6,0,0,4.0,9
7,0,0,5.428571428571429,11
8,0,0,6.857142857142858,11
9,0,0,8.285714285714286,11
10,0,0,9.428571428571429,11
11,0,0,10.428571428571429,11
12,0,0,10.714285714285714,11
13,0,0,11.142857142857142,12
14,1,0,11.857142857142858,17
15,2,0,12.428571428571427,17
16,2,0,13.0,17
17,3,0,13.428571428571427,17
18,4,0,13.714285714285715,17
19,4,0,14.0,17
20,5,0,14.0,17
21,6,0,13.285714285714285,17
22,6,0,13.0,19
23,7,0,13.285714285714285,24
24,8,0,13.857142857142858,26
25,8,0,14.571428571428573,26
26,9,0,15.142857142857142,26
27,10,0,16.571428571428573,32
28,10,0,18.428571428571427,34
29,11,0,20.285714285714285,37
30,12,0,21.714285714285715,39
31,12,0,23.0,39
32,12,0,24.285714285714285,39
33,12,0,25.857142857142854,40
34,14,0,26.714285714285715,42
35,17,0,26.857142857142854,42
36,17,0,27.142857142857146,45
37,20,0,26.857142857142854,45
38,22,0,26.285714285714285,45
39,22,0,25.714285714285715,45
40,26,0,24.57142857142857,46
41,26,0,23.42857142857143,46
42,26,0,22.714285714285715,46
43,29,0,21.142857142857142,46
44,31,0,19.714285714285715,46
45,31,0,18.571428571428573,46
46,31,0,17.571428571428573,47
47,35,0,17.0,51
48,35,0,16.428571428571427,51
49,35,0,16.0,52
50,38,0,15.571428571428573,52
51,39,0,15.285714285714285,52
52,43,0,15.142857142857142,57
53,43,0,14.857142857142858,57
54,43,0,14.857142857142858,59
55,43,0,14.857142857142858,59
56,43,0,14.714285714285715,59
57,43,0,15.0,59
58,43,0,15.428571428571427,59
59,43,0,15.714285714285715,59
60,43,0,16.0,59
61,48,2,27.57142857142857,147
62,49,2,40.0,154
63,49,2,52.714285714285715,156
64,51,2,70.0,190
65,52,2,89.42857142857143,206
66,53,2,111.28571428571428,224
67,53,2,135.85714285714286,243
68,64,2,148.28571428571428,250
69,72,2,159.0,252
70,85,2,167.71428571428572,253
71,104,2,171.85714285714286,272
72,109,2,173.5714285714286,275
73,114,2,173.0,281
74,114,2,169.71428571428572,281
75,146,3,163.85714285714286,292
76,163,4,157.57142857142858,301
77,172,4,152.85714285714286,309
78,191,4,147.0,320
79,205,5,143.85714285714286,352
80,229,5,142.14285714285714,387
81,234,5,141.42857142857142,399
82,243,5,143.28571428571428,404
83,245,5,148.71428571428572,422
84,245,5,157.42857142857142,444
85,267,5,170.0,485
86,292,5,186.57142857142856,555
87,292,5,210.7142857142857,619
88,293,5,246.14285714285717,706
89,305,5,288.14285714285717,760
90,308,6,336.42857142857144,824
91,311,6,382.8571428571428,836
92,315,7,441.4285714285714,945
93,329,7,499.71428571428567,1002
94,339,7,557.7142857142857,1074
95,341,7,611.0,1129
96,350,7,668.4285714285714,1209
97,368,7,732.1428571428571,1331
98,388,8,799.5714285714287,1387
99,416,8,862.7142857142858,1489
100,444,8,932.5714285714287,1607
101,471,8,1014.1428571428572,1778
102,471,8,1104.142857142857,1890
103,516,8,1195.4285714285713,2015
104,648,8,1259.7142857142858,2062
105,694,8,1336.5714285714287,2231
106,754,8,1414.7142857142858,2374
107,825,8,1508.142857142857,2642
108,847,12,1622.0,2955
109,928,17,1730.4285714285709,3115
110,952,21,1858.7142857142856,3362
111,1082,29,2050.8571428571427,3862
112,1132,34,2309.428571428572,4505
113,1251,46,2679.428571428572,5499
114,1271,56,3109.4285714285716,6146
115,1279,65,3651.142857142857,7232
116,1301,75,4252.571428571428,7756
117,2797,82,4735.285714285715,8647
118,3156,96,5311.714285714285,10038
119,3383,107,5917.142857142857,11067
120,3683,113,6544.7142857142835,12391
121,4323,122,7147.857142857143,13486
122,4859,129,7693.571428571428,14696
123,5448,134,8279.42857142857,16063
124,5695,148,9154.857142857143,17739
125,6104,157,10031.0,19180
126,6569,164,10900.285714285714,20395
127,13317,172,10784.142857142857,21271
128,13526,179,10706.285714285714,22201
129,13727,181,10663.142857142857,23314
130,13939,188,10674.142857142857,24685
131,14424,195,10633.285714285714,26229
132,14792,205,10585.285714285714,27580
133,15698,212,10482.142857142857,28850
134,16148,218,11341.0,30160
135,17447,224,12131.857142857143,31703
136,18471,228,12822.285714285714,32938
137,19825,233,13350.0,34310
138,20120,238,13874.857142857143,35642
139,21026,248,14344.714285714286,37146
140,22260,258,14749.571428571433,38292
141,23753,266,14978.857142857143,39418
142,25122,276,15102.142857142857,40293
143,26049,286,15192.142857142857,41204
144,27056,290,15335.285714285714,42600
145,27937,295,15404.285714285714,43999
146,28988,303,15431.857142857143,45356
147,29988,314,15516.428571428567,46668
148,30960,322,15703.285714285714,47989
149,31691,326,16036.571428571433,49245
150,32811,335,16418.14285714286,50686
151,33946,343,16774.714285714286,52039
152,35564,354,17043.571428571428,53567
153,36476,364,17293.714285714286,54656
154,37146,370,17572.571428571428,55834
155,38425,378,17775.428571428572,56930
156,39193,384,17949.0,58020
157,40243,391,18124.571428571428,59403
