,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4532580.0,229.87900000000002,1266.7,47122.8,376.01099999999997,48766.7,0.01277327946245288
1,4532450.0,215.543,1187.76,47316.3,377.227,48882.4,0.012801594345735579
2,4532320.0,202.102,1113.74,47497.8,378.36800000000005,48990.9,0.012829909229018388
3,4532200.0,189.49900000000002,1044.32,47667.9,379.43699999999995,49092.7,0.012856046044356306
4,4532090.0,177.68200000000002,979.232,47827.5,380.44,49188.1,0.012880004791749444
5,4531980.0,166.60299999999998,918.195,47977.1,381.38,49277.5,0.012903963539142582
6,4531880.0,156.214,860.96,48117.4,382.26199999999994,49361.4,0.01292574421859094
7,4531790.0,146.472,807.291,48248.9,383.089,49440.0,0.012945346830094406
8,4531700.0,137.339,756.966,48372.2,383.86400000000003,49513.8,0.012964949441597873
9,4531620.0,128.774,709.7760000000001,48487.9,384.591,49582.9,0.012982373985156448
10,4531540.0,120.744,665.528,48596.3,385.273,49647.8,0.012999798528715134
11,4531470.0,113.214,624.036,48698.0,385.912,49708.5,0.013015045004328929
12,4531400.0,106.154,585.131,48793.4,386.51099999999997,49765.5,0.013030291479942724
13,4531340.0,99.5345,548.65,48882.8,387.07300000000004,49819.0,0.013043359887611738
14,4531280.0,93.3274,514.443,48966.6,387.6,49869.1,0.013056428295280642
15,4531230.0,87.5073,482.36800000000005,49045.2,388.094,49916.1,0.013067318635004765
16,4531170.0,82.0502,452.292,49118.9,388.55699999999996,49960.1,0.01308038704267378
17,4531130.0,76.9333,424.091,49188.0,388.991,50001.4,0.013089099314453123
18,4531080.0,72.1355,397.648,49252.8,389.398,50040.2,0.013099989654177246
19,4531040.0,67.6369,372.85400000000004,49313.5,389.78,50076.5,0.01310870192595659
20,4531000.0,63.4189,349.605,49370.5,390.13800000000003,50110.5,0.013117414197735933
21,4530960.0,59.4638,327.805,49423.9,390.474,50142.5,0.013126126469515165
22,4530920.0,55.7554,307.365,49474.0,390.789,50172.4,0.013134838741294508
23,4530890.0,52.2783,288.198,49520.9,391.084,50200.5,0.01314137294512907
24,4530860.0,49.018,270.22700000000003,49565.0,391.361,50226.8,0.013147907148963522
25,4530830.0,45.961000000000006,253.37599999999998,49606.2,391.62,50251.5,0.013154441352797974
26,4530800.0,43.0947,237.576,49645.0,391.86400000000003,50274.6,0.013160975556632537
27,4530780.0,40.4071,222.761,49681.3,392.092,50296.3,0.013165331692522098
28,4530750.0,37.8871,208.87,49715.3,392.306,50316.7,0.01317186589635666
29,4530730.0,35.5242,195.845,49747.2,392.506,50335.7,0.013176222032246332
30,4530710.0,33.3087,183.632,49777.1,392.694,50353.6,0.013180578168136003
31,4530690.0,31.2314,172.18,49805.2,392.871,50370.4,0.013184934304025564
32,4530670.0,29.2837,161.44299999999998,49831.5,393.036,50386.1,0.013189290439915236
33,4530650.0,27.4574,151.375,49856.1,393.191,50400.9,0.013193646575804907
34,4530640.0,25.7449,141.935,49879.3,393.336,50414.7,0.013195824643749798
35,4530620.0,24.1393,133.083,49901.0,393.473,50427.6,0.01320018077963947
36,4530610.0,22.6339,124.78399999999999,49921.3,393.6,50439.8,0.01320235884758425
37,4530590.0,21.2223,117.00200000000001,49940.4,393.72,50451.2,0.013206714983473922
38,4530580.0,19.8987,109.705,49958.2,393.833,50461.9,0.013208893051418702
39,4530570.0,18.6577,102.86399999999999,49975.0,393.93800000000005,50471.9,0.013211071119363593
40,4530560.0,17.4941,96.4488,49990.7,394.037,50481.3,0.013213249187308374
41,4530550.0,16.403,90.4339,50005.4,394.129,50490.1,0.013215427255253265
42,4530540.0,15.38,84.794,50019.3,394.216,50498.3,0.013217605323198045
43,4530530.0,14.4208,79.5058,50032.2,394.298,50506.1,0.013219783391142936
44,4530520.0,13.5214,74.5475,50044.4,394.374,50513.3,0.013221961459087717
45,4530510.0,12.6782,69.8983,50055.8,394.44599999999997,50520.2,0.013224139527032497
46,4530510.0,11.8875,65.5391,50066.4,394.51300000000003,50526.5,0.013224139527032497
47,4530500.0,11.1461,61.4517,50076.4,394.57599999999996,50532.5,0.013226317594977388
48,4530490.0,10.4509,57.6193,50085.8,394.635,50538.1,0.013228495662922168
49,4530490.0,9.79913,54.0258,50094.6,394.69,50543.4,0.013228495662922168
50,4530480.0,9.18799,50.6564,50102.9,394.74199999999996,50548.3,0.01323067373086706
51,4530470.0,8.61496,47.4972,50110.6,394.79,50553.0,0.01323285179881184
52,4530470.0,8.07767,44.535,50117.9,394.836,50557.3,0.01323285179881184
53,4530460.0,7.57389,41.7575,50124.7,394.879,50561.4,0.013235029866756731
54,4530460.0,7.10153,39.1533,50131.1,394.91900000000004,50565.2,0.013235029866756731
55,4530460.0,6.65862,36.7114,50137.0,394.957,50568.7,0.013235029866756731
56,4530450.0,6.24334,34.4219,50142.7,394.99199999999996,50572.1,0.013237207934701511
57,4530450.0,5.85396,32.2751,50147.9,395.025,50575.2,0.013237207934701511
58,4530440.0,5.4888699999999995,30.2622,50152.8,395.056,50578.2,0.013239386002646403
59,4530440.0,5.14654,28.3749,50157.5,395.085,50581.0,0.013239386002646403
60,4530440.0,4.82556,26.6052,50161.8,395.11199999999997,50583.5,0.013239386002646403
61,4530440.0,4.52461,24.9459,50165.9,395.13800000000003,50586.0,0.013239386002646403
62,4530430.0,4.24242,23.3901,50169.7,395.162,50588.3,0.013241564070591183
63,4530430.0,3.9778300000000004,21.9314,50173.3,395.184,50590.4,0.013241564070591183
64,4530430.0,3.72974,20.5636,50176.6,395.205,50592.4,0.013241564070591183
65,4530430.0,3.4971300000000003,19.2811,50179.7,395.225,50594.3,0.013241564070591183
66,4530420.0,3.2790199999999996,18.0786,50182.7,395.24300000000005,50596.0,0.013243742138535963
67,4530420.0,3.07452,16.9511,50185.5,395.26099999999997,50597.7,0.013243742138535963
68,4530420.0,2.8827700000000003,15.8939,50188.0,395.277,50599.2,0.013243742138535963
69,4530420.0,2.70297,14.9026,50190.5,395.292,50600.7,0.013243742138535963
70,4530420.0,2.5344,13.9732,50192.8,395.30699999999996,50602.0,0.013243742138535963
71,4530420.0,2.37633,13.1017,50194.9,395.32,50603.3,0.013243742138535963
72,4530410.0,2.2281299999999997,12.2846,50196.9,395.333,50604.5,0.013245920206480855
73,4530410.0,2.0891599999999997,11.5184,50198.8,395.344,50605.6,0.013245920206480855
74,4530410.0,1.9588700000000001,10.8001,50200.5,395.356,50606.7,0.013245920206480855
75,4530410.0,1.8367,10.1265,50202.2,395.366,50607.7,0.013245920206480855
76,4530410.0,1.72215,9.49494,50203.7,395.376,50608.6,0.013245920206480855
77,4530410.0,1.61474,8.90276,50205.2,395.385,50609.5,0.013245920206480855
78,4530410.0,1.51403,8.34752,50206.5,395.39300000000003,50610.3,0.013245920206480855
79,4530410.0,1.41961,7.826910000000001,50207.8,395.401,50611.0,0.013245920206480855
80,4530410.0,1.33107,7.338760000000001,50209.0,395.409,50611.8,0.013245920206480855
81,4530400.0,1.24805,6.881060000000001,50210.1,395.416,50612.4,0.013248098274425635
82,4530400.0,1.17022,6.45191,50211.2,395.42199999999997,50613.1,0.013248098274425635
83,4530400.0,1.09723,6.049519999999999,50212.2,395.42900000000003,50613.6,0.013248098274425635
84,4530400.0,1.0288,5.672219999999999,50213.1,395.434,50614.2,0.013248098274425635
85,4530400.0,0.964636,5.31846,50214.0,395.44,50614.7,0.013248098274425635
86,4530400.0,0.904474,4.986759999999999,50214.8,395.445,50615.2,0.013248098274425635
87,4530400.0,0.8480639999999999,4.67575,50215.5,395.45,50615.7,0.013248098274425635
88,4530400.0,0.795172,4.38413,50216.2,395.454,50616.1,0.013248098274425635
89,4530400.0,0.745579,4.11071,50216.9,395.459,50616.5,0.013248098274425635
90,4530400.0,0.699079,3.8543300000000005,50217.5,395.462,50616.9,0.013248098274425635
91,4530400.0,0.655479,3.61395,50218.1,395.466,50617.2,0.013248098274425635
92,4530400.0,0.614598,3.38855,50218.7,395.47,50617.5,0.013248098274425635
93,4530400.0,0.576267,3.17722,50219.2,395.473,50617.8,0.013248098274425635
94,4530400.0,0.540327,2.97906,50219.7,395.476,50618.1,0.013248098274425635
95,4530400.0,0.506628,2.79327,50220.1,395.47900000000004,50618.4,0.013248098274425635
96,4530400.0,0.47503100000000004,2.6190599999999997,50220.6,395.481,50618.7,0.013248098274425635
97,4530400.0,0.445404,2.45571,50221.0,395.48400000000004,50618.9,0.013248098274425635
98,4530400.0,0.417625,2.30255,50221.3,395.486,50619.1,0.013248098274425635
99,4530400.0,0.391579,2.15895,50221.7,395.48900000000003,50619.3,0.013248098274425635
100,4530400.0,0.367157,2.0243,50222.0,395.491,50619.5,0.013248098274425635
101,4530400.0,0.344258,1.89805,50222.3,395.49300000000005,50619.7,0.013248098274425635
102,4530400.0,0.322788,1.77967,50222.6,395.494,50619.9,0.013248098274425635
103,4530400.0,0.302656,1.66868,50222.9,395.496,50620.1,0.013248098274425635
104,4530400.0,0.28378000000000003,1.56461,50223.1,395.49800000000005,50620.2,0.013248098274425635
105,4530400.0,0.26608200000000004,1.4670299999999998,50223.4,395.499,50620.3,0.013248098274425635
106,4530390.0,0.249487,1.37553,50223.6,395.501,50620.5,0.013250276342370526
107,4530390.0,0.233927,1.2897399999999999,50223.8,395.50199999999995,50620.6,0.013250276342370526
108,4530390.0,0.21933699999999998,1.2093,50224.0,395.50300000000004,50620.7,0.013250276342370526
109,4530390.0,0.20565799999999998,1.13388,50224.2,395.504,50620.8,0.013250276342370526
110,4530390.0,0.192831,1.0631700000000002,50224.4,395.505,50620.9,0.013250276342370526
111,4530390.0,0.180805,0.996858,50224.5,395.506,50621.0,0.013250276342370526
112,4530390.0,0.16952799999999998,0.934686,50224.7,395.50699999999995,50621.1,0.013250276342370526
113,4530390.0,0.15895499999999999,0.8763920000000001,50224.8,395.50800000000004,50621.2,0.013250276342370526
114,4530390.0,0.149042,0.821734,50225.0,395.509,50621.3,0.013250276342370526
