,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,3,3
10,0,0,3,3
11,0,0,3,3
12,0,0,11,11
13,0,0,15,15
14,0,0,17,17
15,0,0,17,17
16,0,0,21,21
17,0,0,23,23
18,0,0,24,24
19,1,0,23,24
20,2,0,26,28
21,3,0,36,39
22,4,0,37,41
23,5,0,37,42
24,6,0,36,42
25,8,0,34,42
26,9,0,33,42
27,10,0,32,42
28,11,0,31,42
29,12,0,30,42
30,13,0,31,44
31,14,0,30,44
32,16,0,28,44
33,17,0,27,44
34,18,0,30,48
35,19,0,31,50
36,20,0,33,53
37,21,0,32,53
38,23,0,33,56
39,23,0,33,56
40,23,0,33,56
41,23,0,37,60
42,23,0,37,60
43,23,0,37,60
44,42,0,19,61
45,42,0,19,61
46,50,0,11,61
47,50,0,11,61
48,52,0,9,61
49,52,0,9,61
50,60,0,1,61
51,60,0,1,61
52,60,0,3,63
53,62,0,1,63
54,62,0,1,63
55,60,0,3,63
56,60,0,3,63
57,60,0,3,63
58,63,0,0,63
59,63,0,3,66
60,63,0,3,66
61,63,0,3,66
62,63,0,4,67
63,63,0,4,67
64,63,0,4,67
65,63,0,4,67
66,63,0,4,67
67,63,0,4,67
68,63,0,4,67
69,64,0,8,72
70,66,0,9,75
71,66,0,9,75
72,66,0,9,75
73,66,0,13,79
74,66,0,14,80
75,66,0,14,80
76,67,0,14,81
77,67,0,17,84
78,67,0,18,85
79,67,0,18,85
80,67,0,18,85
81,69,0,17,86
82,69,0,17,86
83,76,0,19,95
84,76,0,21,97
85,81,0,18,99
86,81,0,18,99
87,86,0,15,101
88,86,0,17,103
89,88,1,14,103
90,88,1,28,117
91,88,1,39,128
92,95,2,62,159
93,95,2,78,175
94,95,2,83,180
95,96,2,89,187
96,100,2,90,192
97,100,2,98,200
98,128,2,88,218
99,133,2,111,246
100,147,2,123,272
101,147,2,164,313
102,180,2,157,339
103,200,2,168,370
104,220,2,176,398
105,240,2,235,477
106,267,2,347,616
107,305,2,366,673
108,375,2,323,700
109,415,2,321,738
110,415,3,349,767
111,497,3,269,769
112,546,5,314,865
113,616,5,354,975
114,652,5,381,1038
115,718,5,449,1172
116,784,8,414,1206
117,898,11,329,1238
118,976,13,302,1291
119,1038,21,336,1395
120,1075,26,347,1448
121,1105,30,579,1714
122,1159,34,671,1864
123,1300,34,751,2085
124,1387,39,830,2256
125,1387,42,1004,2433
126,1387,45,1272,2704
127,1542,46,1471,3059
128,1642,47,1618,3307
129,1746,48,1755,3549
130,1995,49,1822,3866
131,2132,49,2020,4201
132,2318,53,2072,4443
133,2524,57,2180,4761
134,2649,63,2455,5167
135,2946,65,2558,5569
136,3188,69,2696,5953
137,3456,77,2784,6317
138,3697,78,2766,6541
139,3983,80,2827,6890
140,4324,86,2846,7256
141,4619,93,2881,7593
142,4884,100,3121,8105
143,5270,111,3154,8535
144,5541,122,3322,8985
145,5803,129,3396,9328
146,6126,140,3516,9782
147,6431,146,3886,10463
148,6685,152,3926,10763
149,6789,157,4306,11252
150,7017,161,4688,11866
151,7351,174,4698,12223
152,7923,185,4840,12948
153,8292,191,5050,13533
154,8640,202,5326,14168
155,9047,206,5712,14965
156,9375,214,6069,15658
157,9752,223,6606,16581
158,9989,233,6948,17170
159,10308,243,7324,17875
160,10644,252,7765,18661
161,11043,258,8380,19681
162,11324,266,8965,20555
163,11629,271,9525,21425
164,11985,275,10046,22306
165,12396,284,10150,22830
166,12699,287,10732,23718
167,13101,295,11122,24518
168,13352,298,11794,25444
169,13742,307,12651,26700
170,14107,312,13613,28032
171,14645,320,14109,29074
172,15139,330,14024,29493
173,16043,337,14570,30950
174,17160,344,14717,32221
175,18157,351,15099,33607
176,19290,359,14859,34508
177,20436,367,14851,35654
178,21689,374,14379,36442
179,22760,379,13747,36886
180,23821,389,13655,37865
181,25031,395,13312,38738
182,26627,405,12411,39443
183,28055,408,11693,40156
184,29282,412,11132,40826
185,30436,418,10841,41695
186,31181,420,10935,42536
187,31927,425,10856,43208
188,32796,432,10482,43710
189,33561,437,10639,44637
190,34434,445,10564,45443
191,35123,455,10485,46063
192,35904,463,10355,46722
193,36661,470,10225,47356
194,38087,478,9360,47925
195,39557,484,8208,48249
196,39557,484,8208,48249
