,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3733490.0,0.13410899999999998,0.9660040000000001,0.0636816,0.000943575,1.03072,-5.356920926846698e-07
1,3733490.0,0.158751,0.9415030000000001,0.12548099999999998,0.00185926,1.069,-5.356920926846698e-07
2,3733490.0,0.424166,0.955031,0.186587,0.00276468,1.14523,-5.356920926846698e-07
3,3733490.0,0.694362,1.03471,0.25071,0.0037148000000000003,1.2906799999999998,-5.356920926846698e-07
4,3733490.0,0.9879610000000001,1.1798799999999998,0.322092,0.00477246,1.50906,-5.356920926846698e-07
5,3733480.0,1.83475,1.45452,0.40631300000000004,0.00602037,1.87136,2.142768371071746e-06
6,3733480.0,3.02642,1.9647400000000002,0.515502,0.00763823,2.49549,2.142768371071746e-06
7,3733480.0,4.7674,2.80646,0.6677569999999999,0.00989421,3.4962400000000002,2.142768371071746e-06
8,3733470.0,7.3607,4.13245,0.8891049999999999,0.0131739,5.05361,4.821228834828162e-06
9,3733470.0,11.2609,6.1798,1.218,0.0180472,7.44486,4.821228834828162e-06
10,3733460.0,11.222000000000001,8.60582,1.69743,0.0251509,10.3573,7.4996892985845776e-06
11,3733460.0,11.6165,10.9238,2.33002,0.0345241,13.3182,7.4996892985845776e-06
12,3733460.0,12.3817,13.2411,3.11235,0.046116000000000004,16.4315,7.4996892985845776e-06
13,3733450.0,13.4802,15.6459,4.0473,0.059969100000000004,19.788,1.0178149762340993e-05
14,3733440.0,14.8939,18.214000000000002,5.143009999999999,0.07620439999999999,23.4717,1.2856610226097409e-05
15,3733440.0,16.62,21.0137,6.4122900000000005,0.0950114,27.5639,1.2856610226097409e-05
16,3733430.0,16.0572,23.7783,7.86515,0.116539,31.8015,1.5535070689964847e-05
17,3733430.0,15.8878,26.276999999999997,9.48808,0.140586,35.9467,1.5535070689964847e-05
18,3733420.0,16.0163,28.6132,11.2673,0.16694900000000001,40.0888,1.8213531153721263e-05
19,3733420.0,16.3745,30.863000000000003,13.1949,0.195509,44.2957,1.8213531153721263e-05
20,3733410.0,16.914,33.0834,15.2671,0.226214,48.6204,2.089199161747768e-05
21,3733410.0,14.0172,34.8499,17.4734,0.258904,52.6183,2.089199161747768e-05
22,3733410.0,11.8843,35.8761,19.7691,0.29291999999999996,55.9688,2.089199161747768e-05
23,3733400.0,10.3038,36.3735,22.1134,0.32765500000000003,58.841,2.3570452081234095e-05
24,3733400.0,9.12325,36.4944,24.4771,0.36268,61.3577,2.3570452081234095e-05
25,3733400.0,8.2324,36.3489,26.8397,0.39768600000000004,63.6075,2.3570452081234095e-05
26,3733400.0,7.55163,36.0164,29.1864,0.432458,65.6546,2.3570452081234095e-05
27,3733400.0,7.02343,35.5539,31.5072,0.46684499999999995,67.5459,2.3570452081234095e-05
28,3733400.0,6.60624,35.0026,33.795,0.500743,69.3152,2.3570452081234095e-05
29,3733390.0,6.27003,34.3921,36.0449,0.534081,70.9872,2.6248912545101533e-05
30,3733390.0,7.61555,33.9567,38.2586,0.5668810000000001,72.8018,2.6248912545101533e-05
31,3733390.0,8.6565,33.8473,40.4551,0.599427,74.9241,2.6248912545101533e-05
32,3733380.0,9.47909,33.9777,42.6526,0.631987,77.2867,2.892737300885795e-05
33,3733380.0,10.1456,34.2862,44.8645,0.664762,79.8416,2.892737300885795e-05
34,3733370.0,10.700999999999999,34.728,47.101000000000006,0.6978989999999999,82.5544,3.1605833472614364e-05
35,3733370.0,11.1779,35.271,49.3694,0.731511,85.4007,3.1605833472614364e-05
36,3733370.0,11.5997,35.8921,51.6757,0.765683,88.3633,3.1605833472614364e-05
37,3733370.0,6.25275,35.8093,54.0075,0.800233,90.633,3.1605833472614364e-05
38,3733370.0,2.63387,34.6161,56.2955,0.834134,91.7523,3.1605833472614364e-05
39,3733370.0,0.235475,32.7508,58.4826,0.866541,92.1002,3.1605833472614364e-05
40,3733370.0,-1.30597,30.5148,60.5355,0.8969590000000001,91.9436,3.1605833472614364e-05
41,3733380.0,-2.2502400000000002,28.1132,62.4372,0.9251379999999999,91.4694,2.892737300885795e-05
42,3733380.0,-2.78251,25.6819,64.1817,0.9509860000000001,90.8071,2.892737300885795e-05
43,3733380.0,-3.0343400000000003,23.3092,65.7701,0.9745209999999999,90.0457,2.892737300885795e-05
44,3733380.0,-5.64385,20.6888,67.2,0.995707,88.8695,2.892737300885795e-05
45,3733390.0,-6.63784,17.7996,68.4489,1.01421,87.2452,2.6248912545101533e-05
46,3733390.0,-6.6944300000000005,14.9735,69.5113,1.02995,85.49700000000001,2.6248912545101533e-05
47,3733390.0,-6.24442,12.3841,70.3974,1.04308,83.80799999999999,2.6248912545101533e-05
48,3733390.0,-5.55512,10.1073,71.1254,1.05387,82.2719,2.6248912545101533e-05
49,3733390.0,-4.78699,8.161480000000001,71.7165,1.06263,80.9279,2.6248912545101533e-05
50,3733390.0,-4.03172,6.53274,72.1917,1.0696700000000001,79.7834,2.6248912545101533e-05
51,3733390.0,-2.61232,5.28978,72.5729,1.07532,78.931,2.6248912545101533e-05
52,3733390.0,-1.5659,4.43371,72.8866,1.07997,78.396,2.6248912545101533e-05
53,3733390.0,-0.787234,3.85996,73.1544,1.0839299999999998,78.0959,2.6248912545101533e-05
54,3733390.0,-0.200215,3.49327,73.3919,1.08745,77.9718,2.6248912545101533e-05
55,3733390.0,0.250217,3.2795099999999997,73.6108,1.0907,77.9814,2.6248912545101533e-05
56,3733390.0,0.603949,3.17985,73.8197,1.09379,78.0946,2.6248912545101533e-05
57,3733390.0,0.889921,3.16653,74.025,1.09683,78.2904,2.6248912545101533e-05
58,3733390.0,1.12917,3.21978,74.2317,1.0999,78.554,2.6248912545101533e-05
59,3733390.0,1.3370600000000001,3.3256300000000003,74.4436,1.10304,78.8755,2.6248912545101533e-05
60,3733390.0,1.52484,3.47434,74.6637,1.1063,79.2481,2.6248912545101533e-05
61,3733390.0,1.70082,3.6592,74.8947,1.10972,79.6678,2.6248912545101533e-05
62,3733390.0,1.8712,3.8757699999999997,75.1388,1.11334,80.1325,2.6248912545101533e-05
63,3733390.0,2.3780200000000002,4.16395,75.3987,1.11719,80.6858,2.6248912545101533e-05
64,3733380.0,2.8860900000000003,4.5610599999999994,75.6808,1.12137,81.3705,2.892737300885795e-05
65,3733380.0,3.41475,5.06299,75.9921,1.12598,82.1897,2.892737300885795e-05
66,3733380.0,3.98067,5.670380000000001,76.3392,1.1311200000000001,83.1508,2.892737300885795e-05
67,3733380.0,4.59901,6.38782,76.7293,1.1369,84.2657,2.892737300885795e-05
68,3733380.0,5.2842199999999995,7.223339999999999,77.1696,1.14343,85.5498,2.892737300885795e-05
69,3733370.0,6.05077,8.18805,77.6681,1.15081,87.0224,3.1605833472614364e-05
70,3733370.0,6.91366,9.29607,78.2337,1.15919,88.7067,3.1605833472614364e-05
71,3733370.0,7.88895,10.5645,78.8762,1.1687100000000001,90.6296,3.1605833472614364e-05
72,3733360.0,8.99416,12.0137,79.6066,1.17954,92.8229,3.428429393637078e-05
73,3733360.0,8.30119,13.4189,80.432,1.19177,95.064,3.428429393637078e-05
74,3733360.0,7.86185,14.5938,81.3407,1.20523,97.1599,3.428429393637078e-05
75,3733360.0,7.6077,15.6078,82.3201,1.21974,99.1672,3.428429393637078e-05
76,3733350.0,7.4894,16.5113,83.3615,1.23517,101.12700000000001,3.6962754400127196e-05
77,3733350.0,7.4713899999999995,17.3407,84.4589,1.2514299999999998,103.07,3.6962754400127196e-05
78,3733350.0,7.52809,18.1226,85.6084,1.26847,105.01899999999999,3.6962754400127196e-05
79,3733350.0,6.610410000000001,18.7416,86.8048,1.28619,106.85,3.6962754400127196e-05
80,3733350.0,5.93391,19.1223,88.0331,1.30439,108.475,3.6962754400127196e-05
81,3733350.0,5.431769999999999,19.3316,89.2804,1.32287,109.949,3.6962754400127196e-05
82,3733340.0,5.055680000000001,19.4179,90.537,1.34149,111.309,3.9641214863994634e-05
83,3733340.0,4.77078,19.4161,91.7963,1.36015,112.585,3.9641214863994634e-05
84,3733330.0,10.3704,20.0849,93.0689,1.37901,114.559,4.231967532775105e-05
85,3733320.0,16.21,22.1423,94.4296,1.39917,118.01299999999999,4.4998135791507465e-05
86,3733310.0,22.6892,25.6108,95.9686,1.4219700000000002,123.06,4.767659625526388e-05
87,3733300.0,30.2173,30.6125,97.7808,1.4488299999999998,129.92,5.035505671913132e-05
88,3733270.0,42.222,34.3906,103.348,1.47983,139.328,5.8390438110400567e-05
89,3733230.0,55.876999999999995,40.6166,109.775,1.51563,152.05200000000002,6.910427996553725e-05
90,3733210.0,58.1592,47.7406,117.397,1.55809,166.847,7.44612008931611e-05
91,3733180.0,61.7763,54.4437,126.20700000000001,1.60715,182.418,8.249658228443035e-05
92,3733140.0,66.4667,61.0773,136.162,1.6626,199.074,9.321042413956704e-05
93,3733110.0,72.081,67.889,147.273,1.72449,217.074,0.00010124580553094731
94,3733070.0,78.5447,75.0606,159.588,1.79308,236.646,0.000111959647386084
95,3733030.0,85.8339,82.7342,173.18099999999998,1.8687900000000002,258.006,0.00012267348924110966
96,3732980.0,93.9599,91.0276,188.148,1.95216,281.372,0.00013606579156011378
97,3732930.0,102.959,100.046,204.606,2.04383,306.964,0.00014945809387900688
98,3732870.0,112.88799999999999,109.889,222.68900000000002,2.14455,335.01599999999996,0.0001655288566616564
99,3732810.0,123.818,120.656,242.546,2.25515,365.779,0.00018159961944430592
100,3732740.0,140.80700000000002,133.055,264.382,2.37677,400.17900000000003,0.00020034884269082287
