,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3701500.0,3989.8,10024.9,11243.1,254.55900000000003,21532.9,0.008567859331542027
1,3700020.0,4225.2,10634.0,11691.1,264.775,22600.9,0.00896427148018153
2,3698450.0,4475.52,11278.5,12166.2,275.611,23732.0,0.009384789772995172
3,3696790.0,4741.32,11960.6,12670.1,287.10400000000004,24930.2,0.009829414209982734
4,3695020.0,5023.29,12682.7,13204.5,299.29,26199.6,0.01030350171207195
5,3693160.0,5322.18,13447.4,13771.1,312.212,27544.5,0.010801695358335195
6,3691180.0,5638.82,14257.1,14371.8,325.913,28969.4,0.01133203053016374
7,3689080.0,5974.13,15114.5,15008.7,340.43800000000005,30479.1,0.011894507227557694
8,3686860.0,6329.07,16022.4,15683.8,355.836,32078.6,0.012489125450517058
9,3684510.0,6704.67,16983.9,16399.5,372.159,33773.0,0.013118563659505589
10,3682020.0,7102.03,18001.8,17158.2,389.46,35567.9,0.013785500314986932
11,3679380.0,7522.3,19079.5,17962.2,407.798,37469.1,0.014492613877425065
12,3676590.0,7966.69,20220.4,18814.4,427.233,39482.7,0.015239904346819877
13,3673630.0,8436.47,21427.9,19717.5,447.829,41615.2,0.016032728644098992
14,3670500.0,8932.97,22705.9,20674.5,469.655,43873.3,0.01687108676926241
15,3667190.0,9457.56,24058.2,21688.5,492.781,46264.1,0.01775765718277389
16,3663680.0,10011.7,25489.0,22762.9,517.284,48795.1,0.01869779680556094
17,3659970.0,10596.9,27002.5,23901.1,543.242,51474.3,0.019691505637623563
18,3656050.0,11214.7,28603.2,25106.8,570.741,54309.9,0.020741462139425626
19,3651900.0,11866.7,30295.9,26384.0,599.869,57310.6,0.02185302323189464
20,3647510.0,12554.6,32085.4,27736.7,630.719,60485.5,0.023028867375494477
21,3642870.0,13280.2,33977.0,29169.2,663.3889999999999,63844.1,0.02427167303068878
22,3637960.0,14045.2,35976.0,30686.0,697.9830000000001,67396.5,0.025586797118405058
23,3632770.0,14851.4,38088.0,32292.0,734.6110000000001,71153.2,0.026976918099107294
24,3627290.0,15700.8,40318.7,33992.2,773.3860000000001,75125.1,0.028444714433259244
25,3621500.0,16595.2,42674.4,35791.9,814.43,79323.8,0.02999554304178831
26,3615380.0,17536.7,45161.2,37696.5,857.868,83761.1,0.03163476084562211
27,3608920.0,18527.2,47785.6,39712.0,903.834,88449.6,0.03336504630522452
28,3602100.0,19568.8,50554.6,41844.5,952.4680000000001,93402.4,0.03519175634152294
29,3594910.0,20663.6,53474.9,44100.3,1003.92,98632.8,0.037117569414981344
30,3587320.0,21813.5,56553.9,46486.2,1058.33,104155.0,0.039150520906991004
31,3579310.0,23020.6,59798.9,49009.3,1115.87,109984.0,0.04129596773847943
32,3570870.0,24287.1,63217.5,51676.8,1176.71,116134.0,0.04355658836991039
33,3561980.0,25615.0,66817.6,54496.6,1241.02,122622.0,0.04593773972221149
34,3552610.0,27006.2,70607.1,57476.7,1308.98,129463.0,0.04844745717677412
35,3542740.0,28462.6,74594.3,60625.4,1380.79,136674.0,0.051091097654525686
36,3532360.0,29986.2,78787.2,63951.4,1456.65,144273.0,0.05387133961593016
37,3521430.0,31578.8,83194.4,67464.0,1536.76,152277.0,0.056798896902842566
38,3509940.0,33242.0,87824.2,71172.6,1621.34,160705.0,0.059876447975726665
39,3497860.0,34977.2,92685.2,75087.0,1710.62,169574.0,0.06311202821597395
40,3485170.0,36786.0,97785.8,79217.5,1804.82,178904.0,0.0665109945445117
41,3471840.0,38669.5,103134.0,83574.6,1904.19,188714.0,0.07008138234273154
42,3457860.0,40628.5,108740.0,88169.2,2008.97,199023.0,0.07382587007109709
43,3443190.0,42663.9,114609.0,93012.8,2119.44,209852.0,0.0777551715714635
44,3427820.0,44776.1,120752.0,98116.8,2235.84,221221.0,0.08187196530429453
45,3411720.0,46965.0,127174.0,103493.0,2358.46,233148.0,0.08618428665098166
46,3394870.0,49230.6,133885.0,109155.0,2487.58,245655.0,0.09069749253245218
47,3377240.0,51572.1,140889.0,115114.0,2623.48,258761.0,0.09541961833009771
48,3358820.0,53988.5,148195.0,121383.0,2766.46,272485.0,0.10035334250438199
49,3339580.0,56478.2,155808.0,127976.0,2916.82,286847.0,0.10550670043669619
50,3319500.0,59039.3,163732.0,134906.0,3074.87,301867.0,0.11088504904796803
51,3298560.0,61669.0,171973.0,142186.0,3240.91,317561.0,0.11649374525912493
52,3276760.0,64364.3,180533.0,149831.0,3415.27,333947.0,0.12233278907016709
53,3254060.0,67121.4,189415.0,157854.0,3598.25,351042.0,0.12841289432294944
54,3230460.0,69936.0,198620.0,166270.0,3790.18,368862.0,0.1347340610174721
55,3205940.0,72803.0,208148.0,175092.0,3991.38,387421.0,0.14130164607466267
