,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,1,0,1.1428571428571428,3
15,2,0,4.142857142857143,24
16,3,0,8.142857142857142,32
17,4,0,12.0,32
18,5,0,16.0,34
19,5,0,21.142857142857142,42
20,6,0,26.142857142857146,42
21,7,0,31.714285714285715,48
22,8,0,34.285714285714285,48
23,9,0,35.714285714285715,48
24,10,0,37.142857142857146,48
25,11,0,38.857142857142854,52
26,11,1,39.857142857142854,56
27,12,1,40.857142857142854,56
28,13,1,41.285714285714285,58
29,14,1,41.714285714285715,58
30,15,1,43.0,64
31,16,1,44.714285714285715,67
32,17,1,45.85714285714285,67
33,17,1,46.57142857142857,67
34,18,1,47.28571428571429,67
35,19,1,47.714285714285715,67
36,20,1,48.14285714285714,67
37,21,1,47.85714285714285,68
38,22,1,47.714285714285715,72
39,23,2,47.42857142857143,72
40,23,2,48.14285714285714,79
41,24,2,49.28571428571429,82
42,27,2,50.14285714285714,82
43,27,2,51.42857142857143,84
44,43,3,50.28571428571429,84
45,44,3,49.42857142857143,90
46,44,3,49.0,91
47,50,3,46.714285714285715,91
48,56,3,43.42857142857143,92
49,56,3,40.57142857142857,92
50,59,3,37.57142857142857,96
51,60,3,36.857142857142854,96
52,61,3,35.285714285714285,96
53,62,3,34.142857142857146,101
54,76,3,32.0,102
55,76,3,31.857142857142854,111
56,77,3,31.57142857142857,111
57,78,3,33.142857142857146,126
58,81,3,36.42857142857143,140
59,81,3,41.142857142857146,149
60,94,3,43.57142857142857,150
61,94,3,48.85714285714285,157
62,94,3,52.85714285714285,157
63,103,3,59.28571428571429,182
64,103,4,63.57142857142857,182
65,103,4,66.28571428571429,182
66,103,4,67.71428571428571,182
67,103,4,70.85714285714286,182
68,103,4,73.0,182
69,103,4,75.14285714285714,182
70,143,4,76.28571428571429,231
71,143,4,77.85714285714286,233
72,154,4,78.57142857142857,238
73,174,4,76.57142857142857,239
74,179,4,73.85714285714286,239
75,179,4,73.42857142857143,255
76,179,4,73.85714285714286,261
77,179,4,73.0,261
78,186,4,74.0,283
79,186,4,76.57142857142857,288
80,188,4,83.85714285714286,304
81,188,4,96.28571428571428,335
82,188,4,108.85714285714286,352
83,188,4,120.57142857142857,352
84,192,4,132.0,354
85,202,4,141.0,362
86,206,4,150.42857142857142,374
87,210,4,158.57142857142858,383
88,219,4,162.85714285714286,396
89,221,4,166.71428571428572,412
90,223,4,171.85714285714286,423
91,226,4,177.14285714285714,425
92,233,4,185.42857142857144,451
93,237,4,192.28571428571428,453
94,242,4,198.57142857142856,459
95,243,4,205.85714285714286,471
96,249,4,211.14285714285717,477
97,282,4,211.42857142857144,484
98,295,4,211.28571428571428,493
99,306,4,211.0,522
100,306,4,213.14285714285717,537
101,327,4,215.57142857142856,561
102,327,4,219.0,579
103,348,6,222.57142857142856,603
104,367,6,227.85714285714286,608
105,367,6,238.42857142857144,641
106,367,6,246.7142857142857,643
107,374,6,254.0,658
108,374,6,264.7142857142857,685
109,382,6,278.14285714285717,730
110,382,6,297.2857142857143,771
111,403,6,321.0,810
112,411,6,347.8571428571428,873
113,433,6,375.71428571428567,904
114,541,7,394.1428571428572,955
115,572,9,414.8571428571428,1031
116,629,10,439.71428571428567,1155
117,629,12,472.57142857142856,1254
118,649,12,523.5714285714286,1419
119,707,13,564.7142857142858,1464
120,764,16,614.0,1590
121,776,18,687.7142857142858,1717
122,788,21,792.8571428571429,1995
123,802,21,942.4285714285713,2386
124,958,21,1070.142857142857,2486
125,988,21,1201.0,2683
126,988,22,1380.4285714285709,3010
127,1914,22,1480.7142857142858,3448
128,1914,22,1604.5714285714291,3726
129,1914,23,1733.4285714285709,4025
130,1914,28,1854.7142857142856,4354
131,1914,28,2044.2857142857144,4776
132,1914,32,2262.142857142857,5145
133,1914,37,2519.5714285714284,5753
134,2079,38,2923.285714285714,6455
135,2194,42,3393.285714285714,7316
136,2635,44,3837.285714285714,7875
137,3233,50,4212.714285714285,8323
138,3531,57,4555.714285714285,8823
139,3997,64,4858.571428571428,9380
140,4312,68,5106.428571428572,9917
141,5263,74,5253.571428571428,10705
142,5777,83,5354.428571428572,11646
143,6182,91,5505.142857142857,12524
144,6524,95,5728.142857142857,13220
145,6930,100,5937.571428571428,13731
146,7555,105,6097.0,14095
147,8388,115,6208.142857142857,14818
148,9815,121,6236.142857142857,15500
149,10721,131,6169.142857142857,16169
150,11357,137,6025.7142857142835,16741
151,11922,146,5810.7142857142835,17164
152,12334,148,5591.0,17645
153,12973,155,5414.714285714285,18329
154,13425,170,5296.714285714285,19084
155,14481,179,5217.857142857143,19672
156,15489,191,5137.285714285715,20433
157,16496,201,5056.142857142857,21376
158,17328,217,5016.142857142857,22361
159,17938,227,5015.857142857143,23326
160,18687,233,5037.857142857143,24275
161,19344,238,5091.0,25443
162,20209,249,5220.571428571428,26377
163,21101,257,5423.0,27528
164,22035,268,5649.2857142857165,28566
165,22863,282,5882.571428571428,29594
166,23733,294,6095.7142857142835,30680
