,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3209630.0,5045.02,5100.48,21608.7,312.631,27031.2,0.014493225318346181
1,3207690.0,5231.45,5241.28,22408.0,322.98400000000004,27982.0,0.015088896203427127
2,3205700.0,5415.92,5393.4,23230.0,333.631,28967.0,0.015699919430907094
3,3203650.0,5600.4,5555.03,24076.2,344.593,29986.2,0.01632936546926589
4,3201530.0,5786.31,5724.93,24948.1,355.88599999999997,31039.6,0.016980304786983202
5,3199340.0,5974.68,5902.25,25846.8,367.527,32127.6,0.017652737384059147
6,3197090.0,6166.26,6086.39,26773.5,379.53,33250.8,0.018343592792013808
7,3194770.0,6361.61,6276.96,27729.1,391.909,34409.7,0.0190559414793271
8,3192370.0,6561.13,6473.72,28714.7,404.675,35605.2,0.019792853914478825
9,3189910.0,6765.15,6676.51,29731.2,417.842,36838.0,0.020548189160509378
10,3187370.0,6973.88,6885.24,30779.4,431.42,38109.0,0.021328088154378255
11,3184750.0,7187.52,7099.89,31860.4,445.423,39419.0,0.022132550896085568
12,3182050.0,7406.19,7320.44,32975.1,459.861,40769.1,0.022961577385631204
13,3179280.0,7630.02,7546.91,34124.3,474.746,42160.1,0.023812097154535472
14,3176420.0,7859.09,7779.33,35309.0,490.092,43592.9,0.02469025113975787
15,3173470.0,8093.46,8017.75,36530.1,505.909,45068.7,0.025596039341298504
16,3170440.0,8333.19,8262.2,37788.5,522.2090000000001,46588.3,0.026526391290677576
17,3167330.0,8578.31,8512.74,39085.1,539.005,48152.7,0.02748130698789497
18,3164120.0,8828.86,8769.41,40421.0,556.309,49763.1,0.02846692736991041
19,3160830.0,9084.84,9032.24,41797.0,574.133,51420.2,0.029477111499764175
20,3157430.0,9346.26,9301.28,43214.2,592.489,53125.3,0.030521070782895787
21,3153950.0,9613.12,9576.56,44673.4,611.391,54879.2,0.031589593813865724
22,3150370.0,9885.39,9858.1,46175.7,630.85,56682.9,0.032688821529633705
23,3146680.0,10163.0,10145.9,47722.0,650.879,58537.6,0.03382182439867942
24,3142900.0,10446.0,10440.0,49313.3,671.4910000000001,60444.1,0.03498246148404338
25,3139020.0,10734.3,10740.4,50950.5,692.699,62403.5,0.03617380325420527
26,3135030.0,11027.9,11047.1,52634.7,714.5139999999999,64416.7,0.03739892017764501
27,3130940.0,11326.6,11360.0,54366.7,736.949,66484.7,0.038654741785882685
28,3126730.0,11630.3,11679.2,56147.7,760.018,68608.4,0.03994740901587801
29,3122420.0,11939.0,12004.5,57978.4,783.732,70788.8,0.04127078093067127
30,3118000.0,12252.5,12336.0,59860.0,808.1039999999999,73026.7,0.042627927998742376
31,3113470.0,12570.8,12673.5,61793.2,833.145,75323.1,0.04401885022009122
32,3108820.0,12893.6,13016.9,63779.1,858.8689999999999,77678.8,0.04544661806319761
33,3104060.0,13220.8,13366.3,65818.6,885.2860000000001,80094.6,0.04690816105958184
34,3099180.0,13552.2,13721.4,67912.5,912.409,82571.3,0.04840654967772362
35,3094190.0,13887.7,14082.1,70061.7,940.248,85109.8,0.049938713449143246
36,3089080.0,14226.9,14448.3,72267.2,968.816,87710.6,0.051507722842320414
37,3083850.0,14569.7,14819.8,74529.7,998.122,90374.6,0.05311357785725512
38,3078490.0,14915.9,15196.5,76850.0,1028.18,93102.3,0.05475934896242729
39,3073020.0,15265.1,15578.1,79229.0,1058.99,95894.3,0.056438895220877194
40,3067420.0,15617.1,15964.4,81667.3,1090.58,98751.2,0.058158357569564556
41,3061710.0,15971.6,16355.2,84165.7,1122.94,101673.0,0.059911595071529655
42,3055860.0,16328.2,16750.3,86724.9,1156.09,104661.0,0.061707819132211905
43,3049900.0,16686.7,17149.3,89345.4,1190.03,107716.0,0.063537818346172
44,3043810.0,17046.6,17552.0,92028.0,1224.78,110836.0,0.06540773365036945
45,3037600.0,17407.6,17958.0,94773.0,1260.34,114024.0,0.06731449457632444
46,3031270.0,17769.4,18367.1,97581.1,1296.71,117278.0,0.06925810112403707
47,3024810.0,18131.4,18778.8,100453.0,1333.91,120599.0,0.07124162376198706
48,3018230.0,18493.4,19192.9,103388.0,1371.93,123987.0,0.0732619920216947
49,3011530.0,18854.8,19608.8,106388.0,1410.78,127442.0,0.07531920590315988
50,3004700.0,19215.1,20026.3,109452.0,1450.47,130964.0,0.07741633587486241
51,2997760.0,19574.0,20444.8,112580.0,1491.0,134552.0,0.07954724099984278
52,2990690.0,19931.0,20863.9,115774.0,1532.36,138207.0,0.0817180622150605
53,2983510.0,20285.5,21283.2,119032.0,1574.57,141927.0,0.08392265858355608
54,2976210.0,20637.1,21702.1,122355.0,1617.61,145713.0,0.08616410057380919
55,2968790.0,20985.2,22120.3,125743.0,1661.49,149563.0,0.08844238818581984
56,2961260.0,21329.3,22537.0,129195.0,1706.21,153478.0,0.09075445095110835
57,2953620.0,21668.9,22951.9,132712.0,1751.76,157456.0,0.09310028886967459
58,2945870.0,22003.5,23364.4,136292.0,1798.14,161496.0,0.09547990194151867
59,2938010.0,22332.5,23773.9,139937.0,1845.35,165597.0,0.0978932901666405
