,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2433610.0,1.01883,4.07535,0.189884,0.00984448,4.41909,1.2327350322749453e-06
1,2433610.0,1.2228700000000001,4.384119999999999,0.39249,0.020348500000000002,4.94191,1.2327350322749453e-06
2,2433610.0,1.40666,4.764959999999999,0.61168,0.0317124,5.55417,1.2327350322749453e-06
3,2433610.0,1.5845799999999999,5.20866,0.850664,0.0441024,6.2500599999999995,1.2327350322749453e-06
4,2433600.0,1.76585,5.71168,1.11236,0.0576698,7.02919,5.341851806339726e-06
5,2433600.0,1.95668,6.27413,1.3996,0.07256169999999999,7.894660000000001,5.341851806339726e-06
6,2433600.0,2.16153,6.898460000000001,1.7152900000000002,0.08892860000000001,8.852,5.341851806339726e-06
7,2433600.0,2.3839,7.5888100000000005,2.06249,0.106929,9.90859,5.341851806339726e-06
8,2433600.0,2.33757,8.28226,2.4434,0.126677,11.0025,5.341851806339726e-06
9,2433600.0,2.36904,8.9395,2.85658,0.148098,12.0945,5.341851806339726e-06
10,2433600.0,2.4508400000000004,9.590819999999999,3.3010599999999997,0.17114300000000002,13.2137,5.341851806339726e-06
11,2433600.0,2.56679,10.2554,3.7770599999999996,0.19582,14.3795,5.341851806339726e-06
12,2433590.0,2.7075099999999996,10.9457,4.28552,0.22218200000000002,15.6052,9.450968580515529e-06
13,2433590.0,2.86765,11.6703,4.8279,0.250301,16.9011,9.450968580515529e-06
14,2433590.0,3.04433,12.4358,5.406000000000001,0.280273,18.2755,9.450968580515529e-06
15,2433590.0,3.2361400000000002,13.2471,6.02191,0.312204,19.7356,9.450968580515529e-06
16,2433590.0,3.44257,14.1088,6.6779399999999995,0.34621599999999997,21.2883,9.450968580515529e-06
17,2433580.0,3.6637,15.0251,7.37661,0.382438,22.9404,1.3560085354580309e-05
18,2433580.0,3.89994,15.9999,8.120619999999999,0.42101099999999997,24.6989,1.3560085354580309e-05
19,2433580.0,2.96601,16.7517,8.90824,0.461845,26.2748,1.3560085354580309e-05
20,2433580.0,2.40176,17.1337,9.72241,0.504055,27.5106,1.3560085354580309e-05
21,2433580.0,2.05856,17.2954,10.5492,0.546921,28.5403,1.3560085354580309e-05
22,2433580.0,1.8475700000000002,17.3259,11.3804,0.590013,29.4441,1.3560085354580309e-05
23,2433580.0,1.71565,17.2786,12.210999999999999,0.633077,30.2699,1.3560085354580309e-05
24,2433580.0,3.2454099999999997,17.5722,13.0445,0.6762859999999999,31.4473,1.3560085354580309e-05
25,2433570.0,4.37331,18.4454,13.9066,0.720985,33.2326,1.766920212864509e-05
26,2433570.0,5.28167,19.7323,14.821,0.7683909999999999,35.4855,1.766920212864509e-05
27,2433570.0,6.0814,21.3399,15.8051,0.819409,38.1319,1.766920212864509e-05
28,2433560.0,6.84095,23.22,16.8729,0.874768,41.1387,2.1778318902820892e-05
29,2433560.0,7.603610000000001,25.3515,18.0369,0.935118,44.4981,2.1778318902820892e-05
30,2433550.0,8.39787,27.7302,19.3091,1.0010700000000001,48.2187,2.5887435676885673e-05
31,2433550.0,9.2436,30.363000000000003,20.7015,1.07326,52.32,2.5887435676885673e-05
