,Recovered,Deceased,Infected,I_c
0,0,0,16.714285714285715,21
1,0,0,17.857142857142858,22
2,0,0,18.857142857142858,22
3,0,0,19.857142857142858,22
4,0,0,20.857142857142858,22
5,0,0,21.714285714285715,22
6,0,0,22.0,23
7,0,0,22.428571428571423,24
8,0,0,23.714285714285715,31
9,0,0,25.42857142857143,34
10,0,0,27.142857142857146,34
11,0,0,29.0,35
12,0,0,30.857142857142854,35
13,1,0,32.42857142857143,35
14,2,0,34.285714285714285,39
15,4,0,34.857142857142854,39
16,5,0,34.857142857142854,39
17,7,0,34.57142857142857,39
18,8,0,34.0,39
19,10,0,34.857142857142854,51
20,11,0,36.142857142857146,54
21,11,0,37.0,54
22,11,0,38.42857142857143,56
23,11,0,40.0,56
24,19,0,41.0,58
25,26,0,41.285714285714285,59
26,26,0,40.142857142857146,59
27,29,0,38.285714285714285,59
28,31,0,36.142857142857146,59
29,33,0,33.42857142857143,59
30,33,0,30.714285714285715,59
31,33,0,30.142857142857146,68
32,33,0,30.42857142857143,68
33,33,0,30.714285714285715,68
34,33,0,31.42857142857143,68
35,34,0,32.285714285714285,68
36,38,0,32.857142857142854,68
37,40,0,33.285714285714285,69
38,45,0,31.714285714285715,69
39,48,0,29.857142857142854,70
40,51,0,27.57142857142857,70
41,51,0,25.57142857142857,72
42,51,0,23.714285714285715,72
43,54,0,22.428571428571423,75
44,54,0,21.285714285714285,75
45,54,0,20.857142857142858,75
46,54,0,20.714285714285715,75
47,54,0,21.0,75
48,54,0,21.0,75
49,54,0,21.0,75
50,54,0,22.142857142857146,83
51,55,0,23.142857142857146,83
52,57,0,23.857142857142854,83
53,57,0,24.57142857142857,83
54,57,0,27.57142857142857,99
55,57,0,31.714285714285715,107
56,57,0,38.142857142857146,123
57,57,0,45.14285714285714,135
58,57,0,53.714285714285715,145
59,57,0,63.14285714285714,149
60,57,0,77.28571428571429,182
61,60,0,89.57142857142857,188
62,60,0,103.71428571428572,209
63,60,0,115.57142857142857,209
64,61,0,131.28571428571428,249
65,61,0,146.57142857142858,256
66,61,0,161.71428571428572,259
67,61,0,174.0,272
68,61,0,187.85714285714286,286
69,61,0,200.85714285714286,301
70,70,0,214.0,311
71,74,0,226.28571428571428,348
72,74,0,243.0,386
73,78,0,265.42857142857144,433
74,105,0,291.42857142857144,498
75,110,0,322.14285714285717,550
76,115,1,357.57142857142856,604
77,115,1,397.28571428571433,635
78,115,1,436.28571428571433,663
79,115,1,472.4285714285714,681
80,116,1,513.5714285714286,760
81,141,2,551.8571428571429,804
82,169,3,589.4285714285714,875
83,185,4,633.8571428571429,988
84,192,4,673.8571428571429,995
85,192,4,712.0,1010
86,218,4,751.4285714285713,1063
87,268,4,780.7142857142858,1120
88,309,4,802.1428571428571,1124
89,349,4,817.5714285714287,1164
90,349,4,834.4285714285713,1270
91,395,5,851.5714285714287,1319
92,416,7,870.0,1366
93,459,8,880.7142857142858,1383
94,467,9,909.7142857142856,1527
95,828,9,904.4285714285713,1611
96,1012,10,884.0,1690
97,1033,14,864.4285714285713,1827
98,1039,23,870.8571428571429,2026
99,1053,32,900.1428571428571,2233
100,1084,32,956.7142857142856,2428
101,1098,36,1007.0,2537
102,1446,41,1104.5714285714287,2944
103,1482,41,1268.2857142857142,3337
104,1482,44,1466.142857142857,3691
105,1516,50,1721.0,4314
106,2129,58,1956.857142857143,4986
107,2129,61,2275.714285714286,5734
108,2214,66,2684.0,6541
109,2793,74,3145.285714285714,7553
110,3165,79,3624.4285714285716,8412
111,3491,88,4063.857142857143,8820
112,3735,89,4493.142857142857,9577
113,4002,91,4988.0,10356
114,4604,92,5432.857142857143,11354
115,5323,94,5808.857142857143,12310
116,6462,97,6031.571428571428,12804
117,7633,99,6096.428571428572,13354
118,8048,110,6152.857142857143,13794
119,8640,111,6138.857142857143,14406
120,10713,114,5838.571428571428,14988
121,11716,117,5452.142857142857,15786
122,12259,126,5031.571428571428,16334
123,13164,136,4670.142857142857,17015
124,14160,146,4415.714285714285,18147
125,14603,155,4197.857142857143,18869
126,15122,161,3999.142857142857,19547
127,15644,165,4071.4285714285716,20476
128,15933,170,4253.285714285715,21329
129,16623,180,4442.571428571428,22077
130,17315,188,4652.714285714285,22689
131,18419,196,4813.571428571428,23582
132,18690,202,4999.714285714285,24306
133,19544,208,5156.142857142857,25111
134,20599,213,5234.857142857143,26030
135,21641,221,5225.857142857143,27025
136,22961,234,5181.142857142857,28156
137,23483,242,5220.857142857143,29189
138,24021,255,5309.0,29860
139,24515,256,5329.142857142857,30326
140,25741,264,5302.714285714285,31179
141,26658,270,5316.714285714285,32244
142,27770,277,5306.142857142857,33136
143,28777,285,5320.285714285715,34122
144,29707,293,5251.857142857143,34985
145,30934,300,5129.857142857143,35964
146,32370,307,4969.0,37106
