,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4061030.0,14.4009,22.0274,1.0184799999999998,0.00539079,23.017,9.35714447525271e-06
1,4061030.0,10.8026,27.1105,2.3947,0.0126751,29.4649,9.35714447525271e-06
2,4061020.0,8.893369999999999,30.5642,4.0045,0.0211958,34.527,1.181955091611453e-05
3,4061020.0,7.936710000000001,33.1277,5.7795,0.0305909,38.8699,1.181955091611453e-05
4,4061010.0,7.5195300000000005,35.2168,7.6827,0.040664599999999995,42.8701,1.428195735697635e-05
5,4061010.0,7.41005,37.0661,9.6948,0.051314599999999995,46.7416,1.428195735697635e-05
6,4061010.0,7.4784,38.8083,11.8064,0.062491399999999996,50.607,1.428195735697635e-05
7,4061000.0,7.65185,40.5191,14.0139,0.07417560000000001,54.5378,1.674436379794919e-05
8,4061000.0,7.889810000000001,42.242,16.3168,0.0863649,58.577,1.674436379794919e-05
9,4060990.0,8.16969,44.0028,18.7166,0.0990668,62.7517,1.920677023881101e-05
10,4060990.0,8.47907,45.8172,21.2158,0.112295,67.0801,1.920677023881101e-05
11,4060980.0,8.8112,47.6952,23.8177,0.126067,71.5756,2.166917667967283e-05
12,4060980.0,9.16255,49.644,26.526,0.140402,76.2489,2.166917667967283e-05
13,4060970.0,9.5314,51.6688,29.345,0.155323,81.1095,2.413158312053465e-05
14,4060960.0,9.917069999999999,53.7743,32.2788,0.170852,86.1664,2.659398956139647e-05
15,4060960.0,10.3194,55.9645,35.3322,0.187013,91.4282,2.659398956139647e-05
16,4060950.0,10.7387,58.2433,38.5099,0.203833,96.9037,2.905639600225829e-05
17,4060940.0,11.1754,60.6145,41.817,0.22133699999999998,102.602,3.151880244312011e-05
18,4060940.0,11.6301,63.082,45.2587,0.239554,108.53200000000001,3.151880244312011e-05
19,4060930.0,12.1033,65.6499,48.8406,0.258513,114.70299999999999,3.398120888398193e-05
20,4060920.0,12.5959,68.3222,52.5682,0.27824299999999996,121.125,3.644361532484375e-05
21,4060910.0,13.1085,71.1032,56.4475,0.298777,127.80799999999999,3.890602176570557e-05
22,4060910.0,13.6421,73.9974,60.4848,0.320146,134.764,3.890602176570557e-05
