,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3984350.0,897.5089999999999,6822.27,52778.9,406.472,60012.2,0.01889108973304554
1,3983620.0,1022.4,6636.59,53463.5,409.99699999999996,60515.3,0.019070845403228898
2,3982900.0,1084.97,6513.63,54132.7,413.44199999999995,61065.3,0.019248138666971393
3,3982190.0,1114.17,6424.42,54791.2,416.832,61638.2,0.019422969524272915
4,3981480.0,1125.51,6353.43,55441.7,420.181,62221.1,0.01959780038157455
5,3980780.0,1127.31,6292.34,56085.5,423.495,62807.1,0.01977016883243521
6,3980080.0,1124.03,6236.69,56723.4,426.779,63392.6,0.01994253728329587
7,3979390.0,1118.04,6184.08,57355.8,430.035,63975.6,0.02011244332771578
8,3978710.0,1110.64,6133.25,57982.9,433.264,64555.1,0.020279886965694716
9,3978030.0,1102.5,6083.5,58604.9,436.466,65130.5,0.020447330603673763
10,3977350.0,1093.99,6034.46,59221.9,439.642,65701.6,0.0206147742416527
11,3976680.0,1085.32,5985.94,59833.9,442.793,66268.2,0.020779755473190775
12,3976020.0,1076.58,5937.84,60441.0,445.918,66830.3,0.02094227429828799
13,3975360.0,1067.83,5890.09,61043.2,449.019,67387.8,0.021104793123385313
14,3974710.0,1059.1,5842.66,61640.6,452.094,67940.8,0.021264849542041664
15,3974060.0,1050.41,5795.55,62233.2,455.144,68489.2,0.021424905960698015
16,3973420.0,1041.77,5748.74,62820.9,458.17,69033.2,0.021582499972913505
17,3972780.0,1033.18,5702.22,63404.0,461.17199999999997,69572.6,0.021740093985128994
18,3972150.0,1024.64,5655.99,63982.3,464.149,70107.6,0.021895225590903622
19,3971530.0,1016.16,5610.06,64555.9,467.102,70638.2,0.0220478947902375
20,3970900.0,1007.74,5564.42,65124.8,470.031,71164.4,0.022203026396012127
21,3970290.0,999.3660000000001,5519.07,65689.1,472.936,71686.2,0.02235323318890503
22,3969680.0,991.052,5474.0,66248.8,475.81800000000004,72203.7,0.022503439981797935
23,3969070.0,982.794,5429.23,66804.0,478.676,72716.9,0.02265364677469084
24,3968470.0,974.591,5384.74,67354.6,481.51,73225.8,0.02280139116114288
25,3967880.0,966.445,5340.54,67900.6,484.32199999999995,73730.4,0.02294667314115395
26,3967290.0,958.3539999999999,5296.63,68442.2,487.11,74230.8,0.02309195512116513
27,3966700.0,950.318,5253.0,68979.4,489.875,74727.1,0.02323723710117631
28,3966120.0,942.3380000000001,5209.67,69512.1,492.61699999999996,75219.1,0.02338005667474663
29,3965550.0,934.413,5166.61,70040.4,495.337,75707.1,0.023520413841876087
30,3964970.0,926.543,5123.85,70564.3,498.034,76190.9,0.023663233415446405
31,3964410.0,918.7280000000001,5081.36,71083.9,500.709,76670.7,0.023801128176135
32,3963850.0,910.9680000000001,5039.16,71599.2,503.36199999999997,77146.4,0.023939022936823484
33,3963290.0,903.262,4997.25,72110.2,505.99300000000005,77618.0,0.02407691769751208
34,3962740.0,895.61,4955.61,72616.9,508.602,78085.7,0.024212350051759812
35,3962190.0,888.013,4914.26,73119.5,511.189,78549.4,0.024347782406007434
36,3961650.0,880.4689999999999,4873.19,73617.8,513.754,79009.2,0.024480752353814306
37,3961110.0,872.9789999999999,4832.4,74112.0,516.298,79465.1,0.024613722301621177
38,3960580.0,865.543,4791.89,74602.0,518.821,79917.1,0.024744229842987076
39,3960050.0,858.16,4751.66,75087.9,521.323,80365.2,0.024874737384353085
40,3959530.0,850.831,4711.71,75569.7,523.803,80809.5,0.025002782519278233
41,3959010.0,843.554,4672.04,76047.5,526.263,81250.1,0.02513082765420327
42,3958490.0,836.33,4632.64,76521.2,528.702,81686.8,0.025258872789128417
43,3957980.0,829.159,4593.51,76991.0,531.12,82119.8,0.025384455517612592
44,3957480.0,822.039,4554.67,77456.8,533.518,82549.1,0.025507575839656016
45,3956970.0,814.9730000000001,4516.09,77918.6,535.895,82974.7,0.02563315856814019
46,3956480.0,807.9580000000001,4477.79,78376.5,538.253,83396.6,0.025753816483742753
47,3955980.0,800.9939999999999,4439.76,78830.6,540.59,83815.0,0.025876936805786066
48,3955490.0,794.0830000000001,4402.0,79280.7,542.908,84229.7,0.025997594721388517
49,3955010.0,787.222,4364.51,79727.1,545.206,84640.8,0.026115790230550218
