,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3126310.0,2292.69,6398.09,18493.9,240.821,25147.6,0.01093369863360405
1,3125280.0,2372.81,6607.53,19032.6,250.707,25905.8,0.011259558286168092
2,3124220.0,2454.03,6825.16,19589.0,260.91700000000003,26690.3,0.011594908996573783
3,3123120.0,2536.87,7050.74,20163.7,271.465,27501.4,0.011942914450768338
4,3121980.0,2621.68,7284.19,20757.4,282.362,28339.7,0.012303574648751758
5,3120810.0,2708.72,7525.52,21370.8,293.619,29206.0,0.012673725904576938
6,3119590.0,2798.2,7774.84,22004.5,305.25,30101.0,0.013059695590138198
7,3118340.0,2890.27,8032.28,22659.2,317.26599999999996,31025.4,0.013455156333541107
8,3117050.0,2985.07,8298.0,23335.6,329.67900000000003,31980.2,0.013863271820732881
9,3115710.0,3082.7,8572.22,24034.3,342.50300000000004,32966.3,0.014287205737660846
10,3114340.0,3183.28,8855.13,24756.1,355.75,33984.6,0.01472063071243046
11,3112910.0,3286.9,9146.98,25501.7,369.435,35036.1,0.015173037802883371
12,3111440.0,3393.64,9448.0,26271.9,383.57,36121.8,0.015638099637125258
13,3109930.0,3503.59,9758.43,27067.4,398.17,37242.7,0.01611581621515601
14,3108360.0,3616.85,10078.5,27889.0,413.249,38399.8,0.016612514908870057
15,3106750.0,3733.5,10408.6,28737.6,428.82199999999995,39594.4,0.01712186834637297
16,3105080.0,3853.63,10748.8,29613.9,444.905,40827.4,0.01765020389955929
17,3103360.0,3977.32,11099.5,30518.8,461.51300000000003,42100.0,0.018194357882481693
18,3101590.0,4104.65,11460.9,31453.2,478.662,43413.4,0.018754330295140287
19,3099750.0,4235.72,11833.4,32418.1,496.37,44768.9,0.019336448509429394
20,3097860.0,4370.61,12217.2,33414.2,514.6519999999999,46167.5,0.01993438515345458
21,3095910.0,4509.42,12612.6,34442.6,533.5269999999999,47610.6,0.020551303913163177
22,3093900.0,4652.22,13019.8,35504.3,553.011,49099.5,0.02118720478855507
23,3091830.0,4799.1,13439.3,36600.2,573.124,50635.5,0.02184208777963026
24,3089690.0,4950.16,13871.3,37731.4,593.885,52219.9,0.022519116572336073
25,3087490.0,5105.48,14316.0,38898.9,615.312,53854.1,0.023215127480725295
26,3085210.0,5265.15,14773.9,40103.7,637.425,55539.4,0.023936447876692135
27,3082870.0,5429.26,15245.2,41347.1,660.2439999999999,57277.4,0.024676750388342494
28,3080450.0,5597.89,15730.2,42630.1,683.79,59069.5,0.025442362387570472
29,3077960.0,5771.12,16229.2,43953.8,708.085,60917.1,0.026230120188429185
30,3075390.0,5949.05,16742.6,45319.4,733.1489999999999,62821.8,0.027043187476865516
31,3072750.0,6131.76,17270.6,46728.2,759.0039999999999,64785.1,0.02787840056693247
32,3070020.0,6319.32,17813.6,48181.4,785.674,66808.5,0.028742086830524483
33,3067210.0,6511.82,18372.0,49680.2,813.181,68893.8,0.029631082581694335
34,3064320.0,6709.33,18945.9,51225.9,841.549,71042.4,0.030545387820441805
35,3061340.0,6911.94,19535.7,52819.8,870.802,73256.1,0.03148816623271444
36,3058270.0,7119.7,20141.8,54463.2,900.9630000000001,75536.4,0.032459417818512026
37,3055110.0,7332.7,20764.4,56157.5,932.059,77885.1,0.033459142577834555
38,3051860.0,7551.0,21403.9,57904.1,964.1139999999999,80303.9,0.03448734051068214
39,3048510.0,7774.66,22060.5,59704.4,997.155,82794.6,0.035547175303002
40,3045060.0,8003.74,22734.5,61559.8,1031.21,85358.8,0.03663864695479413
41,3041520.0,8238.3,23426.3,63471.7,1066.3,87998.3,0.037758591780111206
42,3037870.0,8478.38,24136.0,65441.8,1102.45,90715.0,0.03891333715084766
43,3034120.0,8724.02,24864.0,67471.3,1139.7,93510.7,0.0400997193810565
44,3030260.0,8975.27,25610.6,69562.0,1178.07,96387.1,0.04132090215668471
45,3026290.0,9232.16,26375.9,71715.3,1217.59,99346.0,0.04257688547773242
46,3022210.0,9494.71,27160.3,73932.8,1258.29,102389.0,0.0438676693441995
47,3018010.0,9762.94,27963.9,76216.0,1300.19,105519.0,0.0451964174420334
48,3013700.0,10036.9,28787.0,78566.6,1343.33,108737.0,0.046559966085286675
49,3009270.0,10316.5,29629.7,80986.3,1387.74,112045.0,0.047961478959906656
50,3004720.0,10601.8,30492.4,83476.6,1433.45,115444.0,0.04940095606589323
51,3000050.0,10892.8,31375.0,86039.1,1480.48,118937.0,0.05087839740324662
52,2995250.0,11189.4,32277.8,88675.7,1528.86,122526.0,0.052396966657913824
53,2990320.0,11491.6,33200.9,91387.8,1578.64,126212.0,0.053956663829894946
54,2985260.0,11799.5,34144.3,94177.3,1629.84,129997.0,0.05555748891918999
55,2980080.0,12112.8,35108.3,97045.8,1682.48,133883.0,0.05719627823985174
56,2974750.0,12431.6,36092.7,99995.0,1736.61,137872.0,0.05888252284972173
57,2969290.0,12755.7,37097.7,103027.0,1792.25,141965.0,0.060609895376905754
58,2963690.0,13085.1,38123.2,106142.0,1849.43,146165.0,0.0623815595073508
59,2957960.0,13419.7,39169.3,109344.0,1908.19,150472.0,0.06419435155510977
60,2952070.0,13759.3,40235.7,112633.0,1968.55,154889.0,0.06605776257802443
61,2946050.0,14103.8,41322.5,116011.0,2030.55,159417.0,0.06796230151825289
62,2939880.0,14453.1,42429.5,119480.0,2094.22,164058.0,0.0699142957476897
63,2933560.0,14807.0,43556.6,123042.0,2159.59,168814.0,0.07191374526633487
64,2927090.0,15165.3,44703.4,126698.0,2226.69,173685.0,0.0739606500741884
65,2920470.0,15527.8,45869.7,130450.0,2295.54,178673.0,0.07605501017125027
66,2913690.0,15894.3,47055.4,134299.0,2366.18,183779.0,0.07819998924346783
67,2906760.0,16264.7,48259.9,138247.0,2438.64,189006.0,0.08039242360489363
68,2899680.0,16638.5,49482.9,142296.0,2512.95,194353.0,0.08263231325552778
69,2892440.0,17015.7,50724.0,146446.0,2589.13,199822.0,0.0849228218813175
70,2885050.0,17395.8,51982.8,150701.0,2667.21,205415.0,0.08726078579631558
71,2877490.0,17778.6,53258.5,155060.0,2747.22,211131.0,0.08965253237241644
72,2869780.0,18163.9,54550.8,159526.0,2829.18,216972.0,0.09209173423772565
73,2861900.0,18551.2,55858.9,164099.0,2913.11,222939.0,0.09458471876413777
74,2853870.0,18940.2,57182.1,168782.0,2999.05,229032.0,0.09712515857975812
75,2845680.0,19330.5,58519.8,173575.0,3087.01,235252.0,0.09971621737053404
76,2837320.0,19721.9,59871.0,178479.0,3177.02,241598.0,0.10236105882241286
77,2828810.0,20113.8,61235.0,183495.0,3269.09,248072.0,0.10505335556349993
78,2820130.0,20505.9,62610.8,188625.0,3363.24,254673.0,0.10779943496568978
79,2811300.0,20897.7,63997.4,193870.0,3459.49,261402.0,0.11059296965708809
80,2802300.0,21288.8,65393.9,199230.0,3557.86,268258.0,0.11344028700958908
81,2793150.0,21678.8,66799.1,204706.0,3658.36,275241.0,0.11633505965129853
82,2783840.0,22067.1,68211.9,210299.0,3761.01,282350.0,0.11928045126816356
83,2774380.0,22453.4,69631.1,216009.0,3865.8,289586.0,0.12227329817423682
84,2764760.0,22837.0,71055.5,221836.0,3972.76,296946.0,0.12531676405546577
85,2754990.0,23217.6,72483.7,227782.0,4081.89,304431.0,0.12840768522590296
86,2745070.0,23594.6,73914.4,233847.0,4193.19,312038.0,0.1315460616855486
