,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2042310.0,340.309,4224.97,1538.51,32.0625,5797.8,0.003347696872392225
1,2042120.0,353.832,4395.21,1538.58,33.4977,5969.61,0.00344041733970335
2,2041930.0,367.954,4572.22,1538.65,34.9907,6148.26,0.003533137807014586
3,2041730.0,382.675,4756.32,1538.73,36.5438,6334.05,0.0036307382989210213
4,2041520.0,398.005,4947.78,1538.81,38.1595,6527.28,0.0037332188154228785
5,2041300.0,413.961,5146.91,1538.89,39.8402,6728.26,0.0038405793565199353
6,2041080.0,430.561,5354.03,1538.97,41.5885,6937.29,0.003947939897617103
7,2040840.0,447.829,5569.45,1539.06,43.4072,7154.71,0.004065060487904892
8,2040600.0,465.789,5793.52,1539.15,45.299,7380.84,0.004182181078192682
9,2040340.0,484.467,6026.57,1539.25,47.266999999999996,7616.05,0.004309061717671092
10,2040080.0,503.89,6268.96,1539.35,49.3141,7860.68,0.004435942357149503
11,2039810.0,524.087,6521.07,1539.45,51.4436,8115.12,0.004567703021223224
12,2039520.0,545.089,6783.28,1539.56,53.6586,8379.76,0.0047092237344875665
13,2039220.0,566.927,7056.0,1539.67,55.9628,8655.01,0.004855624472347331
14,2038910.0,589.633,7339.64,1539.78,58.3595,8941.27,0.005006905234802406
15,2038590.0,613.242,7634.64,1539.91,60.8527,9239.01,0.005163066021852791
16,2038260.0,637.789,7941.46,1540.03,63.446000000000005,9548.66,0.005324106833498488
17,2037910.0,663.31,8260.55,1540.16,66.1435,9870.7,0.005494907694334805
18,2037550.0,689.8439999999999,8592.4,1540.3,68.9494,10205.6,0.0056705885797664335
19,2037170.0,717.429,8937.53,1540.44,71.868,10554.0,0.005856029514388794
20,2036780.0,746.107,9296.45,1540.59,74.9038,10916.2,0.0060463504736063545
21,2036380.0,775.921,9669.72,1540.74,78.0615,11292.9,0.0062415514574193365
22,2035950.0,806.913,10057.9,1540.9,81.346,11684.7,0.0064513925150182505
23,2035520.0,839.1310000000001,10461.6,1541.06,84.7624,12092.1,0.0066612335726171645
24,2035060.0,872.62,10881.4,1541.23,88.3158,12515.8,0.006885714704002122
25,2034580.0,907.431,11317.9,1541.41,92.0119,12956.4,0.0071199558845777
26,2034090.0,943.6139999999999,11771.9,1541.6,95.8562,13414.6,0.007359077089748478
27,2033580.0,981.222,12243.9,1541.79,99.8546,13891.0,0.0076079583441100995
28,2033040.0,1020.31,12734.8,1541.99,104.01299999999999,14386.4,0.007871479672257542
29,2032490.0,1060.93,13245.2,1542.2,108.339,14901.6,0.008139881025000406
30,2031910.0,1103.15,13775.9,1542.42,112.838,15437.2,0.008422922451529202
31,2031310.0,1147.03,14327.8,1542.65,117.51700000000001,15994.2,0.00871572392724862
32,2030680.0,1192.62,14901.5,1542.88,122.383,16573.3,0.00902316547675397
33,2030030.0,1240.0,15498.1,1543.13,127.445,17175.4,0.009340367075450051
34,2029360.0,1289.22,16118.4,1543.38,132.709,17801.4,0.009667328723336754
35,2028660.0,1340.37,16763.3,1543.65,138.183,18452.3,0.01000893044500939
36,2027930.0,1393.51,17433.7,1543.92,143.877,19129.0,0.010365172240468068
37,2027170.0,1448.72,18130.7,1544.21,149.798,19832.5,0.010736054109712678
38,2026380.0,1506.08,18855.4,1544.51,155.95600000000002,20563.8,0.011121576052743332
39,2025560.0,1565.66,19608.7,1544.82,162.36,21324.2,0.011521738069559917
40,2024710.0,1627.54,20391.7,1545.14,169.02,22114.5,0.011936540160162434
41,2023820.0,1691.83,21205.8,1545.47,175.945,22936.1,0.012370862349146194
42,2022900.0,1758.59,22051.9,1545.82,183.14700000000002,23790.2,0.012819824611915998
43,2021950.0,1827.92,22931.5,1546.18,190.637,24677.9,0.013283426948471844
44,2020950.0,1899.92,23845.6,1546.56,198.425,25600.6,0.013771429408004243
45,2019920.0,1974.69,24795.8,1546.95,206.523,26559.6,0.014274071941322575
46,2018840.0,2052.32,25783.4,1547.36,214.945,27556.4,0.01480111459761757
47,2017730.0,2132.91,26809.7,1547.78,223.701,28592.3,0.015342797327698499
48,2016570.0,2216.58,27876.3,1548.22,232.80599999999998,29668.9,0.01590888018075609
49,2015360.0,2303.44,28984.7,1548.68,242.273,30787.7,0.016499363156790348
50,2014110.0,2393.59,30136.6,1549.16,252.11599999999999,31950.3,0.017109366231205847
