,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1400430.0,11578.9,11861.7,18176.0,48.6876,30095.9,0.04025313089806093
1,1398490.0,12039.8,12263.3,18717.6,50.0486,31040.8,0.04158265749064882
2,1396490.0,12510.8,12683.6,19277.6,51.4559,32022.9,0.04295330346238879
3,1394410.0,12992.6,13122.7,19856.9,52.9117,33043.2,0.04437877527299838
4,1392270.0,13486.0,13580.5,20456.4,54.4181,34102.5,0.04584536646276027
5,1390040.0,13991.6,14057.3,21076.9,55.9772,35201.7,0.04737363672125039
6,1387750.0,14509.9,14553.2,21719.2,57.5912,36341.9,0.048943026358892694
7,1385370.0,15041.6,15068.3,22384.2,59.2622,37524.0,0.050574095065263336
8,1382910.0,15587.2,15602.9,23072.7,60.9924,38749.3,0.05225998961050349
9,1380370.0,16147.2,16157.1,23785.7,62.7841,40018.8,0.05400070999461337
10,1377740.0,16722.0,16731.4,24524.1,64.6394,41333.7,0.05580310944745148
11,1375030.0,17312.0,17325.9,25288.6,66.5607,42695.2,0.057660334739159214
12,1372220.0,17917.6,17941.0,26080.4,68.5502,44104.5,0.059586092329454
13,1369320.0,18539.2,18577.0,26900.2,70.6103,45563.0,0.06157352898847701
14,1366330.0,19177.1,19234.3,27749.1,72.7434,47071.8,0.06362264471622836
15,1363240.0,19831.6,19913.2,28627.9,74.9519,48632.3,0.06574029274256665
16,1360050.0,20502.9,20614.1,29537.8,77.2382,50245.8,0.067926473067492
17,1356760.0,21191.3,21337.3,30479.6,79.6048,51913.7,0.07018118569100429
18,1353360.0,21896.9,22083.2,31454.4,82.0543,53637.4,0.07251128384296235
19,1349860.0,22620.0,22852.1,32463.2,84.5893,55418.3,0.07490991429350735
20,1346250.0,23360.5,23644.5,33507.0,87.2124,57257.7,0.07738393027249812
21,1342530.0,24118.7,24460.5,34587.0,89.9262,59157.0,0.07993333177993456
22,1338690.0,24894.5,25300.7,35704.2,92.7334,61117.7,0.08256497204567537
23,1334740.0,25688.0,26165.2,36859.6,95.6369,63141.2,0.08527199783986195
24,1330670.0,26499.1,27054.4,38054.4,98.6392,65228.9,0.0880612623923529
25,1326480.0,27327.8,27968.7,39289.7,101.743,67382.2,0.09093276570314823
26,1322170.0,28173.8,28908.1,40566.6,104.95200000000001,69602.5,0.09388650777224794
27,1317730.0,29037.1,29873.1,41886.3,108.26799999999999,71891.2,0.09692934182951085
28,1313170.0,29917.3,30863.8,43249.9,111.695,74249.6,0.10005441464507803
29,1308480.0,30814.3,31880.4,44658.5,115.234,76679.1,0.1032685794488084
30,1303660.0,31727.7,32923.1,46113.4,118.89,79181.1,0.10657183624070188
31,1298710.0,32657.0,33991.9,47615.7,122.665,81756.7,0.10996418502075844
32,1293630.0,33601.9,35087.0,49166.6,126.56299999999999,84407.3,0.1134456257889781
33,1288410.0,34561.8,36208.4,50767.3,130.585,87134.2,0.11702301177521957
34,1283060.0,35536.1,37356.1,52418.9,134.735,89938.4,0.12068948974962412
35,1277570.0,36524.3,38530.0,54122.6,139.016,92821.1,0.12445191294205049
36,1271950.0,37525.5,39730.0,55879.6,143.43200000000002,95783.4,0.12830342812263995
37,1266180.0,38539.1,40956.1,57691.1,147.984,98826.3,0.13225774175110983
38,1260280.0,39564.2,42207.9,59558.3,152.675,101951.0,0.1363011473677429
39,1254240.0,40600.0,43485.2,61482.2,157.51,105158.0,0.1404404982023978
40,1248060.0,41645.3,44787.7,63464.1,162.49,108448.0,0.14467579425507449
41,1241740.0,42699.3,46115.0,65505.0,167.61900000000003,111822.0,0.149007035525773
42,1235280.0,43760.7,47466.5,67606.1,172.898,115281.0,0.1534342220144932
43,1228680.0,44828.5,48841.9,69768.4,178.332,118825.0,0.15795735372123532
44,1221940.0,45901.3,50240.5,71993.0,183.922,122454.0,0.16257643064599914
45,1215060.0,46978.0,51661.5,74280.9,189.671,126170.0,0.16729145278878488
46,1208050.0,48057.0,53104.4,76633.1,195.582,129972.0,0.1720955669197336
47,1200900.0,49136.9,54568.1,79050.6,201.657,133860.0,0.17699562626870413
48,1193610.0,50216.4,56051.9,81534.2,207.898,137835.0,0.18199163083569658
49,1186200.0,51293.8,57554.8,84085.0,214.30700000000002,141895.0,0.1870698741609933
50,1178650.0,52367.5,59075.6,86703.6,220.888,146042.0,0.19224406270431194
51,1170970.0,53435.8,60613.3,89390.9,227.641,150275.0,0.19750734323579355
52,1163170.0,54497.2,62166.6,92147.7,234.56799999999998,154593.0,0.20285286252557966
53,1155250.0,55549.8,63734.2,94974.5,241.671,158995.0,0.20828062057367014
54,1147200.0,56591.9,65314.7,97872.0,248.952,163481.0,0.2137974706099237
55,1139040.0,57621.7,66906.7,100841.0,256.41200000000003,168050.0,0.21938970617462306
56,1130760.0,58637.4,68508.6,103881.0,264.053,172701.0,0.22506418049762678
57,1122380.0,59637.0,70118.9,106994.0,271.874,177433.0,0.23080718711921744
58,1113880.0,60618.9,71735.7,110179.0,279.878,182243.0,0.23663243249911248
59,1105290.0,61581.1,73357.5,113437.0,288.064,187132.0,0.24251935694773585
60,1096600.0,62521.8,74982.3,116768.0,296.434,192097.0,0.24847481369494628
61,1087820.0,63439.2,76608.2,120171.0,304.987,197136.0,0.25449194951088494
62,1078940.0,64331.4,78233.4,123648.0,313.724,202247.0,0.26057761762541065
63,1069990.0,65196.8,79855.7,127198.0,322.644,207429.0,0.26671125834894727
64,1060960.0,66033.4,81473.2,130820.0,331.746,212678.0,0.2728997249113535
65,1051850.0,66839.7,83083.8,134515.0,341.031,217994.0,0.27914301731262925
66,1042680.0,67613.9,84685.3,138282.0,350.49699999999996,223372.0,0.2854274290930573
67,1033450.0,68354.6,86275.5,142121.0,360.144,228812.0,0.2917529602526374
68,1024160.0,69060.0,87852.3,146031.0,369.969,234309.0,0.29811961079136984
69,1014820.0,69728.9,89413.5,150011.0,379.971,239861.0,0.30452052747939573
70,1005440.0,70359.9,90956.8,154061.0,390.148,245465.0,0.3109488570868565
