,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,0,1.0,1
16,0,0,1.0,1
17,1,0,0.8571428571428571,1
18,1,0,0.7142857142857143,1
19,1,0,0.5714285714285714,1
20,1,0,0.42857142857142855,1
21,1,0,0.2857142857142857,1
22,1,0,0.14285714285714285,1
23,1,0,0.0,1
24,1,0,0.0,1
25,1,0,0.0,1
26,1,0,0.0,1
27,1,0,0.0,1
28,1,0,0.0,1
29,1,0,0.0,1
30,1,0,0.0,1
31,1,0,0.14285714285714285,2
32,1,0,0.2857142857142857,2
33,1,0,0.42857142857142855,2
34,1,0,0.5714285714285714,2
35,1,0,0.7142857142857143,2
36,1,0,0.8571428571428571,2
37,1,0,1.0,2
38,1,0,1.0,2
39,1,0,1.0,2
40,1,0,2.0,9
41,1,0,3.1428571428571432,10
42,1,0,4.285714285714286,10
43,1,0,5.428571428571429,10
44,1,0,6.571428571428571,10
45,1,0,9.142857142857142,20
46,1,0,11.714285714285715,20
47,1,0,13.428571428571427,21
48,1,0,15.142857142857142,22
49,1,0,17.0,23
50,1,0,23.285714285714285,54
51,1,0,31.42857142857143,67
52,1,0,38.857142857142854,72
53,1,0,49.14285714285714,92
54,1,0,59.42857142857143,93
55,6,0,69.28571428571429,96
56,6,0,81.71428571428571,115
57,19,0,87.85714285714286,115
58,19,0,92.85714285714286,120
59,21,0,96.85714285714286,120
60,21,0,101.71428571428572,146
61,21,0,106.85714285714286,149
62,21,0,112.28571428571428,149
63,21,0,115.0,149
64,21,0,119.57142857142857,149
65,21,0,123.42857142857143,149
66,21,0,135.71428571428572,206
67,21,0,144.28571428571428,206
68,21,0,152.42857142857142,206
69,21,0,161.42857142857142,212
70,21,0,170.42857142857142,212
71,21,0,179.4285714285714,212
72,21,0,188.42857142857144,212
73,21,0,189.28571428571428,212
74,21,0,190.14285714285717,212
75,21,0,191.0,212
76,21,0,191.0,212
77,21,0,191.42857142857144,215
78,21,0,191.85714285714286,215
79,21,0,192.28571428571428,215
80,21,0,192.7142857142857,215
81,21,0,193.14285714285717,215
82,21,0,193.57142857142856,215
83,21,0,194.0,215
84,21,0,194.0,215
85,21,0,194.0,215
86,21,0,194.0,215
87,21,0,194.0,215
88,21,0,194.0,215
89,21,1,193.85714285714286,215
90,21,1,193.7142857142857,215
91,21,1,193.57142857142856,215
92,21,1,193.42857142857144,215
93,21,1,193.28571428571428,215
94,21,1,193.14285714285717,215
95,63,2,186.85714285714286,215
96,63,2,180.7142857142857,215
97,63,2,174.5714285714286,215
98,63,2,168.42857142857142,215
99,63,2,162.28571428571428,215
100,63,2,156.14285714285714,215
101,153,3,137.0,215
102,153,3,124.0,215
103,153,5,110.71428571428572,215
104,153,5,97.42857142857143,215
105,153,5,84.14285714285714,215
106,153,5,70.85714285714286,215
107,153,5,57.57142857142857,215
108,318,5,70.71428571428571,474
109,318,5,83.85714285714286,474
110,318,5,128.85714285714286,695
111,318,5,192.0,822
112,318,5,285.14285714285717,1032
113,318,5,407.1428571428572,1234
114,318,5,529.1428571428571,1234
115,318,5,637.7142857142858,1234
116,318,5,773.7142857142858,1426
117,1008,5,821.5714285714287,1720
118,1008,5,868.8571428571429,1843
119,1008,5,886.1428571428571,1843
120,1008,5,912.4285714285713,2108
121,1008,5,938.7142857142856,2108
122,1008,7,964.7142857142856,2108
123,1008,7,1005.2857142857144,2402
124,1008,7,1102.4285714285713,2402
125,2074,8,1101.0,2902
126,2074,8,1135.0,3150
127,2074,10,1167.7142857142858,3408
128,2074,10,1200.4285714285713,3408
129,2074,10,1233.4285714285713,3408
130,2074,11,1252.142857142857,3603
131,2074,13,1291.2857142857142,3748
132,2074,13,1411.4285714285709,3748
133,2074,15,1495.857142857143,3748
134,2074,16,1560.857142857143,3869
135,2074,17,1640.5714285714291,3973
136,2074,19,1720.0,3973
137,2074,19,1771.7142857142858,3973
138,2074,19,1820.2857142857144,4094
139,2074,19,1886.2857142857144,4216
140,2074,19,1952.5714285714291,4216
141,2074,20,2001.5714285714291,4216
142,2074,20,2035.857142857143,4216
143,2074,20,2070.428571428572,4216
144,2074,20,2105.0,4216
