,Recovered,Deceased,Infected,I_c
0,0,0,5.142857142857143,9
1,0,0,8.714285714285714,26
2,0,0,11.857142857142858,26
3,0,0,17.285714285714285,42
4,0,0,22.857142857142854,45
5,0,0,28.42857142857143,45
6,0,0,34.0,45
7,0,0,42.142857142857146,66
8,0,0,47.85714285714285,66
9,0,0,53.85714285714285,68
10,0,0,57.57142857142857,68
11,6,0,60.0,68
12,6,0,67.28571428571429,102
13,6,0,74.57142857142857,102
14,6,0,78.85714285714286,102
15,6,0,83.14285714285714,102
16,6,0,87.14285714285714,102
17,6,0,91.14285714285714,102
18,6,0,96.0,102
19,6,0,96.0,102
20,6,0,96.0,102
21,6,0,96.14285714285714,103
22,6,0,96.28571428571428,103
23,6,0,96.42857142857143,103
24,6,0,96.71428571428572,104
25,6,0,97.0,104
26,6,0,97.28571428571428,104
27,6,0,97.57142857142857,104
28,6,0,99.14285714285714,114
29,6,0,100.71428571428572,114
30,6,0,102.28571428571428,114
31,6,0,103.71428571428572,114
32,6,0,105.14285714285714,114
33,6,0,106.57142857142857,114
34,6,0,108.0,114
35,6,0,108.0,114
36,6,0,108.0,114
37,6,0,108.0,114
38,6,0,108.0,114
39,6,0,108.0,114
40,6,0,108.0,114
41,6,0,108.0,114
42,6,0,108.0,114
43,6,0,108.0,114
44,6,0,108.0,114
45,6,0,108.0,114
46,109,1,118.42857142857143,291
47,109,1,128.85714285714286,291
48,109,2,139.14285714285714,291
49,109,2,149.42857142857142,291
50,109,2,159.71428571428572,291
51,109,2,170.0,291
52,296,3,185.0,512
53,296,3,189.57142857142856,512
54,296,3,194.14285714285717,512
55,296,3,198.85714285714286,512
56,296,3,203.57142857142856,512
57,296,3,208.28571428571428,512
58,296,3,213.0,512
59,629,4,220.7142857142857,900
60,629,7,228.0,900
61,629,7,235.28571428571428,900
62,629,8,242.42857142857144,900
63,629,8,249.57142857142856,900
64,629,8,256.7142857142857,900
65,629,8,263.85714285714283,900
66,629,9,263.14285714285717,900
67,629,10,262.7142857142857,900
68,1318,12,303.7142857142857,1881
69,1318,13,344.71428571428567,1881
70,1318,14,403.0,2003
71,1318,14,461.28571428571433,2003
72,1318,16,519.2857142857143,2003
73,1318,17,577.2857142857142,2003
74,1318,17,635.4285714285714,2003
75,1318,17,678.0,2184
76,1798,17,821.0,3366
77,1798,17,946.7142857142856,3366
78,1798,17,1072.4285714285713,3366
79,1798,17,1198.4285714285713,3366
80,1798,17,1324.5714285714287,3366
81,1798,18,1450.5714285714291,3366
82,1798,18,1550.7142857142858,3366
83,1798,18,1550.5714285714291,3366
84,1798,18,1550.4285714285709,3366
85,1798,18,1550.2857142857142,3366
86,1798,18,1550.142857142857,3366
87,1798,18,1550.0,3366
88,1798,18,1550.0,3366
89,1798,18,1550.0,3366
90,1798,19,1549.857142857143,3366
91,1798,19,1549.7142857142858,3366
92,1798,20,1549.4285714285709,3366
93,1798,21,1549.0,3366
94,1798,21,1548.5714285714291,3366
95,1798,22,1548.0,3366
