,Recovered,Deceased,Infected,I_c
0,0,0,1.4285714285714286,2
1,0,0,1.5714285714285714,2
2,0,0,1.7142857142857142,2
3,0,0,1.8571428571428568,2
4,0,0,2.0,2
5,0,0,2.0,2
6,0,0,2.2857142857142856,4
7,0,0,2.5714285714285716,4
8,0,0,2.8571428571428568,4
9,1,0,3.0,4
10,1,0,3.1428571428571432,4
11,1,0,3.2857142857142856,4
12,1,0,3.4285714285714284,4
13,1,0,3.2857142857142856,4
14,1,0,3.1428571428571432,4
15,1,0,3.0,4
16,1,0,3.0,4
17,1,0,3.0,4
18,2,0,3.0,5
19,2,0,3.0,5
20,2,0,3.0,5
21,3,0,3.7142857142857135,11
22,2,0,5.0,14
23,5,0,8.0,29
24,5,0,11.0,29
25,5,0,14.142857142857142,30
26,6,0,18.571428571428573,40
27,6,0,23.142857142857146,41
28,12,0,27.0,47
29,12,0,32.0,59
30,12,0,35.714285714285715,62
31,13,0,39.285714285714285,62
32,16,1,42.857142857142854,67
33,16,1,46.0,73
34,28,1,47.28571428571429,73
35,29,1,49.14285714285714,78
36,39,1,48.0,79
37,39,1,47.0,83
38,49,1,44.85714285714285,84
39,59,1,41.285714285714285,85
40,67,1,36.142857142857146,88
41,73,1,31.857142857142854,88
42,75,1,26.857142857142854,89
43,75,1,23.57142857142857,92
44,80,1,20.142857142857142,100
45,80,1,18.428571428571427,103
46,80,1,18.0,103
47,81,1,18.142857142857142,103
48,81,1,19.142857142857142,103
49,82,1,20.142857142857142,103
50,82,1,20.714285714285715,103
51,82,1,20.857142857142858,103
52,82,1,20.571428571428573,103
53,85,1,21.714285714285715,116
54,100,1,20.857142857142858,116
55,100,1,21.428571428571427,126
56,100,1,22.285714285714285,127
57,102,1,22.857142857142854,127
58,102,1,23.857142857142854,130
59,102,1,25.0,131
60,111,1,23.714285714285715,133
61,116,1,23.857142857142854,133
62,116,1,23.285714285714285,138
63,116,1,22.57142857142857,138
64,116,1,22.57142857142857,141
65,117,2,23.0,149
66,121,2,23.857142857142854,157
67,122,2,26.142857142857146,161
68,124,2,29.57142857142857,166
69,125,2,34.142857142857146,180
70,127,2,38.57142857142857,181
71,136,2,43.42857142857143,196
72,145,2,48.57142857142857,213
73,149,2,52.57142857142857,213
74,153,2,57.0,223
75,157,2,63.85714285714285,247
76,167,2,71.85714285714286,278
77,179,2,78.71428571428571,281
78,179,2,87.42857142857143,300
79,198,2,92.28571428571428,300
80,198,2,99.71428571428572,314
81,215,2,103.85714285714286,314
82,232,4,110.28571428571428,369
83,256,4,113.28571428571428,390
84,286,4,117.57142857142857,420
85,303,4,124.71428571428572,476
86,340,5,136.0,524
87,347,5,148.42857142857142,553
88,395,6,165.85714285714286,620
89,398,7,185.28571428571428,674
90,400,7,209.0,703
91,404,7,235.57142857142856,727
92,420,7,259.57142857142856,764
93,441,7,283.85714285714283,797
94,454,7,314.14285714285717,874
95,488,7,348.71428571428567,956
96,538,8,384.0,1062
97,574,8,423.71428571428567,1156
98,636,9,456.71428571428567,1192
99,683,9,497.57142857142856,1315
100,722,9,541.2857142857143,1386
101,756,9,594.2857142857142,1549
102,817,9,672.4285714285714,1834
103,905,9,740.4285714285713,1906
104,986,9,791.2857142857142,1925
105,1074,9,839.2857142857142,1966
106,1184,10,874.4285714285713,2063
107,1282,10,901.5714285714287,2137
108,1343,10,907.4285714285713,2178
109,1407,10,888.7142857142858,2294
110,1549,10,858.7142857142858,2341
111,1817,10,806.0,2388
112,1904,10,749.4285714285713,2401
113,1917,10,703.8571428571429,2477
114,1935,10,675.8571428571429,2594
115,2091,10,640.4285714285714,2678
116,2211,10,592.2857142857142,2761
117,2278,10,563.0,2865
118,2334,10,571.7142857142858,2966
119,2412,10,583.0,2988
