,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3668860.0,0.478025,1.3314700000000002,0.1054,0.00105026,3.15394,1.63538270403496e-06
1,3668860.0,0.787512,1.52785,0.22081599999999998,0.00220031,3.4684199999999996,1.63538270403496e-06
2,3668860.0,1.10633,1.85645,0.357597,0.00356325,3.9367400000000004,1.63538270403496e-06
3,3668860.0,1.47102,2.32029,0.526509,0.00524637,4.57297,1.63538270403496e-06
4,3668860.0,1.9134,2.93814,0.7392270000000001,0.00736599,5.4078599999999994,1.63538270403496e-06
5,3668860.0,2.4658900000000004,3.7424199999999996,1.0095100000000001,0.0100592,6.48784,1.63538270403496e-06
6,3668860.0,3.1652400000000003,4.77926,1.3543,0.013494799999999998,7.87638,1.63538270403496e-06
7,3668850.0,2.47444,5.7247900000000005,1.78445,0.017781099999999998,9.25292,4.361020544241256e-06
8,3668850.0,2.1093,6.35231,2.27751,0.0226941,10.3766,4.361020544241256e-06
9,3668850.0,1.9275400000000003,6.80457,2.8139,0.028038900000000002,11.3697,4.361020544241256e-06
10,3668850.0,1.8493700000000002,7.161739999999999,3.38288,0.0337086,12.3011,4.361020544241256e-06
11,3668850.0,1.83005,7.46888,3.97871,0.039645599999999996,13.2099,4.361020544241256e-06
12,3668850.0,1.84453,7.751360000000001,4.5984300000000005,0.0458208,14.1184,4.361020544241256e-06
13,3668850.0,1.87877,8.023539999999999,5.24066,0.0522203,15.0394,4.361020544241256e-06
14,3668850.0,1.92493,8.293569999999999,5.90494,0.0588394,15.9805,4.361020544241256e-06
15,3668850.0,1.9786400000000002,8.566139999999999,6.59128,0.0656784,16.9465,4.361020544241256e-06
16,3668850.0,2.03746,8.844,7.30001,0.0727406,17.9405,4.361020544241256e-06
17,3668840.0,2.10007,9.12882,8.03165,0.0800309,18.9645,7.0866583843365305e-06
18,3668840.0,2.1657599999999997,9.421669999999999,8.78679,0.0875555,20.0204,7.0866583843365305e-06
19,3668840.0,1.4512399999999999,9.52099,9.56049,0.095265,20.8976,7.0866583843365305e-06
20,3668840.0,1.03787,9.351460000000001,10.3303,0.10293599999999999,21.5035,7.0866583843365305e-06
21,3668840.0,0.794097,9.04311,11.08,0.11040599999999999,21.9511,7.0866583843365305e-06
22,3668840.0,0.646087,8.66822,11.8016,0.11759700000000001,22.3043,7.0866583843365305e-06
23,3668840.0,0.552393,8.266739999999999,12.4914,0.12447000000000001,22.599,7.0866583843365305e-06
24,3668840.0,0.48973500000000003,7.860519999999999,13.1482,0.13101500000000002,22.8558,7.0866583843365305e-06
25,3668840.0,0.445024,7.46126,13.7722,0.137232,23.0865,7.0866583843365305e-06
26,3668840.0,0.410887,7.075019999999999,14.3641,0.14313,23.2979,7.0866583843365305e-06
27,3668840.0,0.38316500000000003,6.70471,14.9252,0.148722,23.4942,7.0866583843365305e-06
28,3668840.0,1.67995,6.6836899999999995,15.466,0.15411,24.0258,7.0866583843365305e-06
29,3668840.0,2.67117,7.19868,16.028,0.15971,25.1133,7.0866583843365305e-06
30,3668830.0,3.53859,8.10918,16.6485,0.165893,26.6548,9.812296224542827e-06
31,3668830.0,4.39272,9.35352,17.3569,0.172952,28.6187,9.812296224542827e-06
32,3668830.0,5.30564,10.9173,18.1794,0.181148,31.0177,9.812296224542827e-06
33,3668820.0,6.3297099999999995,12.8162,19.1426,0.190746,33.8945,1.2537934064638101e-05
34,3668820.0,7.5083899999999995,15.0871,20.2752,0.202031,37.3151,1.2537934064638101e-05
35,3668810.0,8.88265,17.7841,21.6094,0.21532600000000002,41.3664,1.5263571904733375e-05
36,3668800.0,10.4951,20.9764,23.1827,0.23100199999999999,46.1556,1.798920974493967e-05
37,3668800.0,12.3928,24.7491,25.0387,0.24949699999999997,51.8123,1.798920974493967e-05
38,3668790.0,14.6295,29.2046,27.2287,0.27131900000000003,58.4906,2.0714847585034946e-05
39,3668780.0,15.3213,33.9899,29.8002,0.296942,65.8765,2.3440485425241242e-05
40,3668770.0,16.5983,38.8737,32.7634,0.326469,73.7595,2.6166123265336516e-05
41,3668750.0,18.3146,44.0876,36.1364,0.360079,82.3884,3.161739894563809e-05
42,3668740.0,20.4021,49.7957,39.9529,0.398109,91.9613,3.434303678573336e-05
43,3668730.0,22.8383,56.1287,44.2586,0.441013,102.655,3.706867462593966e-05
44,3668710.0,25.6282,63.2034,49.1092,0.489346,114.64200000000001,4.2519950306130205e-05
45,3668690.0,28.7942,71.1341,54.5696,0.543756,128.10399999999998,4.7971225986431776e-05
46,3668670.0,32.3711,80.0399,60.7143,0.604985,143.233,5.3422501666733346e-05
47,3668650.0,36.4035,90.0494,67.6278,0.673874,160.245,5.887377734703492e-05
