,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.5714285714285714,5
13,0,0,2.142857142857143,5
14,0,0,2.7142857142857144,5
15,0,0,3.2857142857142856,5
16,1,0,3.7142857142857135,5
17,1,0,4.142857142857143,5
18,1,0,4.571428571428571,5
19,1,0,4.428571428571429,5
20,1,0,4.285714285714286,5
21,1,0,4.142857142857143,5
22,1,0,4.0,5
23,2,0,4.714285714285714,11
24,2,0,5.428571428571429,11
25,2,0,6.142857142857142,11
26,2,0,7.0,12
27,3,0,7.857142857142858,13
28,3,0,8.857142857142858,14
29,3,0,9.857142857142858,14
30,4,0,11.285714285714285,23
31,4,0,13.0,25
32,4,0,14.857142857142858,26
33,8,0,16.857142857142858,32
34,8,0,19.0,33
35,8,0,21.0,33
36,8,0,23.714285714285715,38
37,8,0,25.285714285714285,38
38,12,0,26.57142857142857,42
39,12,0,28.42857142857143,47
40,12,0,31.714285714285715,59
41,12,0,34.857142857142854,59
42,27,0,37.285714285714285,69
43,29,0,39.142857142857146,72
44,29,0,41.857142857142854,78
45,27,0,45.28571428571429,81
46,29,0,49.714285714285715,95
47,35,0,51.57142857142857,95
48,53,0,53.28571428571429,112
49,53,0,59.28571428571429,137
50,53,0,65.71428571428571,141
51,53,1,76.0,175
52,67,1,84.71428571428571,183
53,71,1,92.28571428571428,191
54,84,1,100.28571428571428,201
55,85,1,109.14285714285714,207
56,85,1,115.85714285714286,217
57,85,1,124.0,231
58,85,1,129.42857142857142,245
59,129,1,129.85714285714286,248
60,141,1,131.0,269
61,150,1,133.57142857142858,285
62,159,1,135.57142857142858,295
63,162,1,137.57142857142858,308
64,182,1,136.71428571428572,322
65,197,1,132.28571428571428,326
66,203,1,133.0,327
67,222,1,131.0,336
68,231,1,127.42857142857143,341
69,245,1,122.14285714285714,344
70,252,1,114.85714285714286,347
71,266,1,107.0,351
72,281,1,100.14285714285714,362
73,294,1,93.0,368
74,305,1,86.14285714285714,371
75,318,1,79.57142857142857,382
76,320,1,75.28571428571429,389
77,321,1,74.0,407
78,332,1,77.28571428571429,440
79,336,1,86.2857142857143,480
80,342,1,96.28571428571428,486
81,343,1,108.85714285714286,497
82,346,1,122.85714285714286,508
83,358,1,138.42857142857142,536
84,360,1,153.85714285714286,554
85,375,2,165.85714285714286,568
86,427,4,168.14285714285714,590
87,437,5,172.5714285714286,616
88,452,5,177.28571428571428,643
89,472,6,185.0,693
90,502,7,195.0,756
91,538,8,209.42857142857144,840
92,554,10,232.28571428571428,915
93,587,10,266.57142857142856,996
94,625,12,304.14285714285717,1074
95,641,12,346.28571428571433,1134
96,691,13,394.8571428571428,1259
97,759,14,436.8571428571428,1314
98,821,16,483.1428571428572,1455
99,913,16,519.1428571428571,1532
100,965,16,550.7142857142857,1601
101,1059,16,577.4285714285714,1699
102,1152,17,596.0,1780
103,1217,19,605.7142857142858,1859
104,1287,19,619.2857142857142,1942
105,1322,19,628.4285714285714,2023
106,1481,20,638.1428571428571,2172
107,1526,25,648.4285714285714,2243
108,1648,26,645.8571428571429,2280
109,1717,26,643.1428571428571,2335
110,1738,26,643.8571428571429,2392
111,1820,26,644.7142857142858,2488
112,1943,28,630.1428571428571,2551
113,2030,30,616.8571428571429,2638
114,2053,30,621.5714285714286,2808
115,2143,30,632.0,2852
116,2223,30,641.4285714285714,2911
117,2312,31,647.0,3010
118,2316,33,668.0,3138
119,2383,34,705.8571428571429,3262
120,2427,34,750.7142857142858,3353
121,2502,36,777.4285714285713,3450
122,2619,37,804.4285714285713,3524
123,2708,39,849.2857142857142,3719
124,2839,40,884.0,3789
125,2895,40,902.7142857142856,3855
126,2965,40,912.7142857142856,3920
127,3061,40,910.0,3974
128,3176,41,913.1428571428572,4151
129,3277,41,919.2857142857144,4229
130,3403,41,919.0,4414
131,3536,41,918.5714285714287,4484
132,3650,41,911.4285714285713,4561
133,3801,41,893.4285714285713,4631
134,3878,47,879.5714285714287,4701
135,4074,47,845.4285714285713,4816
136,4130,47,812.7142857142858,4859
137,4217,47,767.0,4914
138,4264,47,734.0,4987
139,4390,47,706.7142857142858,5116
140,4517,47,690.1428571428571,5237
141,4587,47,675.4285714285714,5307
142,4710,47,669.2857142857142,5409
143,4762,48,675.4285714285714,5535
