,Recovered,Deceased,Infected,I_c
0,0,0,1.1428571428571428,2
1,1,0,1.1428571428571428,2
2,1,0,2.142857142857143,9
3,1,0,3.1428571428571432,9
4,1,0,4.428571428571429,11
5,1,0,5.7142857142857135,11
6,1,0,7.142857142857142,12
7,1,0,9.285714285714286,18
8,1,0,11.571428571428573,18
9,1,0,12.857142857142858,18
10,1,0,14.142857142857142,18
11,1,0,15.142857142857142,18
12,10,0,14.857142857142858,18
13,10,0,14.428571428571427,18
14,10,0,13.285714285714285,19
15,18,0,11.142857142857142,20
16,18,0,9.0,20
17,18,0,7.0,21
18,18,0,6.0,28
19,18,0,6.428571428571429,29
20,18,0,7.0,30
21,18,0,8.285714285714286,36
22,18,0,10.571428571428571,36
23,18,0,13.142857142857142,38
24,18,0,15.571428571428573,38
25,18,0,17.0,38
26,18,0,18.285714285714285,38
27,23,0,18.857142857142858,39
28,23,0,18.571428571428573,39
29,23,0,18.428571428571427,40
30,23,0,19.0,47
31,23,0,19.571428571428573,47
32,23,0,20.142857142857142,47
33,25,0,21.428571428571427,54
34,25,0,25.0,66
35,25,2,30.42857142857143,81
36,25,2,36.0,83
37,34,2,40.142857142857146,89
38,34,2,44.28571428571429,89
39,39,2,48.28571428571429,93
40,39,2,51.57142857142857,93
41,39,2,54.0,99
42,39,2,55.14285714285714,103
43,39,2,57.14285714285714,111
44,39,2,59.714285714285715,112
45,74,2,57.0,110
46,74,2,57.14285714285714,129
47,75,2,58.42857142857143,138
48,75,2,59.14285714285714,140
49,75,2,60.14285714285714,146
50,75,2,59.85714285714285,145
51,75,2,59.42857142857143,145
52,80,2,64.28571428571429,150
53,80,2,66.42857142857143,150
54,80,2,67.42857142857143,150
55,91,2,66.57142857142857,150
56,127,2,59.714285714285715,150
57,127,2,54.0,157
58,127,2,48.57142857142857,159
59,137,2,41.857142857142854,160
60,137,2,35.857142857142854,165
61,137,2,30.0,166
62,137,2,25.714285714285715,166
63,138,2,32.57142857142857,209
64,157,2,37.142857142857146,219
65,157,2,41.57142857142857,220
66,157,2,48.57142857142857,229
67,157,2,55.42857142857143,233
68,157,3,63.85714285714285,246
69,157,3,73.28571428571429,253
70,159,3,79.28571428571429,273
71,190,3,82.57142857142857,276
72,192,3,86.14285714285714,281
73,201,3,88.14285714285714,288
74,208,3,88.85714285714286,290
75,217,3,86.85714285714286,292
76,223,3,83.0,292
77,249,4,73.71428571428571,299
78,294,4,67.71428571428571,339
79,314,4,63.14285714285714,372
80,319,4,64.71428571428571,418
81,338,4,66.28571428571429,432
82,343,4,75.85714285714286,486
83,359,4,91.85714285714286,541
84,366,4,116.85714285714286,591
85,368,4,154.57142857142858,677
86,372,5,200.57142857142856,753
87,439,7,235.28571428571428,784
88,504,7,264.57142857142856,806
89,508,7,290.57142857142856,836
90,521,7,314.0,870
91,593,7,337.7142857142857,987
92,682,7,351.28571428571433,1089
93,721,7,360.1428571428572,1166
94,758,7,381.4285714285714,1252
95,864,7,416.71428571428567,1413
96,1008,11,438.0,1489
97,1044,12,462.71428571428567,1571
98,1103,12,480.0,1623
99,1141,12,497.1428571428572,1673
100,1186,12,514.4285714285714,1757
101,1220,13,528.7142857142857,1820
102,1284,14,538.7142857142857,1910
103,1320,14,566.7142857142858,2000
104,1368,15,592.0,2075
105,1434,16,625.7142857142858,2194
106,1509,16,662.5714285714286,2303
107,1574,16,696.4285714285713,2386
108,1639,17,728.0,2464
109,1655,18,767.1428571428571,2559
110,1778,18,791.2857142857142,2631
111,1850,18,813.0,2712
112,1944,19,823.8571428571429,2783
113,2022,20,826.0,2835
114,2108,20,818.7142857142858,2873
115,2213,21,804.0,2939
116,2317,21,771.5714285714287,2997
117,2413,21,741.4285714285713,3058
118,2558,21,692.8571428571429,3083
119,2579,21,654.4285714285714,3151
120,2641,21,621.1428571428571,3222
121,2737,22,587.8571428571429,3271
122,2799,24,554.0,3291
123,2857,24,526.4285714285714,3347
124,2904,24,501.28571428571433,3376
125,2962,24,489.4285714285714,3407
126,3018,24,466.4285714285714,3432
127,3085,24,443.8571428571428,3511
128,3141,25,426.1428571428572,3554
