,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3254290.0,0.6688029999999999,1.09197,0.126664,0.00109049,2.0779799999999997,-9.218609176020465e-07
1,3254280.0,1.30817,1.15851,0.25412399999999996,0.00218783,2.27435,2.1510088077381084e-06
2,3254280.0,2.1036799999999998,1.35228,0.39623400000000003,0.00341129,2.61305,2.1510088077381084e-06
3,3254280.0,3.14514,1.69715,0.568746,0.004896500000000001,3.1339900000000003,2.1510088077381084e-06
4,3254280.0,4.55104,2.23387,0.7910590000000001,0.00681046,3.89776,2.1510088077381084e-06
5,3254270.0,6.48206,3.02497,1.08841,0.00937042,4.99262,5.223878533189286e-06
6,3254270.0,9.159419999999999,4.16193,1.49473,0.012868600000000001,6.54476,5.223878533189286e-06
7,3254270.0,10.1543,5.52904,2.04751,0.017627599999999997,8.4714,5.223878533189286e-06
8,3254260.0,11.4954,6.96813,2.7600700000000002,0.0237622,10.6319,8.29674825852944e-06
9,3254260.0,13.1982,8.53801,3.6439999999999997,0.0313723,13.0967,8.29674825852944e-06
10,3254250.0,12.2819,10.009,4.70669,0.0405213,15.6377,1.1369617983869595e-05
11,3254250.0,11.6806,11.1781,5.9195400000000005,0.050963,18.0289,1.1369617983869595e-05
12,3254250.0,11.3108,12.1293,7.25303,0.062443399999999996,20.3244,1.1369617983869595e-05
13,3254250.0,6.9551,12.504000000000001,8.66959,0.074639,22.1191,1.1369617983869595e-05
14,3254250.0,3.9967699999999997,12.1555,10.0846,0.08682139999999999,23.1919,1.1369617983869595e-05
15,3254250.0,2.0209900000000003,11.3851,11.4336,0.09843500000000001,23.7781,1.1369617983869595e-05
16,3254250.0,0.731251,10.3945,12.6805,0.10917,24.0426,1.1369617983869595e-05
17,3254250.0,-0.08359660000000001,9.316239999999999,13.8081,0.118878,24.1,1.1369617983869595e-05
18,3254250.0,-0.5733050000000001,8.23439,14.8117,0.12751800000000002,24.0294,1.1369617983869595e-05
19,3254250.0,1.70071,7.450019999999999,15.7035,0.135196,24.1491,1.1369617983869595e-05
20,3254250.0,3.77293,7.159330000000001,16.5345,0.14235,24.7006,1.1369617983869595e-05
21,3254240.0,5.77855,7.28368,17.3563,0.149426,25.6579,1.4442487709320773e-05
22,3254240.0,7.8319399999999995,7.77641,18.2135,0.156806,27.0193,1.4442487709320773e-05
23,3254230.0,10.0353,8.61631,19.1468,0.16484100000000002,28.805,1.7515357434660928e-05
24,3254230.0,12.4857,9.80317,20.1957,0.17387,31.0546,1.7515357434660928e-05
25,3254220.0,15.2808,11.3551,21.4006,0.18424400000000002,33.8275,2.0588227160001082e-05
26,3254220.0,14.2685,12.9032,22.79,0.196206,36.7749,2.0588227160001082e-05
27,3254210.0,13.5921,14.125,24.3369,0.20952300000000001,39.5555,2.366109688545226e-05
28,3254210.0,13.1622,15.1105,26.0094,0.22392199999999998,42.227,2.366109688545226e-05
29,3254210.0,12.9132,15.9254,27.7843,0.23920300000000003,44.8317,2.366109688545226e-05
30,3254200.0,12.7977,16.6179,29.6451,0.255223,47.4008,2.6733966610792415e-05
31,3254200.0,12.7808,17.223,31.5799,0.27188,49.9572,2.6733966610792415e-05
32,3254190.0,12.8372,17.7663,33.5801,0.289101,52.518,2.9806836336243592e-05
33,3254190.0,12.9485,18.2665,35.6398,0.30683299999999997,55.0959,2.9806836336243592e-05
34,3254180.0,16.8921,19.0996,37.7686,0.32516100000000003,58.0841,3.287970606158375e-05
35,3254170.0,20.9095,20.5918,40.0306,0.34463499999999997,61.8657,3.59525757869239e-05
36,3254160.0,25.1552,22.7001,42.4982,0.36588000000000004,66.4714,3.902544551237508e-05
37,3254150.0,29.7691,25.4141,45.2411,0.389494,71.9612,4.2098315237715234e-05
38,3254130.0,34.8836,28.7501,48.3292,0.41608100000000003,78.4221,4.8244054688506566e-05
39,3254120.0,32.7473,31.9938,51.8072,0.446024,85.1695,5.131692441384672e-05
40,3254110.0,31.3146,34.5508,55.6151,0.47880600000000006,91.5643,5.4389794139186876e-05
41,3254110.0,30.3974,36.6101,59.6856,0.51385,97.7272,5.4389794139186876e-05
42,3254100.0,29.8586,38.3095,63.97,0.550736,103.74700000000001,5.746266386463805e-05
43,3254090.0,29.598000000000003,39.7499,68.4332,0.589162,109.68799999999999,6.053553358997821e-05
44,3254080.0,29.5429,41.0045,73.05,0.628909,115.59899999999999,6.360840331542938e-05
45,3254070.0,29.6398,42.1273,77.8023,0.669823,121.516,6.668127304076954e-05
46,3254060.0,29.8502,43.1574,82.6775,0.7117939999999999,127.463,6.97541427661097e-05
47,3254050.0,30.1457,44.1235,87.6665,0.754746,133.46200000000002,7.282701249156087e-05
48,3254040.0,30.5058,45.0466,92.7634,0.7986270000000001,139.526,7.589988221690103e-05
49,3254030.0,30.9155,45.9421,97.9641,0.8434010000000001,145.668,7.897275194224118e-05
50,3254020.0,31.3639,46.8213,103.266,0.889049,151.89600000000002,8.204562166769236e-05
51,3254010.0,31.8432,47.6924,108.66799999999999,0.935557,158.217,8.511849139303251e-05
52,3254000.0,32.3475,48.5617,114.17,0.9829209999999999,164.636,8.819136111837267e-05
53,3253990.0,32.8729,49.4337,119.771,1.03114,171.158,9.126423084382385e-05
54,3253980.0,33.4163,50.3117,125.47200000000001,1.0802200000000002,177.787,9.4337100569164e-05
55,3253980.0,23.3407,50.1319,131.232,1.12982,183.398,9.4337100569164e-05
56,3253980.0,16.115,48.3535,136.875,1.17839,187.296,9.4337100569164e-05
57,3253980.0,10.9539,45.6107,142.254,1.22471,189.968,9.4337100569164e-05
58,3253980.0,7.285810000000001,42.3413,147.287,1.26804,191.768,9.4337100569164e-05
59,3253980.0,4.69546,38.8432,151.931,1.3080200000000002,192.94799999999998,9.4337100569164e-05
60,3253980.0,2.8811,35.3147,156.171,1.3445200000000002,193.69299999999998,9.4337100569164e-05
61,3253980.0,1.6238,31.8838,160.013,1.3776,194.13400000000001,9.4337100569164e-05
62,3253970.0,9.27478,29.4626,163.504,1.40765,195.24900000000002,9.740997029461518e-05
63,3253960.0,16.1228,28.6673,166.813,1.43614,197.80599999999998,0.00010048284001995533
64,3253950.0,22.5832,29.2102,170.109,1.46452,201.68599999999998,0.00010355570974529549
65,3253940.0,28.9901,30.9051,173.53400000000002,1.49401,206.84799999999998,0.00010662857947074666
66,3253920.0,35.6233,33.6437,177.213,1.52568,213.31,0.00011277431892142697
67,3253900.0,42.728,37.3789,181.261,1.56053,221.143,0.00011892005837221831
68,3253880.0,50.5315,42.1131,185.792,1.59954,230.463,0.00012506579782300964
69,3253860.0,49.9696,47.0074,190.89,1.64343,240.498,0.00013121153727380097
70,3253850.0,50.1711,51.3383,196.514,1.69185,250.50099999999998,0.00013428440699914113
71,3253830.0,50.9582,55.2936,202.61,1.74433,260.606,0.00014043014644993246
72,3253810.0,52.2023,59.012,209.143,1.80057,270.91700000000003,0.00014657588590061277
73,3253790.0,53.8111,62.5963,216.093,1.86041,281.514,0.0001527216253514041
74,3253790.0,43.574,64.9244,223.403,1.92334,291.195,0.0001527216253514041
75,3253780.0,35.8097,65.3117,230.863,1.9875599999999998,299.09,0.00015579449507685528
76,3253780.0,29.8701,64.372,238.28599999999997,2.0514799999999997,305.626,0.00015579449507685528
77,3253770.0,25.2806,62.5472,245.549,2.114,311.118,0.00015886736480219543
78,3253770.0,21.694000000000003,60.1541,252.56799999999998,2.17443,315.797,0.00015886736480219543
79,3253760.0,25.7997,58.1069,259.319,2.23256,320.567,0.0001619402345275356
80,3253750.0,29.0473,56.9726,265.89099999999996,2.28913,326.067,0.00016501310425298676
81,3253720.0,48.4565,58.0953,272.432,2.34544,333.82599999999996,0.00017423171342911825
82,3253680.0,69.1302,62.8654,279.309,2.40465,345.574,0.0001865231923305899
83,3253630.0,92.2829,71.2404,286.935,2.47031,361.68699999999995,0.0002018875409575127
84,3253570.0,119.17200000000001,83.4145,295.731,2.54603,382.786,0.00022032475930977569
85,3253490.0,151.17600000000002,99.8089,306.152,2.63575,409.756,0.00024490771711283
86,3253400.0,189.868,121.07700000000001,318.715,2.74391,443.773,0.00027256354464122445
87,3253290.0,237.106,148.123,334.028,2.87574,486.358,0.00030636511162041025
88,3253150.0,295.116,182.14,352.81300000000005,3.03747,539.437,0.00034938528777583855
89,3253070.0,282.223,216.722,375.656,3.23413,597.033,0.00037396824557878183
90,3252990.0,275.845,245.75099999999998,402.119,3.46196,652.74,0.00039855120338183614
91,3252900.0,274.358,270.9,431.667,3.71635,707.689,0.0004262070309103416
92,3252810.0,276.58,293.39599999999996,463.931,3.99411,762.7310000000001,0.0004538628584387361
93,3252720.0,281.66,314.145,498.66,4.2931099999999995,818.518,0.00048151868596713054
