,Recovered,Deceased,Infected,I_c
0,0,0,4.285714285714286,8
1,0,0,5.142857142857143,8
2,0,0,7.7142857142857135,20
3,0,0,11.0,25
4,1,0,13.857142857142858,25
5,1,0,16.714285714285715,25
6,1,0,19.142857142857142,26
7,1,0,23.57142857142857,40
8,5,0,27.42857142857143,40
9,5,0,31.142857142857146,51
10,10,0,33.714285714285715,53
11,11,0,36.714285714285715,56
12,11,0,39.714285714285715,56
13,18,0,41.57142857142857,56
14,18,0,41.42857142857143,56
15,19,0,41.714285714285715,56
16,45,0,36.714285714285715,56
17,54,0,30.857142857142854,56
18,55,0,24.57142857142857,56
19,55,0,18.285714285714285,56
20,56,0,12.857142857142858,56
21,56,0,7.857142857142858,59
22,56,0,3.0,59
23,56,0,1.8571428571428568,59
24,56,0,2.0,59
25,56,0,2.7142857142857144,62
26,56,0,3.4285714285714284,62
27,56,0,4.571428571428571,64
28,56,0,5.285714285714286,64
29,56,0,7.571428571428571,75
30,56,0,15.285714285714285,113
31,56,0,23.142857142857146,114
32,56,0,30.57142857142857,114
33,56,0,38.0,114
34,59,0,44.714285714285715,114
35,59,0,51.42857142857143,114
36,91,0,52.0,114
37,91,0,47.28571428571429,115
38,92,0,42.57142857142857,117
39,92,0,38.0,118
40,92,0,33.285714285714285,117
41,92,0,29.142857142857146,118
42,95,0,25.142857142857146,122
43,95,0,25.714285714285715,122
44,104,0,25.0,123
45,104,0,24.57142857142857,126
46,104,0,24.57142857142857,130
47,104,0,26.142857142857146,140
48,104,0,28.142857142857146,144
49,104,0,30.142857142857146,145
50,112,0,31.285714285714285,147
51,113,0,34.285714285714285,153
52,113,0,37.0,154
53,116,0,39.285714285714285,158
54,120,0,39.57142857142857,158
55,125,0,38.57142857142857,158
56,125,0,38.0,162
57,128,0,38.142857142857146,164
58,137,0,41.42857142857143,200
59,137,0,44.57142857142857,200
60,137,0,47.714285714285715,201
61,144,0,51.0,205
62,145,0,54.85714285714285,205
63,145,0,58.14285714285714,205
64,147,0,62.0,210
65,164,0,59.57142857142857,210
66,195,0,54.714285714285715,224
67,196,0,49.85714285714285,226
68,199,0,45.0,226
69,209,0,39.0,227
70,209,0,33.0,227
71,209,0,26.714285714285715,228
72,209,0,23.142857142857146,230
73,217,0,21.142857142857142,232
74,217,0,20.142857142857142,240
75,218,0,19.428571428571427,240
76,219,0,20.428571428571427,244
77,224,0,22.714285714285715,258
78,224,0,26.42857142857143,269
79,224,0,30.57142857142857,274
80,230,0,35.714285714285715,281
81,242,0,41.857142857142854,308
82,242,0,48.28571428571429,309
83,242,0,58.0,335
84,243,0,68.71428571428571,352
85,252,0,79.71428571428571,374
86,260,0,91.28571428571428,391
87,284,0,103.85714285714286,423
88,293,0,113.57142857142857,427
89,298,0,125.85714285714286,451
90,307,0,139.71428571428572,497
91,325,1,151.42857142857142,517
92,333,1,169.0,579
93,375,1,181.0,591
94,408,1,194.57142857142856,643
95,430,2,213.0,695
96,431,2,234.57142857142856,737
97,474,2,258.14285714285717,831
98,504,2,285.7142857142857,890
99,549,2,306.57142857142856,942
100,582,3,338.2857142857143,1022
101,649,3,369.1428571428572,1102
102,666,4,402.71428571428567,1168
103,713,4,430.71428571428567,1217
104,745,4,457.8571428571428,1294
105,772,4,482.8571428571428,1335
106,830,4,511.71428571428567,1427
107,923,4,533.2857142857143,1515
108,962,4,566.1428571428571,1646
109,1007,4,595.0,1711
110,1058,4,640.4285714285714,1880
111,1174,4,686.0,2042
112,1226,4,734.2857142857142,2127
113,1314,4,782.0,2245
114,1389,5,826.7142857142858,2295
115,1503,5,854.1428571428571,2380
116,1559,6,877.1428571428571,2426
117,1672,6,876.7142857142858,2493
118,1796,7,862.0,2564
119,1951,7,826.0,2603
120,2040,7,777.1428571428571,2632
121,2176,7,717.7142857142858,2668
122,2254,7,656.2857142857142,2703
123,2313,7,591.4285714285714,2727
124,2375,7,526.0,2739
125,2444,7,460.4285714285714,2753
126,2500,7,408.4285714285714,2788
127,2558,7,360.4285714285714,2814
128,2609,7,325.57142857142856,2857
129,2644,7,295.57142857142856,2883
130,2680,7,268.0,2901
131,2696,7,248.7142857142857,2925
