,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2035850.0,2.12907,3.92677,0.458032,0.00147331,8.10192,1.9647774349706992e-06
1,2035840.0,4.037719999999999,3.7420400000000003,0.885575,0.00284855,8.34763,6.876721022286425e-06
2,2035840.0,6.26215,3.73276,1.30211,0.004188399999999999,8.75801,6.876721022286425e-06
3,2035840.0,8.93217,3.90899,1.72775,0.00555752,9.363389999999999,6.876721022286425e-06
4,2035830.0,12.2076,4.29066,2.1842599999999996,0.00702591,10.2056,1.1788664609491128e-05
5,2035830.0,16.2881,4.9091,2.69623,0.00867272,11.341,1.1788664609491128e-05
6,2035820.0,21.4252,5.80935,3.2925199999999997,0.0105908,12.8435,1.6700608196806854e-05
7,2035810.0,27.9384,7.05319,4.00791,0.012891899999999998,14.8103,2.161255178412258e-05
8,2035800.0,29.8252,8.489239999999999,4.87677,0.0156867,17.1195,2.6524495371438306e-05
9,2035790.0,32.0251,9.92752,5.906219999999999,0.018997999999999998,19.5923,3.143643895875403e-05
10,2035780.0,34.5443,11.3917,7.09783,0.022831,22.2539,3.634838254606976e-05
11,2035770.0,37.3938,12.9036,8.45572,0.0271988,25.1303,4.126032613338548e-05
12,2035760.0,40.589,14.4837,9.986369999999999,0.0321223,28.2486,4.617226972070121e-05
13,2035750.0,38.944,15.9533,11.6912,0.037606099999999996,31.4273,5.1084213308016935e-05
14,2035750.0,37.5692,17.153,13.5451,0.043569199999999995,34.4856,5.1084213308016935e-05
15,2035760.0,21.1995,17.5066,15.4966,0.049846499999999995,36.7839,4.617226972070121e-05
16,2035770.0,10.5602,16.8159,17.4244,0.0560477,38.0188,4.126032613338548e-05
17,2035770.0,3.8101599999999998,15.5512,19.2397,0.061886800000000006,38.5698,4.126032613338548e-05
18,2035780.0,-0.324238,14.0163,20.8963,0.0672154,38.6935,3.634838254606976e-05
19,2035780.0,-2.72037,12.4023,22.3754,0.071973,38.5614,3.634838254606976e-05
20,2035780.0,-3.9793,10.8249,23.6751,0.0761536,38.2869,3.634838254606976e-05
21,2035780.0,-4.51009,9.349730000000001,24.8035,0.0797833,37.9433,3.634838254606976e-05
22,2035780.0,-4.5887400000000005,8.009739999999999,25.7741,0.0829054,37.5771,3.634838254606976e-05
23,2035780.0,-2.18776,6.902410000000001,26.6061,0.08558160000000001,37.3063,3.634838254606976e-05
24,2035780.0,0.398623,6.10046,27.3313,0.0879142,37.2339,3.634838254606976e-05
25,2035780.0,3.3674699999999995,5.59276,27.983,0.09001060000000001,37.3824,3.634838254606976e-05
26,2035770.0,6.96833,5.3861300000000005,28.5945,0.0919775,37.7921,4.126032613338548e-05
27,2035760.0,11.527000000000001,5.50831,29.2007,0.0939274,38.5261,4.617226972070121e-05
28,2035760.0,17.4778,6.01265,29.8411,0.09598730000000001,39.6777,4.617226972070121e-05
29,2035740.0,25.4069,6.98522,30.5629,0.09830889999999999,41.3807,5.599615689533266e-05
30,2035730.0,36.1124,8.554960000000001,31.4251,0.101082,43.824,6.0908100482648386e-05
31,2035700.0,50.6864,10.9082,32.5043,0.104554,47.2716,7.564393124459556e-05
32,2035670.0,70.6277,14.3088,33.902,0.10905,52.0903,9.037976200654274e-05
33,2035630.0,97.99700000000001,19.1264,35.7546,0.11500899999999999,58.7883,0.00011002753635580564
34,2035570.0,135.631,25.8754,38.2477,0.123028,68.0686,0.00013949919787958898
35,2035570.0,113.56700000000001,32.5273,41.5349,0.133602,78.0006,0.00013949919787958898
36,2035570.0,95.2029,36.9476,45.4378,0.146156,86.3217,0.00013949919787958898
37,2035570.0,79.9065,39.6287,49.7348,0.159978,93.3013,0.00013949919787958898
38,2035560.0,67.1553,40.967,54.2542,0.174515,99.1633,0.0001444111414669047
39,2035560.0,56.5166,41.2807,58.8639,0.189342,104.09299999999999,0.0001444111414669047
40,2035560.0,47.6323,40.8248,63.4639,0.20413900000000001,108.245,0.0001444111414669047
41,2035560.0,40.2058,39.8019,67.9799,0.218665,111.74700000000001,0.0001444111414669047
42,2035550.0,40.6136,38.634,72.3674,0.232778,114.98100000000001,0.00014932308505422043
43,2035540.0,40.8795,37.6154,76.6327,0.246498,118.241,0.00015423502864153615
44,2035540.0,41.0289,36.7206,80.7911,0.259874,121.51799999999999,0.00015423502864153615
45,2035530.0,41.0829,35.9284,84.8553,0.272947,124.803,0.00015914697222885188
46,2035510.0,46.9149,35.4456,88.8439,0.285777,128.327,0.00016897085940348333
47,2035500.0,52.6314,35.4506,92.8062,0.29852199999999995,132.311,0.00017388280299079906
48,2035480.0,58.3156,35.8862,96.7933,0.311347,136.751,0.0001837066901654305
49,2035470.0,64.0403,36.707,100.851,0.324398,141.64700000000002,0.00018861863375274623
50,2035450.0,69.8703,37.8777,105.02,0.337809,147.005,0.00019844252092737769
51,2035430.0,75.8642,39.3713,109.338,0.351699,152.836,0.00020826640810200914
52,2035410.0,82.0753,41.168,113.84,0.366181,159.154,0.00021809029527652957
53,2035390.0,79.1542,42.8942,118.54700000000001,0.381319,165.59900000000002,0.00022791418245116102
54,2035380.0,76.6327,44.2315,123.42399999999999,0.39700599999999997,171.827,0.00023282612603847674
55,2035370.0,74.442,45.2488,128.43200000000002,0.413116,177.868,0.00023773806962579247
56,2035360.0,72.5254,46.003,133.539,0.429544,183.74400000000003,0.0002426500132131082
57,2035340.0,70.8358,46.5409,138.718,0.446204,189.476,0.00025247390038773965
58,2035320.0,78.4211,47.248999999999995,143.961,0.46306499999999995,195.449,0.0002622977875623711
59,2035300.0,86.0911,48.4588,149.31,0.48027299999999995,202.032,0.00027212167473700255
60,2035270.0,93.9309,50.1268,154.821,0.49799799999999994,209.235,0.00028685750549894973
61,2035250.0,102.01700000000001,52.22,160.542,0.516401,217.074,0.0002966813926735812
62,2035220.0,110.42200000000001,54.7149,166.52,0.535629,225.572,0.00031141722343541733
63,2035190.0,119.211,57.5953,172.798,0.555824,234.75799999999998,0.0003261530541973645
64,2035190.0,96.2412,59.5953,179.373,0.576973,243.33599999999998,0.0003261530541973645
65,2035190.0,77.5393,59.8121,186.067,0.598507,250.25400000000002,0.0003261530541973645
66,2035190.0,62.32899999999999,58.7277,192.71,0.619875,255.822,0.0003261530541973645
67,2035190.0,49.9738,56.7195,199.178,0.640678,260.29200000000003,0.0003261530541973645
68,2035200.0,39.9513,54.0812,205.38299999999998,0.6606380000000001,263.871,0.0003212411106100488
69,2035200.0,31.8333,51.0396,211.269,0.67957,266.72700000000003,0.0003212411106100488
70,2035200.0,25.2689,47.7678,216.8,0.6973630000000001,269.0,0.0003212411106100488
71,2035200.0,19.9705,44.3965,221.959,0.713956,270.79900000000004,0.0003212411106100488
