,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,6432160.0,5.78756,3.54426,0.337536,0.00148768,3.87575,1.3992169670684618e-06
1,6432160.0,4.99116,5.25265,0.9745159999999999,0.00429517,6.22042,1.3992169670684618e-06
2,6432150.0,4.720219999999999,6.524,1.82207,0.00803075,8.34187,2.953902486058091e-06
3,6432150.0,4.75875,7.58322,2.83498,0.012495200000000001,10.4186,2.953902486058091e-06
4,6432150.0,4.988090000000001,8.55857,3.9927699999999997,0.0175981,12.5579,2.953902486058091e-06
5,6432140.0,5.34397,9.52485,5.28918,0.023312,14.8279,4.50858800504772e-06
6,6432140.0,5.7926,10.5274,6.726380000000001,0.029646499999999996,17.2759,4.50858800504772e-06
7,6432140.0,6.31731,11.5954,8.31179,0.0366341,19.9386,4.50858800504772e-06
8,6432130.0,6.9112100000000005,12.7496,10.0563,0.0443232,22.8477,6.063273524037349e-06
9,6432130.0,7.57309,14.0065,11.9736,0.0527736,26.0332,6.063273524037349e-06
10,6432120.0,8.30514,15.3804,14.0794,0.062054700000000004,29.5254,7.617959043026978e-06
11,6432120.0,9.11174,16.8853,16.3914,0.0722449,33.356,7.617959043026978e-06
12,6432110.0,9.99877,18.5353,18.9295,0.0834315,37.5592,9.172644562016607e-06
13,6432100.0,10.9733,20.3454,21.7155,0.09571080000000001,42.1719,1.0727330081006237e-05
14,6432090.0,12.0435,22.3316,24.7735,0.10918900000000001,47.2343,1.2282015599995866e-05
15,6432090.0,13.2185,24.5113,28.1301,0.123983,52.7905,1.2282015599995866e-05
16,6432080.0,14.5082,26.9035,31.8142,0.140221,58.8888,1.3836701118985495e-05
17,6432070.0,15.9239,29.5291,35.8579,0.15804300000000002,65.5821,1.5391386637975124e-05
18,6432060.0,17.4778,32.4109,40.2962,0.17760499999999999,72.9286,1.6946072156964753e-05
19,6432040.0,19.1834,35.5739,45.1677,0.199076,80.9921,2.005544319494401e-05
20,6432030.0,21.0554,39.0455,50.5146,0.222642,89.8423,2.161012871393364e-05
21,6432010.0,23.1101,42.8558,56.3832,0.24850799999999998,99.5563,2.47194997519129e-05
22,6432000.0,25.3653,47.038000000000004,62.8246,0.27689899999999995,110.21799999999999,2.6274185270902528e-05
23,6431980.0,27.8405,51.6283,69.8945,0.308059,121.92,2.9383556308881786e-05
24,6431960.0,30.5573,56.6665,77.6544,0.34226100000000004,134.765,3.2492927346861045e-05
25,6431940.0,33.5391,62.1962,86.1716,0.3798,148.862,3.56022983848403e-05
26,6431910.0,36.8119,68.2656,95.5198,0.42100299999999996,164.335,4.026635494180919e-05
27,6431890.0,40.4039,74.9272,105.78,0.46622600000000003,181.31900000000002,4.337572597978845e-05
28,6431860.0,44.3465,82.2387,117.042,0.515862,199.959,4.8039782536757336e-05
29,6431830.0,48.6736,90.2637,129.403,0.570341,220.418,5.2703839093726224e-05
30,6431790.0,53.4229,99.0716,142.97,0.630137,242.87400000000002,5.892258116979576e-05
31,6431760.0,58.6356,108.73899999999999,157.86,0.695768,267.52,6.358663772676465e-05
32,6431710.0,64.3567,119.34899999999999,174.204,0.767803,294.57099999999997,7.13600653217128e-05
33,6431670.0,70.6359,130.995,192.143,0.846866,324.262,7.757880739767131e-05
34,6431620.0,77.5276,143.77700000000002,211.831,0.933644,356.85,8.535223499261946e-05
35,6431600.0,57.3874,151.70600000000002,233.143,1.02758,386.096,8.846160603059872e-05
36,6431580.0,45.3852,152.164,255.00599999999997,1.12394,408.46,9.157097706857797e-05
37,6431570.0,37.9588,148.679,276.624,1.21922,426.656,9.31256625875676e-05
38,6431550.0,33.1218,143.205,297.584,1.3116,442.213,9.623503362554686e-05
39,6431530.0,29.7658,136.81799999999998,317.684,1.40019,456.0,9.934440466352612e-05
40,6431520.0,27.2711,130.108,336.84,1.48462,468.519,0.00010089909018251575
41,6431510.0,25.2908,123.391,355.029,1.56479,480.064,0.00010245377570150538
42,6431490.0,23.6295,116.836,372.26599999999996,1.6407599999999998,490.81300000000005,0.00010556314673948464
43,6431480.0,22.1768,110.52600000000001,388.57800000000003,1.71265,500.881,0.00010711783225847427
44,6431470.0,20.8694,104.5,404.005,1.78065,510.344,0.0001086725177774639
