,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,2,2
2,0,0,4,4
3,0,0,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,5,5
9,0,0,5,5
10,0,0,5,5
11,0,0,5,5
12,0,0,5,5
13,0,0,5,5
14,0,0,5,5
15,0,0,5,5
16,0,0,5,5
17,0,0,5,5
18,0,0,5,5
19,0,0,5,5
20,1,0,4,5
21,1,0,4,5
22,2,0,3,5
23,3,0,2,5
24,3,0,2,5
25,4,0,2,6
26,5,0,1,6
27,5,0,1,6
28,5,0,1,6
29,5,0,1,6
30,5,0,1,6
31,5,0,1,6
32,5,0,1,6
33,5,0,1,6
34,5,0,1,6
35,5,0,1,6
36,5,0,1,6
37,6,0,0,6
38,6,0,0,6
39,6,0,0,6
40,6,0,2,8
41,6,0,2,8
42,6,0,2,8
43,6,0,2,8
44,6,0,2,8
45,6,0,2,8
46,6,0,2,8
47,6,0,2,8
48,6,0,2,8
49,6,0,5,11
50,6,0,5,11
51,6,0,12,18
52,6,0,25,31
53,6,0,35,41
54,6,0,38,44
55,8,0,40,48
56,6,0,47,53
57,8,0,45,53
58,8,0,57,65
59,11,0,57,68
60,12,0,61,73
61,15,0,64,79
62,20,0,61,81
63,20,0,66,86
64,21,0,70,91
65,29,0,66,95
66,36,0,69,105
67,36,0,73,109
68,36,0,81,117
69,36,0,87,123
70,37,0,83,120
71,41,0,84,125
72,48,0,81,129
73,54,0,76,130
74,72,0,62,134
75,72,0,63,135
76,77,0,64,141
77,110,0,35,145
78,112,0,47,159
79,116,1,45,162
80,117,1,44,162
81,122,1,49,172
82,126,2,44,172
83,126,2,44,172
84,133,2,37,172
85,139,2,43,184
86,139,2,43,184
87,139,2,52,193
88,140,2,51,193
89,140,2,57,199
90,164,2,36,202
91,164,3,43,210
92,165,3,47,215
93,166,3,55,224
94,167,3,62,232
95,173,3,90,266
96,178,3,94,275
97,187,3,86,276
98,194,3,109,306
99,198,3,120,321
100,198,3,130,331
101,223,3,106,332
102,241,3,126,370
103,257,3,145,405
104,273,5,192,470
105,304,7,211,522
106,308,9,248,565
107,331,10,266,607
108,359,11,262,632
109,373,13,382,768
110,384,13,429,826
111,418,13,458,889
112,432,13,542,987
113,483,13,574,1070
114,531,13,645,1189
115,624,14,698,1336
116,764,14,692,1470
117,842,14,727,1583
118,922,14,738,1674
119,1002,17,800,1819
120,1094,19,778,1891
121,1150,19,788,1957
122,1253,21,809,2083
123,1327,21,861,2209
124,1403,22,875,2300
125,1493,23,875,2391
126,1554,23,877,2454
127,1677,24,829,2530
128,1729,26,852,2607
129,1826,26,842,2694
130,1916,28,846,2790
131,2007,28,838,2873
132,2131,29,805,2965
133,2282,29,826,3137
134,2353,29,862,3244
135,2424,31,968,3423
136,2541,32,982,3555
137,2629,33,1031,3693
138,2776,37,895,3708
139,2910,38,800,3748
140,3001,39,772,3812
141,3071,40,779,3890
142,3205,40,703,3948
143,3329,42,642,4013
144,3473,42,581,4096
145,3609,42,526,4177
146,3727,42,463,4232
147,3820,42,417,4279
148,3874,42,431,4347
149,3942,42,463,4447
150,4013,42,428,4483
151,4046,42,448,4536
152,4069,42,471,4582
153,4116,42,476,4634
154,4151,42,478,4671
155,4205,42,473,4720
156,4226,42,511,4779
157,4285,42,505,4832
158,4373,42,456,4871
159,4424,42,443,4909
160,4463,43,431,4937
161,4519,43,412,4974
162,4539,44,420,5003
163,4575,44,407,5026
164,4627,44,389,5060
165,4665,44,385,5094
166,4723,44,365,5132
167,4783,44,340,5167
168,4828,44,334,5206
169,4866,44,322,5232
170,4896,44,326,5266
171,4926,44,315,5285
172,4964,44,305,5313
173,4995,44,302,5341
174,5028,44,302,5374
175,5062,45,295,5402
176,5089,45,304,5438
177,5111,45,306,5462
178,5141,45,292,5478
179,5175,45,314,5534
180,5205,45,331,5581
181,5261,45,314,5620
182,5298,45,316,5659
183,5331,45,350,5726
184,5331,45,350,5726
