,Recovered,Deceased,Infected,I_c
0,0,0,6.571428571428571,10
1,0,0,7.857142857142858,11
2,0,0,8.857142857142858,11
3,0,0,9.714285714285714,11
4,0,0,10.571428571428571,11
5,0,0,10.857142857142858,12
6,0,0,11.142857142857142,12
7,0,0,11.428571428571427,12
8,0,0,11.571428571428573,12
9,0,0,12.428571428571427,17
10,0,0,13.428571428571427,18
11,8,0,13.714285714285715,21
12,8,0,15.714285714285715,34
13,8,0,17.857142857142858,35
14,8,0,22.714285714285715,54
15,9,0,30.0,72
16,9,0,38.42857142857143,85
17,9,0,52.14285714285714,123
18,11,0,67.85714285714286,134
19,9,0,82.0,134
20,9,0,96.0,134
21,9,0,107.28571428571428,134
22,17,0,115.0,134
23,17,0,120.85714285714286,134
24,30,0,119.71428571428572,136
25,47,0,116.85714285714286,150
26,47,0,113.71428571428572,150
27,49,0,111.14285714285714,156
28,49,0,108.57142857142857,156
29,65,0,106.42857142857143,167
30,75,0,102.85714285714286,167
31,79,0,100.57142857142857,169
32,79,0,99.42857142857143,174
33,79,0,100.71428571428572,191
34,79,0,101.57142857142857,192
35,82,0,102.57142857142857,196
36,110,0,101.85714285714286,207
37,120,0,101.42857142857143,209
38,120,0,103.28571428571428,223
39,144,0,101.57142857142857,227
40,152,1,96.85714285714286,232
41,170,1,89.7142857142857,234
42,170,1,82.42857142857143,234
43,184,1,76.0,237
44,207,1,70.28571428571429,257
45,220,1,61.57142857142857,263
46,220,1,56.28571428571429,267
47,231,1,50.42857142857143,270
48,231,1,47.14285714285714,272
49,231,1,44.14285714285715,274
50,235,1,43.42857142857143,283
51,242,1,43.28571428571429,291
52,242,1,45.14285714285714,298
53,242,1,48.714285714285715,314
54,242,1,57.14285714285714,340
55,249,1,65.42857142857143,348
56,250,1,73.57142857142857,350
57,251,1,81.57142857142857,355
58,251,1,89.42857142857143,355
59,252,1,96.42857142857143,357
60,253,1,102.14285714285714,365
61,289,1,102.42857142857143,389
62,290,1,102.42857142857143,389
63,317,1,99.0,393
64,333,1,92.71428571428572,393
65,367,1,84.0,410
66,403,1,76.42857142857143,455
67,420,1,69.42857142857143,483
68,442,1,63.57142857142857,501
69,448,1,61.57142857142857,533
70,460,1,62.28571428571429,541
71,489,2,64.85714285714286,568
72,510,2,66.85714285714286,568
73,527,2,66.42857142857143,577
74,554,2,60.714285714285715,578
75,568,2,53.57142857142857,578
76,572,3,47.85714285714285,619
77,576,3,42.285714285714285,620
78,593,3,38.42857142857143,646
79,631,3,57.42857142857143,823
80,692,3,72.28571428571429,847
81,697,3,93.71428571428572,872
82,704,3,123.85714285714286,926
83,713,3,156.85714285714286,991
84,736,3,191.57142857142856,1023
85,787,3,226.14285714285717,1082
86,831,3,248.0,1176
87,846,3,285.85714285714283,1266
88,886,3,334.7142857142857,1403
89,914,3,390.0,1523
90,949,3,460.28571428571433,1719
91,1002,3,555.1428571428571,1953
92,1067,3,669.7142857142858,2164
93,1111,4,798.2857142857142,2357
94,1205,4,928.0,2534
95,1256,4,1038.5714285714287,2548
96,1300,4,1153.142857142857,2712
97,1312,4,1271.5714285714287,2912
98,1433,4,1375.4285714285709,3112
99,1575,4,1474.857142857143,3369
100,1900,4,1528.2857142857142,3520
101,2198,4,1529.142857142857,3533
102,2449,4,1513.4285714285709,3631
103,2624,4,1469.2857142857142,3727
104,2807,4,1384.4285714285709,3813
105,2812,5,1302.0,3915
106,2961,5,1196.5714285714287,4018
107,3115,5,1104.4285714285713,4091
108,3290,7,1041.4285714285713,4187
109,3427,8,985.2857142857144,4220
110,3583,8,921.5714285714287,4244
111,3622,8,875.0,4306
112,3689,8,814.4285714285713,4371
113,3770,8,760.8571428571429,4455
114,3897,8,710.2857142857142,4522
115,4019,8,660.4285714285714,4568
116,4112,8,614.2857142857142,4582
