,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3838740.0,35.7909,148.401,4707.52,9.000630000000001,4865.1,0.001521878400069121
1,3838720.0,33.5726,149.594,4724.28,9.03355,4883.07,0.0015270805138960508
2,3838700.0,32.315,149.832,4741.11,9.06661,4900.17,0.0015322826277229806
3,3838690.0,31.5673,149.565,4757.94,9.09967,4916.76,0.00153488368463639
4,3838670.0,31.0903,149.033,4774.72,9.13263,4933.04,0.0015400857984633198
5,3838650.0,30.7574,148.363,4791.44,9.165460000000001,4949.12,0.0015452879122902496
6,3838630.0,30.5013,147.621,4808.07,9.198139999999999,4965.04,0.0015504900261171795
7,3838610.0,30.2864,146.843,4824.62,9.23064,4980.85,0.0015556921399441093
8,3838590.0,30.0937,146.049,4841.08,9.26298,4996.54,0.001560894253771039
9,3838570.0,29.9132,145.248,4857.45,9.29513,5012.15,0.0015660963675979689
10,3838550.0,29.7397,144.445,4873.73,9.327110000000001,5027.65,0.0015712984814248987
11,3838530.0,29.5702,143.643,4889.92,9.35891,5043.07,0.0015765005952518285
12,3838510.0,29.4034,142.845,4906.02,9.39054,5058.41,0.0015817027090787583
13,3838500.0,29.2384,142.049,4922.04,9.42199,5073.65,0.0015843037659922787
14,3838480.0,29.0747,141.25799999999998,4937.96,9.45326,5088.81,0.0015895058798192085
15,3838460.0,28.9122,140.471,4953.79,9.48436,5103.89,0.0015947079936461384
16,3838440.0,28.7507,139.688,4969.54,9.51529,5118.88,0.0015999101074730682
17,3838420.0,28.5901,138.909,4985.19,9.54604,5133.79,0.001605112221299998
18,3838410.0,28.4305,138.134,5000.76,9.57662,5148.62,0.0016077132782135184
19,3838390.0,28.2718,137.364,5016.25,9.60703,5163.36,0.0016129153920404482
20,3838370.0,28.1139,136.597,5031.64,9.63727,5178.02,0.001618117505867378
21,3838350.0,27.956999999999997,135.835,5046.95,9.66735,5192.6,0.0016233196196943078
22,3838340.0,27.8009,135.078,5062.18,9.69725,5207.09,0.0016259206766077172
23,3838320.0,27.6456,134.32399999999998,5077.32,9.726989999999999,5221.51,0.001631122790434647
24,3838300.0,27.4912,133.57399999999998,5092.37,9.75657,5235.84,0.0016363249042615768
25,3838280.0,27.3377,132.829,5107.35,9.785969999999999,5250.1,0.0016415270180885067
26,3838270.0,27.185,132.088,5122.23,9.81522,5264.27,0.001644128075002027
27,3838250.0,27.0332,131.351,5137.04,9.8443,5278.37,0.0016493301888289569
28,3838230.0,26.8821,130.61700000000002,5151.76,9.87322,5292.39,0.0016545323026558867
29,3838220.0,26.732,129.888,5166.4,9.90197,5306.33,0.001657133359569296
30,3838200.0,26.5826,129.16299999999998,5180.96,9.93057,5320.19,0.001662335473396226
31,3838180.0,26.4341,128.442,5195.44,9.959,5333.97,0.0016675375872231557
32,3838170.0,26.2864,127.725,5209.84,9.98728,5347.68,0.0016701386441366761
33,3838150.0,26.1395,127.01100000000001,5224.15,10.0154,5361.31,0.001675340757963606
34,3838130.0,25.9934,126.302,5238.39,10.0434,5374.86,0.0016805428717905357
35,3838120.0,25.8481,125.59700000000001,5252.54,10.0712,5388.34,0.0016831439287039451
36,3838100.0,25.7036,124.895,5266.62,10.0988,5401.74,0.001688346042530875
37,3838080.0,25.5599,124.198,5280.62,10.1263,5415.07,0.0016935481563578048
38,3838070.0,25.416999999999998,123.50399999999999,5294.54,10.1537,5428.33,0.0016961492132713252
39,3838050.0,25.2749,122.814,5308.38,10.1809,5441.51,0.001701351327098255
40,3838040.0,25.1336,122.12799999999999,5322.15,10.2079,5454.61,0.0017039523840116644
41,3838020.0,24.993000000000002,121.445,5335.84,10.2348,5467.64,0.0017091544978387052
42,3838010.0,24.8533,120.766,5349.45,10.2615,5480.6,0.0017117555547521146
43,3837990.0,24.7143,120.09200000000001,5362.99,10.2881,5493.49,0.0017169576685790444
44,3837980.0,24.576,119.42,5376.45,10.3145,5506.31,0.0017195587254925648
45,3837960.0,24.4386,118.75299999999999,5389.83,10.3408,5519.05,0.0017247608393194946
46,3837940.0,24.3019,118.089,5403.14,10.367,5531.72,0.0017299629531464245
47,3837930.0,24.1659,117.429,5416.38,10.392999999999999,5544.32,0.0017325640100598338
48,3837910.0,24.0307,116.772,5429.54,10.4188,5556.85,0.0017377661238867637
49,3837900.0,23.8963,116.119,5442.63,10.4445,5569.31,0.001740367180800284
50,3837880.0,23.7625,115.47,5455.65,10.4701,5581.71,0.0017455692946272139
51,3837870.0,23.6296,114.824,5468.59,10.4955,5594.03,0.0017481703515406233
52,3837850.0,23.4973,114.182,5481.46,10.5208,5606.28,0.001753372465367553
53,3837840.0,23.3658,113.544,5494.26,10.5459,5618.46,0.0017559735222810735
54,3837830.0,23.235,112.90899999999999,5506.98,10.5709,5630.58,0.001758574579194483
55,3837810.0,23.105,112.277,5519.64,10.5958,5642.63,0.0017637766930214127
56,3837800.0,22.9756,111.649,5532.22,10.6205,5654.61,0.0017663777499349331
57,3837780.0,22.846999999999998,111.024,5544.74,10.6451,5666.52,0.001771579863761863
58,3837770.0,22.7191,110.40299999999999,5557.18,10.6695,5678.37,0.0017741809206752723
59,3837750.0,22.5919,109.785,5569.56,10.6938,5690.15,0.0017793830345022021
60,3837740.0,22.4654,109.171,5581.86,10.718,5701.86,0.0017819840914157226
61,3837730.0,22.3396,108.56,5594.1,10.7421,5713.51,0.001784585148329132
62,3837710.0,22.2145,107.95299999999999,5606.27,10.765999999999998,5725.1,0.0017897872621560618
63,3837700.0,22.0901,107.348,5618.37,10.7897,5736.61,0.0017923883190695822
64,3837680.0,21.9664,106.74799999999999,5630.4,10.8134,5748.07,0.001797590432896512
65,3837670.0,21.8433,106.15,5642.36,10.8369,5759.46,0.0018001914898099214
66,3837660.0,21.721,105.556,5654.26,10.8602,5770.79,0.0018027925467234418
67,3837640.0,21.5993,104.965,5666.09,10.8835,5782.05,0.0018079946605503716
68,3837630.0,21.4783,104.37700000000001,5677.86,10.9066,5793.25,0.001810595717463781
69,3837620.0,21.3579,103.79299999999999,5689.56,10.9296,5804.39,0.0018131967743773014
70,3837600.0,21.2383,103.212,5701.19,10.9524,5815.46,0.0018183988882042312
71,3837590.0,21.1193,102.634,5712.76,10.9751,5826.47,0.0018209999451177517
72,3837580.0,21.0009,102.059,5724.26,10.9977,5837.42,0.001823601002031161
73,3837560.0,20.8832,101.48700000000001,5735.7,11.0202,5848.31,0.0018288031158580909
