,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5505620.0,2.93218,10.8831,0.40992399999999996,0.00170024,18.73,1.8163225643519354e-06
1,5505610.0,4.60808,11.8053,0.843736,0.00349956,20.0939,3.632645128703871e-06
2,5505610.0,6.22904,13.2712,1.32345,0.00548924,22.0473,3.632645128703871e-06
3,5505600.0,7.90658,15.2612,1.8694400000000002,0.00775384,24.5916,5.448967693055806e-06
4,5505600.0,9.733080000000001,17.792,2.5020599999999997,0.0103777,27.7643,5.448967693055806e-06
5,5505600.0,8.106,20.2494,3.23447,0.0134156,30.9512,5.448967693055806e-06
6,5505600.0,7.0620199999999995,22.1485,4.049930000000001,0.0167979,33.6654,5.448967693055806e-06
7,5505590.0,6.41065,23.6805,4.93088,0.0204517,36.0797,7.265290257407742e-06
8,5505590.0,6.02411,24.9742,5.86581,0.0243296,38.3108,7.265290257407742e-06
9,5505590.0,5.8167599999999995,26.116,6.84732,0.028400599999999998,40.4374,7.265290257407742e-06
10,5505590.0,5.73117,27.1641,7.870769999999999,0.0326455,42.5129,7.265290257407742e-06
11,5505580.0,5.72889,28.1578,8.93334,0.0370527,44.5736,9.081612821759677e-06
12,5505580.0,5.78414,29.1239,10.0335,0.0416158,46.6446,9.081612821759677e-06
13,5505580.0,8.75854,30.6022,11.1772,0.0463596,49.282,9.081612821759677e-06
14,5505570.0,11.3762,33.0054,12.3958,0.051414,52.9184,1.0897935386111612e-05
15,5505560.0,13.8338,36.2093,13.7223,0.05691569999999999,57.463,1.2714257950463548e-05
16,5505550.0,16.2737,40.1532,15.186,0.06298669999999999,62.8855,1.4530580514815483e-05
17,5505540.0,18.8026,44.8226,16.815,0.0697434,69.1998,1.634690307916742e-05
18,5505530.0,21.5051,50.2368,18.6374,0.0773023,76.4537,1.8163225643519354e-05
19,5505520.0,24.4523,56.4417,20.6827,0.08578560000000002,84.723,1.997954820787129e-05
20,5505510.0,27.7083,63.5053,22.9825,0.0953242,94.1076,2.1795870772334247e-05
21,5505490.0,31.3347,71.515,25.5713,0.10606199999999999,104.73,2.5428515901038118e-05
22,5505470.0,35.3935,80.5766,28.4874,0.118157,116.734,2.906116102974199e-05
23,5505460.0,39.9498,90.8144,31.7736,0.131787,130.28799999999998,3.0877483594093924e-05
24,5505430.0,45.0737,102.37200000000001,35.4777,0.14715,145.584,3.632645128714973e-05
25,5505410.0,50.842,115.413,39.6534,0.16447,162.838,3.99590964158536e-05
