,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,2,2
6,0,0,2,2
7,0,0,2,2
8,0,0,2,2
9,0,0,2,2
10,0,0,2,2
11,0,0,2,2
12,0,0,2,2
13,0,0,2,2
14,0,0,2,2
15,0,0,2,2
16,0,0,2,2
17,0,0,3,3
18,0,0,3,3
19,0,0,6,6
20,1,0,5,6
21,1,0,6,7
22,2,0,5,7
23,2,0,9,11
24,3,0,25,28
25,3,0,25,28
26,4,0,27,31
27,4,0,27,31
28,5,0,29,34
29,5,0,29,34
30,6,0,28,34
31,6,0,29,35
32,6,0,29,35
33,6,0,29,35
34,12,0,23,35
35,25,0,11,36
36,29,0,7,36
37,29,0,7,36
38,29,0,7,36
39,30,0,6,36
40,30,0,6,36
41,30,0,6,36
42,35,0,2,37
43,35,0,4,39
44,35,0,15,50
45,36,0,15,51
46,36,0,27,63
47,36,0,27,63
48,36,0,30,66
49,37,0,29,66
50,37,0,30,67
51,37,0,31,68
52,38,0,34,72
53,38,0,34,72
54,48,0,30,78
55,48,0,30,78
56,59,0,21,80
57,62,0,21,83
58,62,0,24,86
59,63,0,24,87
60,70,1,20,91
61,71,1,19,91
62,74,1,29,104
63,71,1,34,106
64,77,1,31,109
65,77,1,31,109
66,81,1,28,110
67,81,1,29,111
68,83,1,27,111
69,84,1,29,114
70,87,1,32,120
71,87,1,32,120
72,87,1,36,124
73,87,1,36,124
74,104,1,30,135
75,111,1,27,139
76,111,1,28,140
77,114,1,28,143
78,115,1,28,144
79,125,1,22,148
80,125,1,25,151
81,125,1,28,154
82,125,1,32,158
83,128,2,28,158
84,129,3,32,164
85,129,3,33,165
86,132,3,32,167
87,139,3,35,177
88,145,3,30,178
89,148,3,43,194
90,158,3,34,195
91,160,3,35,198
92,163,3,34,200
93,164,3,49,216
94,164,4,57,225
95,164,4,67,235
96,170,4,69,243
97,170,4,110,284
98,176,5,147,328
99,185,5,157,347
100,192,5,172,369
101,217,5,162,384
102,217,5,164,386
103,226,5,158,389
104,240,5,186,431
105,243,5,196,444
106,325,5,120,450
107,368,6,154,528
108,421,7,124,552
109,436,7,216,659
110,439,7,250,696
111,440,7,342,789
112,444,7,472,923
113,455,7,522,984
114,461,7,579,1047
115,472,7,618,1097
116,494,8,605,1107
117,556,8,590,1154
118,602,8,569,1179
119,784,9,407,1200
120,870,10,545,1425
121,970,11,549,1530
122,1027,12,578,1617
123,1087,15,643,1745
124,1148,15,698,1861
125,1181,15,802,1998
126,1278,16,850,2144
127,1363,16,887,2266
128,1415,16,954,2385
129,1479,20,970,2469
130,1529,20,989,2538
131,1635,20,959,2614
132,1718,20,978,2716
133,1862,20,997,2879
134,1988,21,990,2999
135,2056,22,1024,3102
136,2184,22,989,3195
137,2318,22,953,3293
138,2488,22,875,3385
139,2496,22,977,3495
140,2559,23,1020,3602
141,2686,23,964,3673
142,2821,23,919,3763
143,2978,23,853,3854
144,3117,25,806,3948
145,3201,25,796,4022
146,3292,25,770,4087
147,3410,25,755,4190
148,3528,25,670,4223
149,3594,25,674,4293
150,3647,26,654,4327
151,3711,28,625,4364
152,3785,28,587,4400
153,3881,28,521,4430
154,3958,28,488,4474
155,4044,28,446,4518
156,4090,29,448,4567
157,4159,29,413,4601
158,4225,33,391,4649
159,4289,33,352,4674
160,4325,34,340,4699
161,4359,34,352,4745
162,4417,34,321,4772
163,4451,34,315,4800
164,4473,34,334,4841
165,4506,34,339,4879
166,4558,34,348,4940
167,4587,34,366,4987
168,4622,37,366,5025
169,4643,37,376,5056
170,4667,37,384,5088
171,4722,38,380,5140
172,4747,38,427,5212
173,4782,38,459,5279
174,4819,39,466,5324
175,4846,39,480,5365
176,4927,39,462,5428
177,4973,39,478,5490
178,5012,39,499,5550
179,5046,39,524,5609
180,5080,39,550,5669
181,5160,39,555,5754
182,5263,39,501,5803
183,5318,39,489,5846
184,5368,39,490,5897
185,5440,39,460,5939
186,5501,39,436,5976
187,5555,39,439,6033
188,5555,39,439,6033
