,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3426190.0,2.22185,1.16611,0.08586469999999999,0.0008653980000000001,1.25311,2.043081585800799e-06
1,3426190.0,2.4790400000000004,1.34702,0.18548399999999998,0.00186942,1.53494,2.043081585800799e-06
2,3426190.0,2.77494,1.5458399999999999,0.300154,0.00302514,1.84995,2.043081585800799e-06
3,3426190.0,3.11355,1.7659,0.431428,0.0043482,2.20302,2.043081585800799e-06
4,3426190.0,3.4996,2.01075,0.58113,0.00585698,2.59954,2.043081585800799e-06
5,3426190.0,3.93856,2.2842599999999997,0.7513770000000001,0.00757284,3.04553,2.043081585800799e-06
6,3426190.0,4.43671,2.5906599999999997,0.9446110000000001,0.00952037,3.5477199999999995,2.043081585800799e-06
7,3426190.0,5.00127,2.9346799999999997,1.16363,0.0117277,4.113630000000001,2.043081585800799e-06
8,3426180.0,5.64047,3.3215199999999996,1.41161,0.014227100000000001,4.75173,4.9617695655479466e-06
9,3426180.0,6.36364,3.75704,1.69219,0.017055,5.47152,4.9617695655479466e-06
10,3426180.0,7.18142,4.24775,2.00949,0.0202529,6.28371,4.9617695655479466e-06
11,3426180.0,8.10582,4.80101,2.36817,0.023867799999999998,7.2003699999999995,4.9617695655479466e-06
12,3426170.0,9.15047,5.42506,2.77351,0.0279531,8.2351,7.880457545184072e-06
13,3426170.0,10.3308,6.12918,3.2315,0.032569,9.40324,7.880457545184072e-06
14,3426170.0,11.6642,6.923839999999999,3.7488900000000003,0.037783699999999996,10.7221,7.880457545184072e-06
15,3426160.0,13.1704,7.82083,4.33335,0.0436741,12.2113,1.079914552493122e-05
16,3426160.0,14.8716,8.83346,4.99349,0.0503275,13.8927,1.079914552493122e-05
17,3426150.0,16.7931,9.97674,5.73909,0.057842099999999994,15.7914,1.3717833504567345e-05
18,3426150.0,18.9632,11.2676,6.581180000000001,0.06632919999999999,17.9355,1.3717833504567345e-05
19,3426140.0,21.414,12.7252,7.532210000000001,0.07591419999999999,20.3566,1.6636521484314493e-05
20,3426140.0,24.1818,14.370999999999999,8.60625,0.08673910000000001,23.0906,1.6636521484314493e-05
21,3426130.0,27.3076,16.2295,9.8192,0.0989639,26.1781,1.955520946406164e-05
22,3426120.0,30.8375,18.3282,11.189,0.11277000000000001,29.6646,2.2473897443697766e-05
23,3426110.0,34.8239,20.6981,12.7359,0.128361,33.6018,2.5392585423444913e-05
24,3426100.0,39.3257,23.3744,14.4829,0.14596800000000001,38.048,2.831127340308104e-05
25,3426080.0,44.4095,26.3966,16.4557,0.165851,43.068999999999996,3.4148649362575334e-05
26,3426070.0,50.1505,29.8094,18.6836,0.188305,48.7391,3.706733734221146e-05
27,3426050.0,56.6337,33.6634,21.1996,0.213662,55.1421,4.2904713301705755e-05
28,3426030.0,63.9549,38.0155,24.0408,0.242298,62.373000000000005,4.874208926108903e-05
29,3426010.0,72.2226,42.9303,27.2493,0.274635,70.5385,5.45794652204723e-05
30,3425980.0,81.5589,48.4804,30.8727,0.311154,79.7597,6.333552915960272e-05
31,3425960.0,92.1021,54.7479,34.9644,0.35239299999999996,90.1728,6.9172905118986e-05
32,3425920.0,104.008,61.8255,39.5852,0.398964,101.932,8.084765703786356e-05
33,3425950.0,65.8478,66.7281,44.7212,0.45072799999999996,111.977,7.209159309873314e-05
34,3425960.0,38.4722,67.5046,50.0735,0.504672,118.12700000000001,6.9172905118986e-05
35,3425980.0,19.1528,65.5522,55.3724,0.558078,121.50299999999999,6.333552915960272e-05
