,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3416730.0,419.944,636.2919999999999,3940.28,27.8724,4605.62,0.0027631219103863014
1,3416660.0,394.478,606.132,4014.97,28.1327,4650.38,0.0027835527262443094
2,3416590.0,371.041,576.869,4086.08,28.3805,4692.45,0.0028039835421022063
3,3416530.0,349.385,548.599,4153.73,28.6163,4732.05,0.002821495669980467
4,3416470.0,329.30400000000003,521.382,4218.05,28.8405,4769.35,0.002839007797858728
5,3416420.0,310.625,495.25199999999995,4279.16,29.0535,4804.53,0.0028536012377572417
6,3416370.0,293.204,470.224,4337.2,29.2557,4837.72,0.0028681946776557554
7,3416320.0,276.918,446.296,4392.29,29.4478,4869.05,0.002882788117554269
8,3416270.0,261.66200000000003,423.454,4444.57,29.63,4898.66,0.002897381557452783
9,3416230.0,247.347,401.67800000000005,4494.17,29.8028,4926.64,0.0029090563093715494
10,3416180.0,233.895,380.94,4541.21,29.9668,4953.09,0.002923649749270063
11,3416140.0,221.237,361.207,4585.82,30.1222,4978.11,0.0029353245011889406
12,3416110.0,209.31599999999997,342.444,4628.12,30.2697,5001.78,0.002944080565128071
13,3416070.0,198.077,324.615,4668.21,30.4094,5024.17,0.0029557553170468376
14,3416040.0,187.47299999999998,307.682,4706.22,30.5419,5045.36,0.002964511380985968
15,3416010.0,177.46200000000002,291.606,4742.24,30.6674,5065.42,0.0029732674449250984
16,3415980.0,168.00599999999997,276.349,4776.38,30.7864,5084.42,0.002982023508864229
17,3415950.0,159.07,261.874,4808.73,30.8991,5102.39,0.0029907795728033593
18,3415920.0,150.622,248.144,4839.39,31.006,5119.42,0.0029995356367423787
19,3415890.0,142.63299999999998,235.12400000000002,4868.44,31.1072,5135.54,0.003008291700681509
20,3415870.0,135.075,222.77900000000002,4895.96,31.2031,5150.81,0.0030141290766410034
21,3415850.0,127.92399999999999,211.075,4922.04,31.294,5165.26,0.0030199664526003867
22,3415820.0,121.15700000000001,199.981,4946.75,31.3801,5178.96,0.003028722516539517
