,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,2,2
10,0,0,2,2
11,0,0,2,2
12,0,0,2,2
13,0,0,2,2
14,0,0,3,3
15,0,0,4,4
16,0,0,4,4
17,0,0,12,12
18,0,0,12,12
19,0,0,29,29
20,0,0,30,30
21,2,0,29,31
22,2,0,29,31
23,2,0,29,31
24,2,0,36,38
25,2,0,34,36
26,2,0,34,36
27,2,0,43,45
28,2,0,43,45
29,2,0,43,45
30,7,0,40,47
31,7,0,52,59
32,10,0,62,72
33,10,0,62,72
34,10,0,75,85
35,16,0,70,86
36,16,0,89,105
37,36,0,69,105
38,36,0,82,118
39,36,0,84,120
40,36,0,100,136
41,50,0,90,140
42,50,0,99,149
43,56,0,93,149
44,56,0,148,204
45,56,0,150,206
46,73,0,134,207
47,78,0,142,220
48,79,0,141,220
49,120,0,122,242
50,177,0,68,245
51,179,0,66,245
52,180,0,65,245
53,180,0,71,251
54,208,0,47,255
55,209,0,53,262
56,209,0,57,266
57,216,0,52,268
58,222,0,48,270
59,222,0,62,284
60,253,0,34,287
61,258,0,30,288
62,258,0,32,290
63,258,0,37,295
64,266,0,31,297
65,266,0,35,301
66,277,0,26,303
67,277,0,33,310
68,277,0,33,310
69,278,0,32,310
70,278,0,35,313
71,279,0,38,317
72,279,0,60,339
73,287,0,56,343
74,287,0,58,345
75,319,0,44,363
76,321,0,49,370
77,321,0,57,378
78,349,1,34,384
79,365,1,42,408
80,371,2,59,432
81,377,2,85,464
82,382,2,105,489
83,411,2,105,518
84,425,3,128,556
85,473,3,109,585
86,495,4,135,634
87,511,4,151,666
88,535,4,158,697
89,549,4,264,817
90,590,4,277,871
91,624,4,325,953
92,665,4,357,1026
93,711,4,381,1096
94,752,4,356,1112
95,790,4,391,1185
96,874,4,406,1284
97,917,4,443,1364
98,937,4,495,1436
99,969,4,532,1505
100,1040,4,526,1570
101,1090,4,556,1650
102,1132,4,618,1754
103,1204,4,645,1853
104,1278,4,647,1929
105,1380,4,613,1997
106,1446,4,666,2116
107,1542,4,694,2240
108,1655,4,712,2371
109,1765,4,735,2504
110,1881,4,771,2656
111,1995,4,739,2738
112,2103,4,760,2867
113,2191,4,811,3006
114,2340,4,766,3110
115,2461,4,722,3187
116,2561,4,718,3283
117,2676,4,704,3384
118,2771,5,687,3463
119,2777,5,717,3499
120,2908,5,620,3533
121,2984,5,637,3626
122,3061,5,635,3701
123,3165,5,618,3788
124,3269,5,595,3869
125,3370,5,594,3969
126,3447,5,582,4034
127,3493,5,607,4105
128,3541,5,650,4196
129,3591,5,667,4263
130,3652,5,697,4354
131,3758,5,689,4452
132,3821,5,712,4538
133,3898,5,681,4584
134,3958,5,750,4713
135,4030,5,733,4768
136,4108,5,747,4860
137,4213,5,708,4926
138,4284,5,697,4986
139,4378,6,670,5054
140,4457,8,621,5086
141,4538,9,617,5164
142,4656,9,529,5194
143,4745,9,536,5290
144,4861,9,473,5343
145,4918,9,468,5395
146,4975,9,484,5468
147,5054,9,480,5543
148,5085,9,567,5661
149,5166,9,558,5733
150,5241,9,538,5788
151,5305,9,609,5923
152,5371,9,627,6007
153,5412,9,702,6123
154,5525,9,690,6224
155,5582,9,732,6323
156,5713,9,719,6441
157,5713,9,719,6441
