,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4086250.0,0.109602,0.990424,0.0487381,0.000247302,1.03945,7.341689317597044e-07
1,4086250.0,0.115881,0.984173,0.0970935,0.000492661,1.08182,7.341689317597044e-07
2,4086250.0,0.239959,1.00282,0.145571,0.0007386410000000001,1.14965,7.341689317597044e-07
3,4086250.0,0.34239,1.06165,0.19597799999999999,0.000994409,1.2595299999999998,7.341689317597044e-07
4,4086250.0,0.43343400000000004,1.1528,0.25007399999999996,0.0012689,1.4054,7.341689317597044e-07
5,4086250.0,0.520159,1.27193,0.30932600000000005,0.00156955,1.5844,7.341689317597044e-07
6,4086250.0,0.60759,1.41708,0.37504899999999997,0.00190303,1.79593,7.341689317597044e-07
7,4086250.0,0.69947,1.58796,0.44850500000000004,0.00227576,2.0409900000000003,7.341689317597044e-07
8,4086250.0,0.798766,1.7855400000000001,0.5309729999999999,0.00269421,2.32182,7.341689317597044e-07
9,4086250.0,0.9080010000000001,2.0117,0.623804,0.00316524,2.6417,7.341689317597044e-07
10,4086250.0,1.02949,2.26915,0.728459,0.00369627,3.0047900000000003,7.341689317597044e-07
11,4086250.0,1.7972599999999999,2.67443,0.848354,0.00430463,3.53346,7.341689317597044e-07
12,4086250.0,2.69903,3.36297,0.9948239999999999,0.00504783,4.37259,7.341689317597044e-07
13,4086240.0,3.83063,4.38733,1.18288,0.00600206,5.5902,3.1813987043660674e-06
14,4086240.0,5.30524,5.835459999999999,1.43096,0.00726082,7.2932,3.1813987043660674e-06
15,4086240.0,7.26547,7.837510000000001,1.76278,0.00894449,9.6361,3.1813987043660674e-06
16,4086230.0,9.89745,10.577,2.20967,0.011212100000000001,12.8346,5.62862847697243e-06
17,4086220.0,13.4489,14.3074,2.81359,0.014276400000000002,17.1854,8.075858249578793e-06
18,4086220.0,11.4591,18.1467,3.6113800000000005,0.0183245,21.819000000000003,8.075858249578793e-06
19,4086210.0,10.3357,21.2422,4.57773,0.0232278,25.8815,1.0523088022185156e-05
20,4086210.0,9.79054,23.8904,5.6839,0.028840699999999997,29.6395,1.0523088022185156e-05
21,4086210.0,9.63605,26.2878,6.913069999999999,0.0350776,33.2717,1.0523088022185156e-05
22,4086200.0,9.75041,28.5655,8.25634,0.0418935,36.8999,1.297031779479152e-05
23,4086200.0,10.0549,30.8122,9.710139999999999,0.0492702,40.609,1.297031779479152e-05
24,4086190.0,10.499,33.0891,11.2745,0.057208,44.4599,1.5417547567397882e-05
25,4086190.0,11.0506,35.4396,12.9521,0.0657201,48.4985,1.5417547567397882e-05
26,4086180.0,11.69,37.8955,14.7472,0.0748288,52.761,1.7864777340004245e-05
27,4086180.0,12.4054,40.4815,16.6657,0.0845635,57.278,1.7864777340004245e-05
28,4086170.0,13.1901,43.2179,18.7145,0.0949592,62.0765,2.031200711261061e-05
29,4086160.0,14.0413,46.1223,20.9013,0.106055,67.1819,2.275923688521697e-05
30,4086160.0,14.9585,49.2106,23.2348,0.117896,72.619,2.275923688521697e-05
31,4086150.0,15.9429,52.4985,25.7244,0.130528,78.4128,2.5206466657823334e-05
32,4086140.0,16.9968,56.0012,28.3801,0.144004,84.5887,2.7653696430429697e-05
33,4086130.0,18.1235,59.7346,31.213,0.158378,91.1736,3.010092620303606e-05
34,4086120.0,19.3268,63.7148,34.2347,0.17371,98.1953,3.254815597564242e-05
35,4086110.0,20.6114,67.9588,37.4577,0.190064,105.684,3.4995385748248786e-05
36,4086100.0,21.9822,72.4847,40.8954,0.20750700000000002,113.67,3.744261552085515e-05
37,4086090.0,23.4448,77.3114,44.5619,0.226111,122.18700000000001,3.988984529346151e-05
38,4086080.0,25.005,82.4591,48.4726,0.245955,131.27100000000002,4.2337075066067875e-05
39,4086070.0,26.6693,87.9492,52.6437,0.267119,140.96,4.478430483867424e-05
40,4086050.0,28.4444,93.8048,57.0926,0.289693,151.293,4.9678764383886964e-05
41,4086040.0,30.3379,100.05,61.8376,0.31377,162.315,5.212599415649333e-05
42,4086020.0,32.3574,106.711,66.8985,0.339449,174.07,5.702045370170605e-05
43,4086010.0,34.5114,113.815,72.2963,0.366838,186.607,5.9467683474312416e-05
44,4086000.0,29.323,107.014,90.9923,0.394308,198.51,6.191491324691878e-05
45,4085980.0,25.5627,99.7537,108.491,0.420018,208.76,6.68093727921315e-05
46,4085970.0,22.6909,92.4953,124.756,0.443917,217.78,6.925660256473787e-05
47,4085960.0,20.3899,85.4848,139.812,0.46603900000000004,225.83900000000003,7.170383233734423e-05
