,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3490710.0,4.20976,10.2231,0.5841810000000001,0.0100809,31.6829,5.442989129189613e-06
1,3490710.0,7.55393,11.1193,1.1963700000000002,0.0206452,33.2105,5.442989129189613e-06
2,3490700.0,11.3065,12.855,1.8840599999999998,0.0325122,35.6555,8.307720249844941e-06
3,3490690.0,15.7444,15.5198,2.69797,0.0465575,39.1598,1.117245137050027e-05
4,3490680.0,21.1833,19.2726,3.6959699999999995,0.0637794,43.942,1.4037182491155598e-05
5,3490670.0,28.0005,24.3503,4.94727,0.08537230000000001,50.3102,1.6901913611699904e-05
6,3490660.0,24.2113,29.5265,6.50796,0.112304,57.0642,1.9766644732355232e-05
7,3490660.0,21.5567,33.601,8.334389999999999,0.143822,62.9897,1.9766644732355232e-05
8,3490650.0,19.7298,36.8823,10.3722,0.178988,68.3394,2.263137585301056e-05
9,3490650.0,18.5076,39.5953,12.5824,0.21712800000000002,73.2975,2.263137585301056e-05
10,3490650.0,10.9039,40.9918,14.9193,0.25745500000000004,77.0514,2.263137585301056e-05
11,3490650.0,5.64633,40.7007,17.2852,0.298282,79.1534,2.263137585301056e-05
12,3490660.0,2.06637,39.321999999999996,19.6008,0.33824,80.1209,1.9766644732355232e-05
13,3490660.0,-0.319313,37.2772,21.816,0.376467,80.3233,1.9766644732355232e-05
14,3490660.0,-1.85955,34.8594,23.9012,0.412451,80.0228,1.9766644732355232e-05
15,3490660.0,-2.80563,32.2701,25.8412,0.445927,79.4044,1.9766644732355232e-05
16,3490660.0,-3.3381300000000005,29.645,27.63,0.47679499999999997,78.5976,1.9766644732355232e-05
17,3490660.0,1.17159,27.7011,29.2805,0.505278,78.3444,1.9766644732355232e-05
18,3490660.0,4.80339,26.8896,30.8526,0.532406,79.1416,1.9766644732355232e-05
19,3490650.0,7.83137,26.9607,32.404,0.559178,80.7987,2.263137585301056e-05
20,3490640.0,10.4582,27.7382,33.9804,0.586382,83.1867,2.549610697366589e-05
21,3490640.0,12.835,29.1004,35.619,0.614657,86.2219,2.549610697366589e-05
22,3490630.0,15.0758,30.965999999999998,37.3509,0.644544,89.8552,2.8360838094321217e-05
