,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4707410.0,209.576,843.317,3522.41,23.7941,4390.05,0.001386312313783944
1,4707350.0,197.135,805.4010000000001,3610.7,24.2437,4440.84,0.0013990405064123745
2,4707290.0,186.016,768.571,3694.99,24.673000000000002,4488.7,0.0014117686990408052
3,4707240.0,175.93599999999998,732.992,3775.39,25.0826,4533.91,0.0014223755262312565
4,4707180.0,166.69400000000002,698.76,3852.06,25.473000000000003,4576.71,0.0014351037188596871
5,4707130.0,158.142,665.915,3925.13,25.8452,4617.29,0.0014457105460500275
6,4707090.0,150.172,634.467,3994.77,26.1999,4655.81,0.0014541960078023886
7,4707040.0,142.70600000000002,604.4019999999999,4061.1,26.5378,4692.4,0.001464802834992729
8,4707000.0,135.681,575.689,4124.29,26.8596,4727.18,0.00147328829674509
9,4706960.0,129.05200000000002,548.289,4184.48,27.1661,4760.25,0.00148177375849734
10,4706920.0,122.781,522.159,4241.8,27.4581,4791.72,0.0014902592202497011
11,4706880.0,116.839,497.249,4296.38,27.7361,4821.66,0.0014987446820020622
12,4706850.0,111.20200000000001,473.51,4348.36,28.0009,4850.15,0.001505108778316222
13,4706820.0,105.84899999999999,450.892,4397.86,28.253,4877.27,0.0015114728746304928
14,4706780.0,100.76100000000001,429.346,4444.99,28.493000000000002,4903.08,0.001519958336382743
15,4706750.0,95.9245,408.824,4489.87,28.7216,4927.66,0.0015263224326970137
16,4706720.0,91.3238,389.278,4532.61,28.9393,4951.05,0.0015326865290112845
17,4706700.0,86.9466,370.664,4573.3,29.1465,4973.33,0.001536929259887465
18,4706670.0,82.7812,352.93800000000005,4612.04,29.3439,4994.53,0.0015432933562016249
19,4706650.0,78.8167,336.05800000000005,4648.94,29.5318,5014.72,0.0015475360870778054
20,4706620.0,75.0431,319.98400000000004,4684.07,29.7107,5033.95,0.0015539001833920763
21,4706600.0,71.4508,304.678,4717.51,29.8811,5052.25,0.0015581429142681458
22,4706580.0,68.031,290.10400000000004,4749.36,30.0433,5069.68,0.0015623856451443263
23,4706560.0,64.7751,276.226,4779.69,30.1977,5086.27,0.0015666283760205069
24,4706540.0,61.6754,263.012,4808.56,30.3448,5102.07,0.0015708711068966874
25,4706520.0,58.7241,250.43,4836.05,30.4848,5117.11,0.001575113837772868
26,4706500.0,55.9141,238.45,4862.23,30.6181,5131.44,0.0015793565686489375
27,4706490.0,53.2387,227.042,4887.16,30.7451,5145.08,0.0015814779340870277
28,4706470.0,50.6914,216.18099999999998,4910.89,30.866,5158.06,0.0015857206649632083
29,4706450.0,48.2659,205.838,4933.49,30.9811,5170.43,0.0015899633958393888
30,4706440.0,45.9566,195.99099999999999,4955.0,31.0907,5182.2,0.0015920847612774791
31,4706430.0,43.7578,186.614,4975.49,31.195,5193.41,0.0015942061267155694
32,4706410.0,41.6641,177.687,4995.0,31.2944,5204.08,0.001598448857591639
33,4706400.0,39.6707,169.18599999999998,5013.57,31.389,5214.24,0.0016005702230297292
34,4706390.0,37.7726,161.092,5031.25,31.479,5223.92,0.0016026915884678195
35,4706380.0,35.9654,153.385,5048.09,31.5648,5233.13,0.0016048129539059097
36,4706370.0,34.2446,146.046,5064.13,31.6465,5241.9,0.001606934319344
37,4706360.0,32.6062,139.059,5079.39,31.7242,5250.26,0.0016090556847820903
38,4706350.0,31.0461,132.406,5093.93,31.7982,5258.21,0.0016111770502201805
39,4706340.0,29.5607,126.071,5107.77,31.8687,5265.78,0.0016132984156582708
40,4706330.0,28.1464,120.04,5120.95,31.9359,5272.99,0.00161541978109625
41,4706320.0,26.7997,114.29700000000001,5133.49,31.9998,5279.86,0.0016175411465343403
42,4706310.0,25.5175,108.82799999999999,5145.44,32.0606,5286.39,0.0016196625119724306
43,4706300.0,24.2966,103.62200000000001,5156.82,32.1186,5292.62,0.0016217838774105209
44,4706300.0,23.1341,98.6641,5167.65,32.1737,5298.54,0.0016217838774105209
45,4706290.0,22.0273,93.9437,5177.96,32.2263,5304.19,0.0016239052428486112
46,4706280.0,20.9734,89.4491,5187.78,32.2763,5309.56,0.0016260266082867014
47,4706280.0,19.9699,85.1695,5197.13,32.3239,5314.68,0.0016260266082867014
48,4706270.0,19.0144,81.0947,5206.04,32.3692,5319.55,0.0016281479737247917
49,4706260.0,18.1047,77.2148,5214.51,32.4124,5324.18,0.001630269339162882
50,4706260.0,17.2385,73.5205,5222.58,32.4535,5328.6,0.001630269339162882
51,4706250.0,16.4137,70.003,5230.27,32.4927,5332.8,0.0016323907046009722
52,4706250.0,15.6284,66.6538,5237.59,32.5299,5336.81,0.0016323907046009722
53,4706240.0,14.8806,63.4648,5244.55,32.5654,5340.62,0.0016345120700389515
54,4706240.0,14.1686,60.4284,5251.19,32.5992,5344.25,0.0016345120700389515
55,4706240.0,13.4907,57.5372,5257.5,32.6314,5347.71,0.0016345120700389515
56,4706230.0,12.8453,54.7844,5263.52,32.662,5351.0,0.0016366334354770418
57,4706230.0,12.2307,52.1633,5269.24,32.6912,5354.13,0.0016366334354770418
58,4706220.0,11.6455,49.6675,5274.7,32.719,5357.11,0.001638754800915132
59,4706220.0,11.0883,47.2912,5279.89,32.7454,5359.95,0.001638754800915132
60,4706220.0,10.5578,45.0286,5284.83,32.7706,5362.66,0.001638754800915132
61,4706210.0,10.0527,42.8742,5289.54,32.7945,5365.23,0.0016408761663532223
62,4706210.0,9.57169,40.8229,5294.02,32.8174,5367.68,0.0016408761663532223
63,4706210.0,9.11373,38.8698,5298.29,32.8391,5370.02,0.0016408761663532223
64,4706210.0,8.67768,37.01,5302.35,32.8598,5372.24,0.0016408761663532223
65,4706200.0,8.26249,35.2393,5306.22,32.8795,5374.36,0.0016429975317913126
66,4706200.0,7.86717,33.5533,5309.9,32.8983,5376.37,0.0016429975317913126
67,4706200.0,7.490760000000001,31.9479,5313.41,32.9161,5378.29,0.0016429975317913126
68,4706200.0,7.13236,30.4194,5316.75,32.9331,5380.12,0.0016429975317913126
69,4706190.0,6.791110000000001,28.964000000000002,5319.93,32.9493,5381.86,0.0016451188972294029
70,4706190.0,6.46619,27.5782,5322.96,32.9648,5383.52,0.0016451188972294029
71,4706190.0,6.15681,26.2587,5325.84,32.9794,5385.09,0.0016451188972294029
72,4706190.0,5.86223,25.0024,5328.58,32.9934,5386.6,0.0016451188972294029
73,4706190.0,5.58175,23.8061,5331.2,33.0067,5388.02,0.0016451188972294029
74,4706180.0,5.314690000000001,22.6671,5333.69,33.0194,5389.39,0.0016472402626674931
75,4706180.0,5.06041,21.5826,5336.06,33.0315,5390.68,0.0016472402626674931
76,4706180.0,4.81829,20.55,5338.31,33.043,5391.92,0.0016472402626674931
77,4706180.0,4.58776,19.5668,5340.46,33.0539,5393.09,0.0016472402626674931
78,4706180.0,4.36825,18.6306,5342.51,33.0643,5394.21,0.0016472402626674931
79,4706180.0,4.15925,17.7392,5344.45,33.0742,5395.28,0.0016472402626674931
80,4706180.0,3.96025,16.8905,5346.31,33.0837,5396.29,0.0016472402626674931
81,4706170.0,3.7707699999999997,16.0824,5348.07,33.0927,5397.26,0.0016493616281055834
82,4706170.0,3.59036,15.3129,5349.75,33.1012,5398.18,0.0016493616281055834
83,4706170.0,3.4185800000000004,14.5803,5351.35,33.1094,5399.05,0.0016493616281055834
84,4706170.0,3.25501,13.8827,5352.88,33.1172,5399.89,0.0016493616281055834
85,4706170.0,3.09928,13.2184,5354.33,33.1245,5400.68,0.0016493616281055834
86,4706170.0,2.95099,12.585999999999999,5355.71,33.1316,5401.44,0.0016493616281055834
87,4706170.0,2.8098,11.9838,5357.03,33.1383,5402.16,0.0016493616281055834
88,4706170.0,2.67536,11.4104,5358.28,33.1447,5402.84,0.0016493616281055834
89,4706170.0,2.54736,10.8645,5359.47,33.1507,5403.49,0.0016493616281055834
90,4706170.0,2.42548,10.3447,5360.61,33.1565,5404.12,0.0016493616281055834
91,4706170.0,2.30943,9.84975,5361.69,33.162,5404.71,0.0016493616281055834
92,4706160.0,2.19893,9.37849,5362.72,33.1673,5405.27,0.0016514829935436737
93,4706160.0,2.09373,8.92977,5363.7,33.1723,5405.81,0.0016514829935436737
94,4706160.0,1.99355,8.50252,5364.63,33.177,5406.32,0.0016514829935436737
95,4706160.0,1.8981700000000001,8.09572,5365.52,33.1815,5406.8,0.0016514829935436737
96,4706160.0,1.80735,7.70838,5366.37,33.1859,5407.27,0.0016514829935436737
97,4706160.0,1.72088,7.33957,5367.17,33.19,5407.71,0.0016514829935436737
98,4706160.0,1.63854,6.9884,5367.94,33.1939,5408.13,0.0016514829935436737
99,4706160.0,1.5601399999999999,6.654039999999999,5368.67,33.1976,5408.53,0.0016514829935436737
100,4706160.0,1.4855,6.3356699999999995,5369.37,33.2011,5408.91,0.0016514829935436737
101,4706160.0,1.41442,6.03254,5370.03,33.2045,5409.27,0.0016514829935436737
102,4706160.0,1.34675,5.74391,5370.66,33.2077,5409.61,0.0016514829935436737
103,4706160.0,1.28231,5.4690900000000005,5371.26,33.2108,5409.94,0.0016514829935436737
104,4706160.0,1.22096,5.20742,5371.83,33.2137,5410.26,0.0016514829935436737
