,Recovered,Deceased,Infected,I_c
0,0,0,2.7142857142857144,5
1,0,0,3.4285714285714284,6
2,0,0,4.142857142857143,6
3,0,0,4.857142857142857,6
4,0,0,5.571428571428571,6
5,0,0,6.285714285714287,10
6,0,0,7.0,10
7,0,0,10.142857142857142,27
8,0,0,13.428571428571427,29
9,0,0,16.714285714285715,29
10,0,0,20.0,29
11,0,0,23.285714285714285,29
12,0,0,26.0,29
13,1,0,28.57142857142857,29
14,3,0,28.42857142857143,29
15,4,0,27.857142857142854,29
16,6,0,27.0,29
17,7,0,26.0,29
18,9,0,24.714285714285715,29
19,10,0,23.285714285714285,29
20,12,0,21.714285714285715,29
21,13,0,20.428571428571427,30
22,15,0,19.0,30
23,16,0,17.714285714285715,30
24,18,0,16.285714285714285,30
25,18,0,15.142857142857142,30
26,22,0,13.571428571428573,30
27,22,0,12.285714285714285,30
28,25,0,10.571428571428571,30
29,25,0,9.142857142857142,30
30,25,0,7.857142857142858,30
31,25,0,7.0,31
32,25,0,6.142857142857142,31
33,25,0,6.0,32
34,25,0,5.857142857142858,32
35,25,0,6.142857142857142,32
36,25,0,6.428571428571429,32
37,26,0,6.7142857142857135,33
38,29,0,6.428571428571429,33
39,31,0,5.857142857142858,33
40,32,0,5.142857142857143,34
41,32,0,5.0,38
42,32,0,4.857142857142857,38
43,32,0,5.428571428571429,43
44,32,0,6.285714285714287,45
45,32,0,7.571428571428571,45
46,32,0,9.142857142857142,45
47,32,0,10.714285714285714,45
48,32,0,11.714285714285715,45
49,32,0,12.714285714285715,45
50,32,0,14.142857142857142,53
51,32,0,15.714285714285715,56
52,32,0,17.714285714285715,59
53,32,1,19.857142857142858,61
54,41,1,21.428571428571427,66
55,41,1,23.142857142857146,67
56,41,1,25.57142857142857,72
57,41,1,26.857142857142854,72
58,41,2,28.714285714285715,80
59,41,2,30.142857142857146,80
60,48,2,31.714285714285715,89
61,48,2,35.42857142857143,100
62,52,2,38.714285714285715,102
63,52,2,41.285714285714285,102
64,52,2,44.714285714285715,108
65,52,2,49.0,121
66,52,2,54.42857142857143,129
67,58,2,62.714285714285715,157
68,59,3,69.71428571428571,161
69,67,2,76.0,161
70,67,2,90.85714285714286,221
71,66,2,105.57142857142857,225
72,68,2,118.85714285714286,230
73,114,2,126.57142857142857,245
74,114,2,133.42857142857142,261
75,115,2,140.85714285714286,268
76,115,2,150.85714285714286,279
77,115,2,152.85714285714286,283
78,115,2,156.85714285714286,302
79,115,2,161.42857142857142,309
80,146,2,167.42857142857142,319
81,185,2,169.42857142857142,346
82,217,2,166.71428571428572,351
83,217,2,168.0,390
84,223,2,169.14285714285714,399
85,241,2,165.14285714285714,400
86,276,2,155.42857142857142,402
87,288,2,147.28571428571428,404
88,348,2,133.14285714285714,410
89,354,2,123.28571428571428,419
90,374,2,107.71428571428572,438
91,374,2,93.14285714285714,448
92,391,2,82.0,472
93,392,2,75.42857142857143,472
94,392,2,71.71428571428571,482
95,392,2,76.85714285714286,490
96,404,2,82.57142857142857,509
97,411,2,90.28571428571428,529
98,416,5,98.0,547
99,416,5,104.71428571428572,547
100,455,5,108.28571428571428,563
101,476,6,121.28571428571428,661
102,487,6,138.71428571428572,711
103,489,6,162.71428571428572,766
104,512,6,194.42857142857144,856
105,514,6,233.42857142857144,919
106,515,6,293.14285714285717,1065
107,544,6,356.1428571428572,1094
108,592,6,402.57142857142856,1102
109,621,7,439.8571428571428,1107
110,655,7,466.71428571428567,1121
111,726,7,477.0,1143
112,726,7,481.0,1160
113,726,7,470.57142857142856,1204
114,727,7,462.1428571428572,1219
115,1063,7,417.8571428571428,1264
116,1099,7,376.1428571428572,1293
117,1101,7,343.8571428571428,1341
118,1104,7,325.7142857142857,1394
119,1126,7,307.7142857142857,1434
120,1184,7,284.2857142857143,1498
121,1235,8,260.0,1558
122,1235,8,285.7142857142857,1617
123,1253,8,318.0,1674
124,1274,8,348.28571428571433,1727
125,1301,8,374.4285714285714,1775
126,1317,8,408.8571428571428,1867
127,1362,8,444.57142857142856,1927
128,1397,8,489.4285714285714,2034
129,1450,8,525.5714285714286,2085
130,1497,10,557.2857142857143,2142
131,1565,10,588.1428571428571,2236
132,1623,10,615.4285714285714,2290
133,1722,10,625.4285714285714,2344
134,1745,10,634.8571428571429,2378
135,1822,12,631.8571428571429,2442
136,1884,13,624.1428571428571,2470
137,1965,13,613.4285714285714,2538
138,2030,13,594.2857142857142,2570
139,2106,13,573.4285714285714,2630
140,2221,13,548.7142857142857,2673
141,2257,13,524.1428571428571,2721
142,2327,13,500.28571428571433,2781
143,2327,13,487.57142857142856,2824
144,2363,15,473.8571428571428,2842
145,2437,15,455.8571428571428,2853
146,2443,15,443.4285714285714,2882
147,2528,15,430.4285714285714,2891
148,2536,15,419.71428571428567,2927
149,2620,15,402.1428571428572,2953
150,2621,15,380.71428571428567,2970
151,2678,15,357.42857142857144,2994
