,Recovered,Deceased,Infected,I_c
0,0,0,7.428571428571429,11
1,0,0,8.285714285714286,11
2,0,0,9.142857142857142,11
3,0,0,10.0,11
4,3,0,10.428571428571429,11
5,3,0,10.142857142857142,11
6,3,0,9.714285714285714,11
7,3,0,11.285714285714285,25
8,3,0,12.857142857142858,25
9,3,0,14.428571428571427,25
10,3,0,16.0,25
11,11,0,16.857142857142858,25
12,11,0,17.714285714285715,25
13,11,0,18.571428571428573,25
14,11,0,17.428571428571427,25
15,11,0,16.285714285714285,25
16,11,0,15.428571428571427,27
17,11,0,15.285714285714285,32
18,11,0,16.571428571428573,34
19,11,0,18.285714285714285,37
20,11,0,20.714285714285715,42
21,11,0,23.142857142857146,42
22,18,0,24.57142857142857,42
23,22,0,25.142857142857146,42
24,22,0,25.0,42
25,22,0,25.0,45
26,26,0,24.0,45
27,34,0,21.142857142857142,45
28,34,0,18.285714285714285,45
29,35,0,17.285714285714285,52
30,35,0,16.857142857142858,52
31,35,0,16.428571428571427,52
32,35,0,17.285714285714285,64
33,37,0,21.142857142857142,83
34,37,0,26.857142857142854,88
35,37,0,32.57142857142857,88
36,37,0,37.42857142857143,88
37,37,0,42.285714285714285,88
38,37,0,47.714285714285715,92
39,67,0,48.42857142857143,101
40,71,0,47.14285714285714,108
41,73,0,45.85714285714285,115
42,81,0,44.714285714285715,124
43,81,0,43.714285714285715,125
44,95,1,40.57142857142857,125
45,95,1,36.857142857142854,125
46,103,1,35.714285714285715,130
47,103,1,34.42857142857143,132
48,104,1,32.285714285714285,132
49,111,1,29.285714285714285,134
50,116,1,25.42857142857143,134
51,116,1,25.57142857142857,147
52,112,1,26.57142857142857,149
53,116,1,28.285714285714285,155
54,122,1,29.714285714285715,161
55,122,1,34.857142857142854,186
56,130,1,41.42857142857143,199
57,137,1,49.42857142857143,211
58,143,1,56.57142857142857,224
59,162,2,62.714285714285715,243
60,163,2,71.42857142857143,264
61,172,2,81.42857142857143,282
62,184,2,88.0,295
63,187,2,93.85714285714286,298
64,196,2,97.85714285714286,299
65,202,3,103.14285714285714,322
66,224,3,107.14285714285714,334
67,230,4,107.28571428571428,334
68,256,4,110.14285714285714,388
69,289,4,113.71428571428572,427
70,328,5,119.85714285714286,485
71,329,5,140.28571428571428,578
72,331,5,165.71428571428572,631
73,333,5,207.0,734
74,333,5,255.85714285714286,780
75,356,5,310.0,868
76,406,5,358.1428571428572,882
77,418,5,402.8571428571428,888
78,458,5,432.28571428571433,913
79,491,5,457.28571428571433,966
80,565,6,461.4285714285714,996
81,674,7,445.0,1008
82,770,9,410.71428571428567,1046
83,841,9,382.71428571428567,1125
84,890,9,352.1428571428572,1150
85,943,9,330.0,1247
86,945,10,317.0,1334
87,970,10,315.2857142857143,1393
88,994,10,336.0,1476
89,1016,10,368.57142857142856,1521
90,1040,10,401.8571428571428,1558
91,1108,10,431.8571428571428,1579
92,1182,10,452.4285714285714,1631
93,1202,10,470.8571428571428,1720
94,1272,10,491.28571428571433,1838
95,1310,10,512.4285714285714,1940
96,1363,10,538.1428571428571,2048
97,1404,11,571.4285714285714,2156
98,1478,11,617.0,2269
99,1504,11,674.2857142857142,2355
100,1589,11,720.8571428571429,2434
101,1629,11,768.1428571428571,2527
102,1728,13,812.0,2668
103,1824,14,845.7142857142858,2749
104,1951,14,859.2857142857142,2801
105,2075,15,861.0,2882
106,2195,15,845.4285714285713,2941
107,2273,15,825.4285714285713,2982
108,2381,15,793.7142857142858,3061
109,2509,15,743.7142857142858,3101
110,2568,15,693.7142857142858,3144
111,2673,15,646.7142857142858,3195
112,2742,15,606.2857142857142,3266
113,2782,15,573.4285714285714,3298
114,2825,15,544.0,3328
115,2895,15,515.4285714285714,3375
116,2967,15,500.71428571428567,3456
117,3022,15,491.57142857142856,3534
118,3062,15,488.4285714285714,3562
