,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1202920.0,338.51099999999997,2163.8,9876.24,161.684,12203.4,0.01190394049015453
1,1202720.0,327.175,2091.78,10118.3,164.69,12376.4,0.012068223411630608
2,1202530.0,316.221,2022.12,10352.4,167.595,12543.7,0.012224292187032804
3,1202340.0,305.632,1954.75,10578.6,170.40400000000002,12705.3,0.01238036096243511
4,1202160.0,295.39799999999997,1889.61,10797.4,173.12,12861.5,0.012528215591763536
5,1201990.0,285.505,1826.61,11008.8,175.74400000000003,13012.5,0.012667856075018191
6,1201820.0,275.941,1765.69,11213.1,178.282,13158.5,0.012807496558272846
7,1201660.0,266.69599999999997,1706.78,11410.7,180.734,13299.5,0.01293892289545362
8,1201500.0,257.759,1649.81,11601.7,183.105,13435.8,0.013070349232634504
9,1201350.0,249.12,1594.73,11786.2,185.39700000000002,13567.6,0.013193561423741507
10,1201200.0,240.769,1541.47,11964.7,187.612,13694.9,0.01331677361484851
11,1201060.0,232.697,1489.98,12137.1,189.753,13818.0,0.013431771659881742
12,1200920.0,224.894,1440.19,12303.8,191.82299999999998,13936.9,0.013546769704914974
13,1200790.0,217.351,1392.05,12465.0,193.82299999999998,14051.9,0.013653553603874435
14,1200660.0,210.06099999999998,1345.51,12620.7,195.757,14163.0,0.013760337502833897
15,1200540.0,203.014,1300.51,12771.2,197.62599999999998,14270.4,0.013858907255719477
16,1200420.0,196.202,1257.01,12916.7,199.43200000000002,14374.1,0.013957477008605168
17,1200300.0,189.618,1214.95,13057.4,201.178,14474.4,0.014056046761490748
18,1200190.0,183.253,1174.29,13193.3,202.86599999999999,14571.3,0.014146402368302557
19,1200080.0,177.102,1134.98,13324.7,204.497,14665.0,0.014236757975114478
20,1199980.0,171.157,1096.98,13451.7,206.074,14755.5,0.014318899435852406
21,1199880.0,165.41,1060.24,13574.4,207.597,14843.0,0.014401040896590445
22,1199780.0,159.856,1024.73,13693.0,209.07,14927.6,0.014483182357328483
23,1199690.0,154.487,990.395,13807.7,210.493,15009.3,0.014557109671992752
24,1199590.0,149.298,957.2080000000001,13918.5,211.86900000000003,15088.2,0.01463925113273079
25,1199510.0,144.283,925.1260000000001,14025.5,213.19799999999998,15164.5,0.014704964301321177
26,1199420.0,139.436,894.115,14129.0,214.483,15238.3,0.014778891615985335
27,1199340.0,134.751,864.137,14229.1,215.725,15309.6,0.014844604784575832
28,1199260.0,130.224,835.16,14325.7,216.926,15378.4,0.014910317953166219
29,1199180.0,125.848,807.15,14419.2,218.08599999999998,15445.0,0.014976031121756606
30,1199110.0,121.618,780.076,14509.5,219.207,15509.3,0.015033530144273222
31,1199040.0,117.531,753.905,14596.7,220.29,15571.5,0.015091029166789838
32,1198970.0,113.58,728.6089999999999,14681.1,221.33700000000002,15631.6,0.015148528189306454
33,1198900.0,109.762,704.158,14762.6,222.34900000000002,15689.6,0.01520602721182307
34,1198840.0,106.072,680.5239999999999,14841.4,223.327,15745.7,0.015255312088265915
35,1198770.0,102.506,657.681,14917.5,224.27200000000002,15799.9,0.015312811110782532
36,1198710.0,99.0593,635.602,14991.1,225.18599999999998,15852.3,0.015362095987225377
37,1198650.0,95.7284,614.261,15062.2,226.06900000000002,15903.0,0.015411380863668223
38,1198600.0,92.5092,593.634,15130.9,226.922,15951.9,0.015452451594037186
39,1198540.0,89.3982,573.698,15197.3,227.74599999999998,15999.2,0.015501736470480032
40,1198490.0,86.3915,554.429,15261.5,228.543,16044.9,0.015542807200848996
41,1198440.0,83.4858,535.806,15323.5,229.313,16089.0,0.01558387793121807
42,1198390.0,80.6776,517.806,15383.5,230.05700000000002,16131.7,0.015624948661587035
43,1198340.0,77.9638,500.409,15441.4,230.77700000000002,16172.9,0.015666019391956
44,1198300.0,75.3411,483.594,15497.4,231.472,16212.8,0.015698875976251303
45,1198250.0,72.8065,467.344,15551.5,232.143,16251.3,0.015739946706620267
46,1198210.0,70.357,451.63800000000003,15603.8,232.792,16288.5,0.01577280329091546
47,1198170.0,67.9898,436.458,15654.3,233.42,16324.4,0.015805659875210654
48,1198130.0,65.7021,421.788,15703.1,234.02599999999998,16359.2,0.015838516459505958
49,1198090.0,63.4914,407.60900000000004,15750.3,234.612,16392.8,0.01587137304380115
50,1198050.0,61.3549,393.906,15795.9,235.178,16425.2,0.015904229628096345
51,1198020.0,59.2902,380.663,15840.0,235.725,16456.6,0.015928872066317767
52,1197980.0,57.2949,367.86400000000003,15882.6,236.25400000000002,16486.9,0.01596172865061296
53,1197950.0,55.3667,355.494,15923.7,236.765,16516.2,0.015986371088834384
54,1197910.0,53.5033,343.54,15963.5,237.25799999999998,16544.5,0.016019227673129577
55,1197880.0,51.7025,331.986,16001.9,237.735,16571.8,0.016043870111351
56,1197850.0,49.9623,320.82099999999997,16039.0,238.197,16598.3,0.016068512549572422
57,1197820.0,48.2806,310.03,16074.9,238.642,16623.8,0.016093154987793734
58,1197790.0,46.6554,299.60200000000003,16109.6,239.07299999999998,16648.5,0.016117797426015157
59,1197770.0,45.0849,289.524,16143.1,239.489,16672.3,0.01613422571816281
60,1197740.0,43.5673,279.784,16175.5,239.891,16695.4,0.016158868156384232
61,1197710.0,42.1006,270.372,16206.8,240.28,16717.6,0.016183510594605655
62,1197690.0,40.6833,261.276,16237.1,240.655,16739.1,0.016199938886753196
63,1197670.0,39.3137,252.485,16266.3,241.018,16759.9,0.016216367178900848
64,1197640.0,37.9901,243.99,16294.5,241.36900000000003,16780.0,0.01624100961712227
65,1197620.0,36.7111,235.78,16321.8,241.708,16799.4,0.016257437909269812
66,1197600.0,35.4751,227.84599999999998,16348.2,242.035,16818.2,0.016273866201417464
67,1197580.0,34.2806,220.178,16373.7,242.351,16836.3,0.016290294493565005
68,1197560.0,33.1264,212.769,16398.3,242.657,16853.9,0.016306722785712657
69,1197540.0,32.010999999999996,205.608,16422.1,242.953,16870.8,0.0163231510778602
70,1197520.0,30.9331,198.688,16445.1,243.238,16887.2,0.01633957937000785
71,1197500.0,29.8915,192.00099999999998,16467.4,243.514,16903.0,0.016356007662155503
72,1197480.0,28.885,185.53900000000002,16488.8,243.78099999999998,16918.2,0.016372435954303044
73,1197470.0,27.9123,179.294,16509.6,244.03900000000002,16933.0,0.016380650100376815
74,1197450.0,26.9724,173.25799999999998,16529.7,244.28799999999998,16947.3,0.016397078392524467
75,1197430.0,26.0641,167.426,16549.0,244.528,16961.1,0.01641350668467212
76,1197420.0,25.1863,161.79,16567.8,244.761,16974.4,0.01642172083074589
77,1197400.0,24.3382,156.344,16585.9,244.985,16987.2,0.01643814912289343
78,1197390.0,23.5185,151.08100000000002,16603.4,245.203,16999.7,0.016446363268967312
79,1197380.0,22.7265,145.994,16620.3,245.412,17011.7,0.016454577415041083
80,1197360.0,21.9611,141.079,16636.6,245.615,17023.3,0.016471005707188735
81,1197350.0,21.2215,136.329,16652.4,245.81099999999998,17034.5,0.016479219853262506
