,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3910010.0,1.8986299999999998,2.00525,0.157747,0.00254596,2.16058,2.5575375617314933e-07
1,3910010.0,1.34861,2.5579,0.392841,0.00634029,2.9494,2.5575375617314933e-07
2,3910010.0,1.04654,2.86191,0.67047,0.0108211,3.5340300000000004,2.5575375617314933e-07
3,3910010.0,0.8806879999999999,3.0293400000000004,0.971507,0.0156797,4.006530000000001,2.5575375617314933e-07
4,3910010.0,0.789663,3.12173,1.28545,0.0207465,4.41747,2.5575375617314933e-07
5,3910000.0,0.739746,3.1729,1.60651,0.0259284,4.79465,2.813291318126687e-06
6,3910000.0,0.712411,3.2014299999999998,1.93154,0.031174200000000003,5.15331,2.813291318126687e-06
7,3910000.0,0.6974819999999999,3.21751,2.2587900000000003,0.036455800000000003,5.50185,2.813291318126687e-06
8,3910000.0,0.689368,3.22677,2.5872900000000003,0.041757800000000005,5.844869999999999,2.813291318126687e-06
9,3910000.0,0.684998,3.23227,2.91653,0.0470716,6.1849099999999995,2.813291318126687e-06
10,3910000.0,0.6826840000000001,3.2357,3.24622,0.05239259999999999,6.52334,2.813291318126687e-06
11,3910000.0,0.681501,3.23801,3.57619,0.057718200000000004,6.860939999999999,2.813291318126687e-06
12,3910000.0,0.680938,3.23969,3.90637,0.0630471,7.198119999999999,2.813291318126687e-06
13,3910000.0,0.680716,3.24103,4.2367,0.0683784,7.53512,2.813291318126687e-06
14,3910000.0,0.680682,3.2421900000000003,4.56715,0.07371180000000001,7.87206,2.813291318126687e-06
15,3910000.0,0.68075,3.24324,4.89772,0.079047,8.209010000000001,2.813291318126687e-06
16,3910000.0,0.680875,3.24423,5.22839,0.08438380000000001,8.54601,2.813291318126687e-06
17,3910000.0,0.681031,3.24519,5.55915,0.0897223,8.88309,2.813291318126687e-06
18,3910000.0,0.6812050000000001,3.24614,5.89002,0.0950623,9.220239999999999,2.813291318126687e-06
19,3910000.0,0.681387,3.24708,6.22098,0.100404,9.55748,2.813291318126687e-06
20,3910000.0,0.681575,3.24801,6.55204,0.10574700000000001,9.894810000000001,2.813291318126687e-06
21,3910000.0,0.681766,3.24894,6.883189999999999,0.11109200000000001,10.2322,2.813291318126687e-06
