,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5301250.0,1053.3,4961.46,4853.91,131.781,9952.95,0.0022975621525567202
1,5300630.0,1115.45,5254.4,5063.99,138.14600000000002,10462.6,0.00241424699320103
2,5299980.0,1181.21,5564.59,5286.46,144.886,11002.3,0.0025365778745216616
3,5299290.0,1250.81,5893.05,5522.07,152.024,11573.9,0.0026664368100773883
4,5298560.0,1324.47,6240.83,5771.59,159.583,12179.1,0.0028038237998682103
5,5297780.0,1402.44,6609.05,6035.83,167.588,12819.9,0.0029506208574529014
6,5296960.0,1484.97,6998.91,6315.65,176.06599999999997,13498.5,0.0031049459692726877
7,5296090.0,1572.31,7411.66,6611.99,185.043,14216.9,0.0032686811488864542
8,5295170.0,1664.75,7848.63,6925.79,194.55,14977.6,0.00344182639629409
9,5294200.0,1762.57,8311.23,7258.1,204.618,15783.1,0.0036243817114955945
10,5293170.0,1866.1,8800.95,7609.98,215.27900000000002,16635.8,0.003818229108049742
11,5292080.0,1975.65,9319.35,7982.6,226.567,17538.7,0.004023368585956644
12,5290930.0,2091.57,9868.1,8377.17,238.521,18494.5,0.004239800145216188
13,5289700.0,2214.22,10449.0,8794.96,251.178,19506.3,0.004471287812945923
14,5288410.0,2343.98,11063.8,9237.34,264.58,20577.5,0.004714067562028301
15,5287040.0,2481.25,11714.5,9705.74,278.77099999999996,21711.5,0.004971903419580981
16,5285590.0,2626.47,12403.2,10201.7,293.796,22911.8,0.005244795385603851
17,5284050.0,2780.07,13132.0,10726.8,309.704,24182.4,0.0055346254736557965
18,5282430.0,2942.54,13903.3,11282.7,326.547,25527.2,0.005839511670177822
19,5280710.0,3114.35,14719.4,11871.3,344.37800000000004,26950.6,0.006163218002287807
20,5278890.0,3296.04,15583.1,12494.4,363.25699999999995,28457.1,0.0065057444699854194
21,5276970.0,3488.16,16496.8,13154.1,383.24199999999996,30051.4,0.006867091073270881
22,5274930.0,3691.28,17463.5,13852.5,404.399,31738.6,0.00725102183926174
23,5272770.0,3906.0,18486.3,14591.7,426.796,33524.0,0.007657536767957884
24,5270490.0,4132.97,19568.2,15374.3,450.50300000000004,35413.2,0.008086635859359426
25,5268080.0,4372.85,20712.5,16202.6,475.598,37412.1,0.008540201127025027
26,5265530.0,4626.35,21922.9,17079.3,502.159,39527.0,0.009020114584513461
27,5262830.0,4894.19,23202.9,18007.3,530.2719999999999,41764.4,0.009528258245383725
28,5259970.0,5177.16,24556.6,18989.4,560.026,44131.2,0.01006651412319437
29,5256950.0,5476.05,25987.8,20028.8,591.515,46634.8,0.010634882217945396
30,5253760.0,5791.71,27501.1,21128.7,624.839,49282.7,0.0112352445431958
31,5250380.0,6125.04,29100.8,22292.7,660.1010000000001,52083.3,0.011871365126062905
32,5246810.0,6476.93,30791.8,23524.3,697.414,55044.8,0.012543243966546824
33,5243040.0,6848.38,32578.9,24827.5,736.8939999999999,58176.3,0.013252763078206331
34,5239050.0,7240.36,34467.5,26206.2,778.664,61487.3,0.014003686488158973
35,5234830.0,7653.94,36463.0,27664.8,822.8539999999999,64987.6,0.014797896209963413
36,5230370.0,8090.2,38571.2,29207.8,869.6,68687.5,0.015637274257178646
37,5225660.0,8550.27,40798.1,30840.0,919.047,72598.2,0.016523702643363336
38,5220680.0,9035.33,43150.0,32566.3,971.347,76730.9,0.01746094539563503
39,5215420.0,9546.59,45633.4,34392.0,1026.66,81097.8,0.018450884527552502
40,5209870.0,10085.3,48255.3,36322.8,1085.15,85711.5,0.019495402052674526
41,5204010.0,10652.8,51022.9,38364.4,1147.0,90585.1,0.02059826199811876
42,5197810.0,11250.4,53943.6,40522.9,1212.4,95732.6,0.021765110404561416
43,5191270.0,11879.5,57025.2,42804.9,1281.53,101168.0,0.022995947272002493
44,5184370.0,12541.5,60276.0,45217.1,1354.61,106908.0,0.02429453662755965
45,5177090.0,13237.9,63704.3,47766.7,1431.85,112966.0,0.025664642498350432
46,5169410.0,13970.2,67319.0,50461.1,1513.48,119360.0,0.02711002891149228
47,5161310.0,14739.8,71129.2,53308.2,1599.74,126107.0,0.02863445989410285
48,5152760.0,15548.3,75144.3,56316.3,1690.87,133225.0,0.030243581486858462
49,5143750.0,16397.3,79374.0,59493.9,1787.14,140733.0,0.03193927570331789
50,5134260.0,17288.4,83828.5,62850.1,1888.81,148650.0,0.03372530657059869
51,5124250.0,18223.2,88518.2,66394.3,1996.19,156995.0,0.03560920214293595
52,5113710.0,19203.2,93453.7,70136.5,2109.56,165791.0,0.03759284443388844
53,5102610.0,20230.0,98646.1,74087.0,2229.25,175058.0,0.0396818794841326
54,5090920.0,21305.2,104106.0,78256.6,2355.57,184820.0,0.041881953334344635
55,5078620.0,22430.4,109846.0,82656.5,2488.87,195098.0,0.044196830011642096
56,5065690.0,23606.9,115878.0,87298.6,2629.5,205918.0,0.04663027354314275
57,5052080.0,24836.4,122212.0,92194.9,2777.84,217303.0,0.04919169399664025
58,5037780.0,26120.1,128862.0,97358.3,2934.27,229278.0,0.051882973385693476
59,5022750.0,27459.4,135839.0,102802.0,3099.19,241870.0,0.05471163976453752
60,5006970.0,28855.4,143156.0,108540.0,3273.01,255105.0,0.05768145716028994
61,4990400.0,30309.2,150825.0,114586.0,3456.18,269010.0,0.06079995362718593
62,4973020.0,31821.8,158858.0,120954.0,3649.12,283612.0,0.06407089319234294
63,4954780.0,33394.0,167268.0,127661.0,3852.32,298939.0,0.06750368592355482
64,4935670.0,35026.3,176066.0,134722.0,4066.23,315020.0,0.07110021383438059
65,4915650.0,36719.2,185263.0,142153.0,4291.36,331881.0,0.0748680049790551
66,4894690.0,38472.8,194872.0,149971.0,4528.21,349553.0,0.0788127053982548
67,4872750.0,40287.1,204903.0,158193.0,4777.3,368064.0,0.08294184314621478
68,4849810.0,42161.5,215366.0,166837.0,5039.16,387441.0,0.08725918225005258
69,4825840.0,44095.6,226272.0,175920.0,5314.33,407714.0,0.09177036875044464
70,4800810.0,46088.2,237628.0,185460.0,5603.38,428909.0,0.09648104868806717
71,4774680.0,48137.9,249443.0,195478.0,5906.87,451055.0,0.10139875011715538
72,4747440.0,50243.1,261724.0,205991.0,6225.37,474177.0,0.10652535505126792
73,4719060.0,52401.4,274476.0,217019.0,6559.47,498302.0,0.11186650953108124
74,4689510.0,54610.2,287704.0,228582.0,6909.77,523453.0,0.11742785959727164
75,4658770.0,56866.4,301410.0,240698.0,7276.85,549653.0,0.12321316927695669
76,4626820.0,59166.5,315596.0,253389.0,7661.31,576925.0,0.12922620259725404
77,4593650.0,61506.4,330261.0,266673.0,8063.76,605287.0,0.13546884157172223
78,4559230.0,63881.3,345402.0,280570.0,8484.78,634758.0,0.1419467322410377
79,4523570.0,66286.3,361015.0,295099.0,8924.97,665352.0,0.1486579925916418
80,4486640.0,68715.5,377092.0,310281.0,9384.91,697082.0,0.15560826866421074
81,4448450.0,71163.0,393624.0,326134.0,9865.17,729958.0,0.16279567844518583
82,4409000.0,73621.9,410600.0,342676.0,10366.3,763988.0,0.17022022193456687
83,4368280.0,76085.1,428003.0,359925.0,10888.9,799175.0,0.17788378114591286
84,4326300.0,78544.8,445817.0,377899.0,11433.4,835519.0,0.185784474065665
85,4283090.0,80993.0,464021.0,396614.0,12000.4,873017.0,0.19391665465314678
86,4238640.0,83421.2,482593.0,416085.0,12590.3,911661.0,0.20228220492191717
87,4193000.0,85820.5,501504.0,436328.0,13203.6,951440.0,0.2108717148041821
88,4146170.0,88181.6,520726.0,457356.0,13840.6,992338.0,0.21968518429994177
89,4098190.0,90495.3,540226.0,479180.0,14501.8,1034330.0,0.22871508535496088
90,4049110.0,92751.8,559969.0,501812.0,15187.5,1077400.0,0.23795200790144577
91,3998950.0,94941.6,579916.0,525260.0,15897.8,1121520.0,0.24739218791227857
92,3947770.0,97054.9,600025.0,549533.0,16633.2,1166650.0,0.25702433330610686
93,3895620.0,99082.1,620253.0,574636.0,17393.7,1212750.0,0.26683903401513664
94,3842540.0,101014.0,640552.0,600572.0,18179.5,1259780.0,0.27682876198513284
95,3788620.0,102841.0,660874.0,627345.0,18990.6,1307690.0,0.2869765790940664
96,3733900.0,104555.0,681168.0,654954.0,19827.0,1356440.0,0.29727495728770226
97,3678450.0,106147.0,701380.0,683396.0,20688.7,1405960.0,0.30771072247112896
98,3622360.0,107610.0,721457.0,712667.0,21575.5,1456210.0,0.3182669365223175
99,3565680.0,108936.0,741342.0,742761.0,22487.2,1507100.0,0.32893418937347396
100,3508510.0,110120.0,760980.0,773668.0,23423.5,1558590.0,0.33969366088901054
101,3450920.0,111154.0,780312.0,805378.0,24384.2,1610600.0,0.35053217697401584
102,3392990.0,112036.0,799284.0,837876.0,25368.7,1663060.0,0.36143468152001956
103,3334810.0,112760.0,817837.0,871146.0,26376.7,1715890.0,0.37238423640499274
104,3276460.0,113325.0,835918.0,905170.0,27407.5,1769030.0,0.3833657855204652
105,3218020.0,113727.0,853470.0,939927.0,28460.5,1822390.0,0.3943642727579667
106,3159580.0,113967.0,870441.0,975395.0,29535.0,1875910.0,0.4053627599954681
107,3101230.0,114045.0,886781.0,1011550.0,30630.3,1929500.0,0.41634430911094056
108,3043030.0,113960.0,902441.0,1048360.0,31745.6,1983080.0,0.4272976280230313
109,2985080.0,113717.0,917375.0,1085800.0,32879.9,2036590.0,0.43820389659615266
110,2927450.0,113316.0,931541.0,1123850.0,34032.4,2089950.0,0.44904994073539306
111,2870210.0,112764.0,944899.0,1162450.0,35202.1,2143090.0,0.45982258634584106
112,2813440.0,112063.0,957415.0,1201590.0,36387.8,2195920.0,0.47050677731902657
113,2757210.0,111220.0,969055.0,1241230.0,37588.7,2248400.0,0.48108933956003797
114,2701590.0,110241.0,979792.0,1281330.0,38803.5,2300450.0,0.4915570989739638
115,2646620.0,109132.0,989603.0,1321850.0,40031.1,2352000.0,0.5019025275065692
116,2592370.0,107901.0,998468.0,1362760.0,41270.4,2403000.0,0.5121124510629425
117,2538900.0,106556.0,1006370.0,1404010.0,42520.2,2453400.0,0.5221755775617309
118,2486250.0,105104.0,1013300.0,1445570.0,43779.2,2503140.0,0.5320843789486998
119,2434470.0,103553.0,1019260.0,1487390.0,45046.2,2552180.0,0.5418294451560547
120,2383590.0,101913.0,1024230.0,1529440.0,46320.0,2600460.0,0.5514051301431195
121,2333650.0,100192.0,1028220.0,1571670.0,47599.5,2647960.0,0.5608039058556593
122,2284680.0,98398.0,1031230.0,1614040.0,48883.3,2694620.0,0.5700201262529976
123,2236710.0,96539.9,1033280.0,1656520.0,50170.3,2740430.0,0.579048145294458
124,2189760.0,94626.1,1034380.0,1699070.0,51459.2,2785350.0,0.5878841989529229
125,2143840.0,92664.7,1034540.0,1741640.0,52748.9,2829360.0,0.5965264052148338
126,2098980.0,90663.8,1033780.0,1784200.0,54038.3,2872440.0,0.604969118039514
127,2055190.0,88630.9,1032120.0,1826710.0,55326.1,2914570.0,0.613210455413405
128,2012460.0,86573.4,1029590.0,1869130.0,56611.4,2955740.0,0.6212522993500654
129,1970810.0,84498.3,1026210.0,1911430.0,57892.9,2995940.0,0.6290908858223778
130,1930230.0,82412.2,1022020.0,1953580.0,59169.8,3035160.0,0.6367280968439009
131,1890730.0,80321.4,1017040.0,1995540.0,60440.9,3073400.0,0.6441620504010759
