,Recovered,Deceased,Infected,I_c
0,0,0,11.857142857142858,21
1,0,0,14.714285714285715,22
2,0,0,17.857142857142858,31
3,0,0,23.285714285714285,48
4,0,0,29.42857142857143,55
5,0,0,38.857142857142854,78
6,0,0,51.85714285714285,108
7,0,0,84.42857142857143,249
8,0,0,130.14285714285714,342
9,0,0,183.0,401
10,0,0,241.7142857142857,459
11,0,0,302.57142857142856,481
12,0,0,367.4285714285714,532
13,46,2,434.4285714285714,625
14,92,5,481.57142857142856,676
15,138,8,534.5714285714286,859
16,184,11,595.8571428571429,1025
17,230,14,654.0,1110
18,276,17,752.8571428571429,1466
19,323,19,844.7142857142858,1517
20,369,22,925.5714285714287,1534
21,415,25,1008.0,1596
22,461,28,1073.857142857143,1663
23,507,31,1142.5714285714287,1849
24,553,34,1214.857142857143,1959
25,600,36,1247.4285714285713,2037
26,646,39,1283.4285714285713,2112
27,692,42,1330.142857142857,2204
28,738,45,1386.2857142857142,2332
29,784,48,1452.5714285714291,2470
30,830,51,1508.142857142857,2581
31,877,54,1596.0,2918
32,877,54,1706.857142857143,3108
33,1078,54,1814.7142857142856,3314
34,1092,56,1932.0,3439
35,1094,59,2048.1428571428573,3515
36,1167,61,2172.714285714286,3738
37,1256,64,2330.142857142857,4122
38,1362,64,2492.428571428572,4549
39,1431,64,2667.5714285714284,4898
40,1468,64,2866.142857142857,5104
41,1542,65,3099.5714285714284,5532
42,1931,66,3331.142857142857,5980
43,2020,68,3576.857142857143,6318
44,2020,68,3812.857142857143,6542
45,2069,73,4049.714285714286,6923
46,2129,73,4282.285714285715,7233
47,2512,86,4492.142857142857,7639
48,2858,106,4650.571428571428,7998
49,3045,115,4840.142857142857,8470
50,3518,123,4986.428571428572,8895
51,3926,129,5104.142857142857,9333
52,4202,148,5193.285714285715,9755
53,4485,160,5247.285714285715,10054
54,4750,166,5332.571428571428,10554
55,5192,176,5430.571428571428,11088
56,5567,194,5514.571428571428,11659
57,5897,208,5651.7142857142835,12319
58,6267,231,5813.7142857142835,12910
59,6540,261,5986.857142857143,13418
60,6771,276,6215.0,14053
61,6954,288,6441.428571428572,14465
62,7264,303,6722.857142857143,15257
63,7495,316,7090.2857142857165,16281
64,7846,398,7508.571428571428,17386
65,8075,416,8029.428571428572,18549
66,8478,473,8640.285714285714,19844
67,8746,523,9291.57142857143,20834
68,9243,556,10021.57142857143,22132
69,9542,615,10849.857142857143,23645
70,9898,659,11703.714285714286,25004
71,10315,708,12585.0,26334
72,10664,761,13466.571428571433,27654
73,10999,812,14356.857142857143,28936
74,11357,874,15235.0,29943
75,11861,905,16122.142857142857,31309
76,12245,984,16992.571428571428,32810
77,12731,1085,17910.285714285714,34687
78,13398,1214,18896.14285714286,36824
79,14945,1271,19826.571428571428,38958
80,15823,1327,20813.285714285714,41182
81,16427,1400,21854.714285714286,42829
82,16500,1837,22970.142857142866,44688
83,17457,1904,24135.857142857134,47102
84,21341,1969,24964.142857142866,49979
85,23569,2035,25721.285714285717,53116
86,31294,2112,25806.714285714286,56746
87,33013,2175,25881.857142857134,59746
88,36602,2233,25713.0,62655
89,39313,2301,25518.285714285717,66602
90,41437,2365,25353.571428571428,70390
91,44765,2429,25341.714285714286,73780
92,47091,2492,25362.42857142857,77240
93,49301,2558,26075.142857142866,80188
94,52607,2623,26545.0,83077
