,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,19960700.0,4.04133,12.6312,0.496087,0.0362457,22.3205,5.510825741295022e-07
1,19960700.0,6.6425399999999994,14.6765,1.05021,0.07673139999999999,24.9733,5.510825741295022e-07
2,19960700.0,9.35604,17.9084,1.71202,0.125086,28.9288,5.510825741295022e-07
3,19960700.0,12.4686,22.4014,2.53111,0.18493099999999998,34.3162,5.510825741295022e-07
4,19960700.0,16.2407,28.358,3.5627800000000005,0.260308,41.3985,5.510825741295022e-07
5,19960600.0,20.9433,36.0991,4.87298,0.356035,50.5688,5.560924157488323e-06
6,19960600.0,26.8868,46.0716,6.54332,0.478076,62.3631,5.560924157488323e-06
7,19960600.0,45.9316,61.5294,8.71155,0.636494,80.2418,5.560924157488323e-06
8,19960500.0,71.3548,86.9436,11.7046,0.855176,108.994,1.0570765740736121e-05
9,19960400.0,107.271,125.925,15.9966,1.16876,152.75799999999998,1.558060732409494e-05
10,19960400.0,114.09700000000001,173.71599999999998,22.1119,1.6155700000000002,207.145,1.558060732409494e-05
11,19960300.0,130.123,225.05,30.2393,2.20938,267.28,2.059044890734274e-05
12,19960200.0,154.334,283.936,40.6072,2.9668900000000002,337.411,2.560029049070156e-05
13,19960100.0,143.61700000000002,343.385,53.4545,3.90556,410.593,3.061013207394936e-05
14,19960100.0,143.292,397.791,68.6137,5.01313,481.265,3.061013207394936e-05
15,19960000.0,149.69299999999998,451.43699999999995,85.9719,6.28138,553.569,3.561997365719716e-05
16,19959900.0,160.752,507.065,105.557,7.71236,630.268,4.062981524055598e-05
17,19959800.0,175.343,566.545,127.491,9.31494,713.357,4.5639656823803776e-05
18,19959700.0,192.898,631.269,151.961,11.1028,804.424,5.0649498407162596e-05
19,19959500.0,213.18400000000003,702.3789999999999,179.204,13.0932,904.8689999999999,6.0669181573769215e-05
20,19959400.0,236.179,780.913,209.50400000000002,15.307,1016.03,6.567902315701701e-05
21,19959200.0,261.991,867.8860000000001,243.183,17.7678,1139.27,7.569870632362363e-05
22,19959100.0,290.82099999999997,964.345,280.61,20.5023,1276.03,8.070854790698245e-05
