,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,0,1,0,1
22,0,1,0,1
23,0,1,0,1
24,0,1,0,1
25,0,1,0,1
26,0,1,0,1
27,0,1,0,1
28,0,1,0,1
29,0,1,3,4
30,0,1,3,4
31,0,1,4,5
32,0,1,8,9
33,0,1,15,16
34,0,2,21,23
35,2,2,22,26
36,2,2,25,29
37,2,2,26,30
38,2,2,29,33
39,2,2,29,33
40,3,2,29,34
41,4,2,28,34
42,9,2,24,35
43,18,2,15,35
44,22,2,18,42
45,22,2,19,43
46,25,2,19,46
47,26,2,18,46
48,31,2,13,46
49,31,2,14,47
50,31,2,14,47
51,31,2,19,52
52,31,2,19,52
53,35,2,15,52
54,35,2,15,52
55,37,2,15,54
56,37,3,14,54
57,37,3,14,54
58,37,3,14,54
59,42,3,9,54
60,42,3,10,55
61,42,3,16,61
62,43,3,15,61
63,43,3,15,61
64,43,3,20,66
65,43,3,20,66
66,45,3,20,68
67,45,3,23,71
68,45,3,25,73
69,46,3,27,76
70,57,3,16,76
71,57,3,25,85
72,57,3,28,88
73,61,3,30,94
74,61,3,37,101
75,63,3,44,110
76,63,3,51,117
77,67,3,55,125
78,67,3,65,135
79,68,3,76,147
80,70,4,86,160
81,77,4,93,174
82,78,4,101,183
83,91,4,95,190
84,93,4,95,192
85,94,4,100,198
86,107,4,105,216
87,115,4,115,234
88,118,4,123,245
89,118,4,136,258
90,121,4,141,266
91,147,5,120,272
92,148,5,126,279
93,158,7,124,289
94,158,8,132,298
95,158,8,143,309
96,158,9,165,332
97,187,9,147,343
98,196,9,144,349
99,196,9,157,362
100,196,9,175,380
101,203,9,181,393
102,204,9,192,405
103,204,9,208,421
104,224,9,198,431
105,227,10,204,441
106,232,10,221,463
107,256,11,216,483
108,267,11,220,498
109,267,11,254,532
110,288,12,244,544
111,305,12,250,567
112,310,13,258,581
113,342,13,241,596
114,402,15,205,622
115,410,15,216,641
116,415,15,251,681
117,436,15,272,723
118,444,15,306,765
119,445,15,357,817
120,449,15,387,851
121,498,18,357,873
122,513,19,387,919
123,524,20,403,947
124,577,21,401,999
125,577,21,455,1053
126,577,21,518,1116
127,577,21,549,1147
128,871,21,299,1191
129,896,21,312,1229
130,907,22,339,1268
131,920,24,380,1324
132,948,24,408,1380
133,962,24,452,1438
134,962,24,496,1482
135,1035,24,481,1540
136,1058,24,523,1605
137,1059,24,595,1678
138,1367,24,364,1755
139,1411,24,400,1835
140,1498,24,398,1920
141,1551,24,431,2006
142,1614,24,448,2086
143,1722,24,428,2174
144,1832,24,407,2263
145,1929,24,402,2355
146,2028,25,404,2457
147,2126,26,411,2563
148,2232,27,418,2677
149,2327,28,435,2790
150,2439,28,473,2940
151,2549,28,478,3055
152,2665,28,473,3166
153,2772,28,477,3277
154,2890,28,465,3383
155,3003,28,459,3490
156,3133,28,428,3589
157,3246,28,428,3702
158,3447,29,331,3807
159,3561,29,333,3923
160,3694,29,325,4048
161,3808,29,331,4168
162,3937,31,320,4288
163,4062,34,315,4411
164,4185,34,318,4537
165,4305,34,327,4666
166,4421,34,340,4795
167,4538,34,349,4921
168,4660,34,356,5050
169,4793,34,346,5173
170,4923,34,339,5296
171,5037,34,319,5390
172,5155,34,299,5488
173,5256,34,312,5602
174,5363,34,315,5712
175,5424,34,353,5811
176,5499,34,373,5906
177,5566,34,397,5997
178,5669,34,386,6089
179,5669,34,386,6089
