,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,3,3
6,0,0,3,3
7,0,0,5,5
8,0,0,8,8
9,0,0,8,8
10,0,0,9,9
11,0,0,9,9
12,0,0,10,10
13,0,0,10,10
14,0,0,10,10
15,0,0,10,10
16,0,0,10,10
17,0,0,10,10
18,0,0,10,10
19,0,0,11,11
20,1,0,10,11
21,2,0,11,13
22,2,0,16,18
23,3,0,15,18
24,4,0,14,18
25,4,0,14,18
26,5,0,13,18
27,6,0,18,24
28,7,0,21,28
29,7,0,21,28
30,8,0,22,30
31,9,0,27,36
32,9,0,29,38
33,10,0,30,40
34,11,0,30,41
35,11,0,30,41
36,12,0,29,41
37,13,0,28,41
38,14,0,31,45
39,15,0,31,46
40,15,0,40,55
41,16,1,41,58
42,17,1,40,58
43,18,1,39,58
44,18,1,39,58
45,18,1,39,58
46,18,1,42,61
47,26,1,35,62
48,26,1,35,62
49,26,1,37,64
50,26,1,37,64
51,26,1,39,66
52,30,1,35,66
53,46,1,19,66
54,46,2,18,66
55,51,2,13,66
56,51,2,13,66
57,51,2,25,78
58,51,2,26,79
59,52,2,25,79
60,52,2,26,80
61,52,2,28,82
62,52,2,28,82
63,55,2,25,82
64,55,2,26,83
65,55,2,30,87
66,55,2,35,92
67,66,2,25,93
68,67,2,25,94
69,68,2,27,97
70,68,2,34,104
71,69,2,34,105
72,70,2,36,108
73,70,3,39,112
74,70,3,42,115
75,72,3,40,115
76,72,3,42,117
77,73,3,43,119
78,73,3,44,120
79,73,3,52,128
80,76,4,51,131
81,77,5,49,131
82,80,5,48,133
83,81,5,52,138
84,81,5,54,140
85,81,5,59,145
86,82,5,61,148
87,85,5,59,149
88,87,5,65,157
89,87,5,75,167
90,87,5,79,171
91,87,5,80,172
92,90,5,82,177
93,95,5,81,181
94,95,5,85,185
95,96,5,85,186
96,97,5,86,188
97,104,5,92,201
98,112,5,98,215
99,116,5,107,228
100,116,6,118,240
101,116,6,128,250
102,123,7,133,263
103,126,7,136,269
104,128,8,148,284
105,128,8,174,310
106,128,8,184,320
107,151,12,204,367
108,157,12,240,409
109,157,12,261,430
110,166,13,291,470
111,166,16,327,509
112,178,16,335,529
113,181,16,371,568
114,181,16,412,609
115,181,17,457,655
116,181,17,491,689
117,232,17,464,713
118,232,17,518,767
119,270,17,531,818
120,270,19,587,876
121,409,20,504,933
122,409,20,553,982
123,418,20,600,1038
124,425,20,651,1096
125,435,20,696,1151
126,443,20,747,1210
127,581,21,667,1269
128,632,22,680,1334
129,689,23,694,1406
130,710,23,747,1480
131,781,25,753,1559
132,806,27,806,1639
133,876,27,822,1725
134,891,29,884,1804
135,934,29,928,1891
136,957,30,998,1985
137,1090,31,949,2070
138,1107,32,1019,2158
139,1261,37,940,2238
140,1273,42,1013,2328
141,1339,43,1036,2418
142,1343,43,1125,2511
143,1399,48,1159,2606
144,1455,49,1198,2702
145,1534,53,1202,2789
146,1603,59,1222,2884
147,1619,62,1298,2979
148,1634,64,1380,3078
149,1685,65,1423,3173
150,1749,65,1458,3272
151,1831,67,1466,3364
152,1844,68,1550,3462
153,1911,71,1576,3558
154,1976,73,1607,3656
155,2108,74,1571,3753
156,2193,74,1585,3852
157,2261,75,1615,3951
158,2314,77,1658,4049
159,2353,78,1713,4144
160,2394,82,1767,4243
161,2464,85,1790,4339
162,2519,87,1845,4451
163,2553,89,1924,4566
164,2590,89,2006,4685
165,2682,92,2029,4803
166,2803,92,2033,4928
167,2875,92,2104,5071
168,3000,95,2111,5206
169,3100,97,2171,5368
170,3118,100,2295,5513
171,3212,101,2351,5664
172,3496,102,2214,5812
173,3816,104,2026,5946
174,4047,106,1947,6100
175,4175,107,1968,6250
176,4249,109,2042,6400
177,4354,111,2081,6546
178,4476,112,2109,6697
179,4554,114,2180,6848
180,4803,115,2071,6989
181,5018,117,1997,7132
182,5255,117,1905,7277
183,5465,121,1835,7421
184,5666,122,1784,7572
185,5804,123,1809,7736
186,5970,124,1785,7879
187,6122,126,1781,8029
188,6276,128,1766,8170
189,6587,131,1599,8317
190,6771,133,1561,8465
191,7039,135,1459,8633
192,7260,136,1408,8804
193,7292,138,1522,8952
194,7530,139,1431,9100
195,7716,140,1395,9251
196,7716,140,1395,9251
