,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4483730.0,0.923955,1.6971900000000002,0.0844428,0.00435129,3.2166799999999998,-4.4605738791503313e-07
1,4483720.0,1.6100299999999999,2.03464,0.180864,0.00931981,3.6579300000000003,1.7842295518821771e-06
2,4483720.0,2.45626,2.6125,0.30094299999999996,0.015507399999999998,4.3650199999999995,1.7842295518821771e-06
3,4483720.0,3.5611900000000003,3.48864,0.4586,0.023631400000000004,5.41081,1.7842295518821771e-06
4,4483720.0,3.81429,4.55281,0.668225,0.0344332,6.696289999999999,1.7842295518821771e-06
5,4483720.0,4.25135,5.67814,0.9347549999999999,0.048167400000000006,8.10342,1.7842295518821771e-06
6,4483710.0,4.8612400000000004,6.92173,1.26289,0.0650762,9.694180000000001,4.014516491679387e-06
7,4483710.0,4.0246699999999995,8.05509,1.6553200000000001,0.08529760000000002,11.2373,4.014516491679387e-06
8,4483710.0,3.48507,8.89679,2.09888,0.108154,12.5435,4.014516491679387e-06
9,4483710.0,3.14431,9.54578,2.58109,0.133002,13.6983,4.014516491679387e-06
10,4483710.0,2.93685,10.0682,3.09369,0.159416,14.759,4.014516491679387e-06
11,4483710.0,2.81892,10.5082,3.6312900000000004,0.187118,15.764000000000001,4.014516491679387e-06
12,4483710.0,2.7613,10.8955,4.19041,0.215929,16.739,4.014516491679387e-06
13,4483710.0,2.7444900000000003,11.2498,4.76883,0.24573499999999998,17.7015,4.014516491679387e-06
14,4483710.0,2.75547,11.5845,5.36522,0.276466,18.6633,4.014516491679387e-06
15,4483700.0,3.32663,12.0042,5.98044,0.308169,19.7319,6.244803431476598e-06
16,4483700.0,3.8110000000000004,12.5799,6.6218,0.34121799999999997,20.9837,6.244803431476598e-06
17,4483700.0,4.24452,13.2804,7.29657,0.375988,22.3953,6.244803431476598e-06
18,4483700.0,4.65172,14.0861,8.010710000000001,0.412787,23.9533,6.244803431476598e-06
19,4483700.0,5.0494699999999995,14.9854,8.7694,0.45188199999999995,25.6518,6.244803431476598e-06
20,4483690.0,5.4496400000000005,15.9723,9.57735,0.493515,27.4897,8.475090371273808e-06
21,4483690.0,5.86074,17.0443,10.4391,0.537918,29.4693,8.475090371273808e-06
22,4483690.0,6.2891,18.2019,11.359000000000002,0.585321,31.5957,8.475090371273808e-06
23,4483680.0,6.73963,19.4472,12.3416,0.635955,33.8758,1.0705377311071018e-05
24,4483680.0,7.216360000000001,20.7837,13.3916,0.690063,36.3181,1.0705377311071018e-05
25,4483680.0,7.722760000000001,22.2161,14.5139,0.747894,38.9324,1.0705377311071018e-05
26,4483670.0,8.261989999999999,23.7499,15.7136,0.809715,41.7297,1.2935664250868228e-05
27,4483670.0,8.83708,25.3915,16.9963,0.875807,44.7219,1.2935664250868228e-05
28,4483670.0,8.51175,26.982,18.3646,0.94632,47.7503,1.2935664250868228e-05
29,4483660.0,8.39062,28.4137,19.8117,1.02088,50.7031,1.5165951190665439e-05
30,4483660.0,8.4094,29.7528,21.3309,1.09917,53.6398,1.5165951190665439e-05
31,4483660.0,8.525310000000001,31.0443,22.9186,1.18098,56.6012,1.5165951190665439e-05
32,4483650.0,8.70989,32.3185,24.5733,1.26625,59.61600000000001,1.739623813046265e-05
33,4483650.0,8.9443,33.5964,26.2945,1.35494,62.7046,1.739623813046265e-05
34,4483640.0,9.21608,34.8925,28.0829,1.4471,65.8822,1.962652507025986e-05
35,4483640.0,9.51706,36.217,29.9397,1.5427799999999998,69.1603,1.962652507025986e-05
36,4483640.0,9.84195,37.5774,31.8666,1.6420700000000001,72.548,1.962652507025986e-05
37,4483630.0,10.1874,38.9794,33.8656,1.74508,76.0532,2.185681201005707e-05
38,4483630.0,10.5512,40.4272,35.939,1.85192,79.6826,2.185681201005707e-05
39,4483620.0,10.9323,41.9246,38.0894,1.96272,83.4424,2.408709894985428e-05
40,4483620.0,9.15583,43.0854,40.3124,2.07727,86.9346,2.408709894985428e-05
41,4483620.0,7.947019999999999,43.6822,42.5805,2.19415,89.9121,2.408709894985428e-05
42,4483620.0,7.117719999999999,43.9041,44.8694,2.31209,92.538,2.408709894985428e-05
43,4483610.0,6.54223,43.8778,47.163000000000004,2.4302799999999998,94.9215,2.631738588965149e-05
44,4483610.0,6.13656,43.6877,49.4508,2.5481700000000003,97.1356,2.631738588965149e-05
45,4483610.0,5.84459,43.3902,51.7256,2.66539,99.2291,2.631738588965149e-05
46,4483610.0,2.4609099999999997,42.4424,53.9726,2.78118,100.632,2.631738588965149e-05
47,4483610.0,0.326881,40.6199,56.1454,2.8931400000000003,101.087,2.631738588965149e-05
48,4483610.0,-0.9830700000000001,38.3179,58.2092,2.99949,100.95100000000001,2.631738588965149e-05
49,4483620.0,-1.75245,35.7913,60.1461,3.0992900000000003,100.458,2.408709894985428e-05
50,4483620.0,-2.16987,33.2018,61.9488,3.19218,99.7627,2.408709894985428e-05
51,4483620.0,-2.36057,30.6501,63.6169,3.27814,98.9643,2.408709894985428e-05
52,4483620.0,-2.40754,28.1961,65.154,3.35735,98.1265,2.408709894985428e-05
53,4483620.0,-2.36554,25.8738,66.5662,3.4301199999999996,97.2893,2.408709894985428e-05
54,4483620.0,0.8523379999999999,24.2635,67.8709,3.49735,97.0622,2.408709894985428e-05
55,4483610.0,3.1696,23.6715,69.1194,3.5616800000000004,97.7911,2.631738588965149e-05
56,4483610.0,3.8274,23.6039,70.3531,3.62526,99.0232,2.631738588965149e-05
57,4483610.0,4.30463,23.7311,71.5888,3.6889300000000005,100.45100000000001,2.631738588965149e-05
58,4483610.0,4.6620800000000004,23.9924,72.8347,3.75313,102.024,2.631738588965149e-05
59,4483610.0,4.94037,24.346999999999998,74.0968,3.81817,103.70700000000001,2.631738588965149e-05
60,4483600.0,5.16666,24.768,75.3793,3.88425,105.477,2.85476728294487e-05
61,4483600.0,5.35912,25.2374,76.6851,3.95154,107.32,2.85476728294487e-05
62,4483600.0,5.52989,25.7433,78.0164,4.0201400000000005,109.227,2.85476728294487e-05
63,4483600.0,6.19463,26.368000000000002,79.3764,4.0902199999999995,111.28399999999999,2.85476728294487e-05
64,4483590.0,6.74194,27.1643,80.7738,4.16223,113.551,3.077795976924591e-05
65,4483590.0,7.215089999999999,28.0908,82.2162,4.23655,115.99600000000001,3.077795976924591e-05
66,4483590.0,7.64317,29.1207,83.7098,4.31352,118.598,3.077795976924591e-05
67,4483580.0,8.045760000000001,30.2365,85.2595,4.39337,121.345,3.300824670904312e-05
68,4483580.0,8.43615,31.4274,86.8695,4.47634,124.23,3.300824670904312e-05
69,4483570.0,8.82342,32.6869,88.5435,4.56259,127.251,3.523853364884033e-05
70,4483570.0,9.21383,34.0114,90.2849,4.65233,130.408,3.523853364884033e-05
71,4483570.0,9.61177,35.3992,92.0972,4.7457199999999995,133.703,3.523853364884033e-05
72,4483560.0,10.0204,36.8502,93.9836,4.8429199999999994,137.139,3.746882058852652e-05
