,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4477790.0,386.32300000000004,2127.92,2679.41,79.3462,4889.45,0.0013243443848511838
1,4477630.0,397.816,2193.89,2748.42,81.5502,5026.68,0.0013600289758879391
2,4477460.0,409.788,2261.76,2819.57,83.8224,5168.02,0.0013979438538644917
3,4477290.0,422.214,2331.64,2892.92,86.165,5313.63,0.0014358587318410443
4,4477120.0,435.08,2403.6,2968.54,88.5798,5463.67,0.0014737736098175969
5,4476930.0,448.38,2477.73,3046.48,91.0691,5618.28,0.0015161490616736328
6,4476750.0,462.115,2554.11,3126.84,93.6352,5777.63,0.0015562942265899826
7,4476550.0,476.29,2632.82,3209.66,96.2804,5941.86,0.0016008999653859268
8,4476350.0,490.911,2713.94,3295.04,99.0071,6111.13,0.001645505704181871
9,4476150.0,505.98900000000003,2797.54,3383.05,101.818,6285.6,0.0016901114429778152
10,4475940.0,521.534,2883.69,3473.77,104.715,6465.43,0.0017369474687135567
11,4475720.0,537.559,2972.49,3567.29,107.70200000000001,6650.79,0.0017860137813890953
12,4475490.0,554.078,3064.01,3663.68,110.78,6841.84,0.0018373103810044311
13,4475260.0,571.1030000000001,3158.34,3763.04,113.95299999999999,7038.76,0.001888606980619656
14,4475020.0,588.65,3255.56,3865.46,117.22399999999999,7241.73,0.001942133867174789
15,4474780.0,606.734,3355.76,3971.03,120.596,7450.94,0.001995660753729922
16,4474520.0,625.372,3459.03,4079.86,124.071,7666.58,0.0020536482141646495
17,4474260.0,644.5790000000001,3565.47,4192.03,127.65299999999999,7888.83,0.002111635674599377
18,4473990.0,664.373,3675.17,4307.65,131.346,8117.92,0.0021718534219739016
19,4473710.0,684.7710000000001,3788.23,4426.83,135.15200000000002,8354.04,0.0022343014562881125
20,4473430.0,705.7919999999999,3904.76,4549.67,139.075,8597.4,0.0022967494906024344
21,4473130.0,727.454,4024.85,4676.3,143.119,8848.24,0.0023636580987963507
22,4472830.0,749.7769999999999,4148.62,4806.81,147.287,9106.78,0.002430566706990267
23,4472510.0,772.78,4276.18,4941.35,151.584,9373.24,0.0025019358890637777
24,4472190.0,796.4839999999999,4407.64,5080.01,156.012,9647.89,0.0025733050711371774
25,4471860.0,820.91,4543.13,5222.94,160.577,9930.95,0.0026469045401504854
26,4471510.0,846.08,4682.76,5370.27,165.282,10222.7,0.0027249645830433877
27,4471160.0,872.015,4826.66,5522.12,170.13099999999997,10523.4,0.00280302462593629
28,4470790.0,898.7389999999999,4974.95,5678.63,175.13,10833.3,0.002885545242708787
29,4470420.0,926.275,5127.78,5839.96,180.282,11152.7,0.0029680658594811726
30,4470030.0,954.648,5285.28,6006.24,185.593,11481.9,0.003055047050133264
31,4469630.0,983.882,5447.58,6177.63,191.06599999999997,11821.1,0.0031442585277251522
32,4469220.0,1014.0,5614.84,6354.28,196.708,12170.8,0.003235700292256838
33,4468800.0,1045.04,5787.2,6536.35,202.52200000000002,12531.2,0.0033293723437282097
34,4468360.0,1077.01,5964.82,6724.01,208.515,12902.6,0.003427504969079287
35,4467910.0,1109.96,6147.86,6917.43,214.69299999999998,13285.3,0.0035278678813701614
36,4467440.0,1143.9,6336.47,7116.79,221.05900000000003,13679.8,0.0036326913675406303
37,4466970.0,1178.87,6530.84,7322.26,227.62099999999998,14086.3,0.003737514853710988
38,4466470.0,1214.9,6731.11,7534.03,234.38400000000001,14505.2,0.0038490292007008486
39,4465960.0,1252.02,6937.49,7752.3,241.355,14937.0,0.003962773834630506
40,4465440.0,1290.25,7150.14,7977.26,248.53900000000002,15381.9,0.00407874875549985
41,4464900.0,1329.64,7369.26,8209.11,255.94400000000002,15840.4,0.0041991842502489
42,4464350.0,1370.22,7595.05,8448.07,263.575,16312.9,0.004321850031937746
43,4463770.0,1412.02,7827.69,8694.35,271.441,16799.8,0.004451206674445873
44,4463180.0,1455.08,8067.39,8948.17,279.547,17301.6,0.004582793603893909
45,4462570.0,1499.44,8314.37,9209.76,287.901,17818.7,0.004718841107221539
46,4461950.0,1545.13,8568.84,9479.36,296.51099999999997,18351.5,0.004857118897488855
47,4461300.0,1592.19,8831.03,9757.21,305.384,18900.6,0.005002087548575673
48,4460630.0,1640.67,9101.16,10043.6,314.529,19466.4,0.005151516773541975
49,4459950.0,1690.6,9379.47,10338.7,323.954,20049.4,0.005303176285448186
50,4459240.0,1742.02,9666.2,10642.8,333.667,20650.2,0.005461526658173788
51,4458510.0,1794.98,9961.6,10956.2,343.676,21269.2,0.005624337604778873
52,4457760.0,1849.53,10265.9,11279.2,353.99199999999996,21907.0,0.005791609125263664
53,4456990.0,1905.71,10579.4,11612.1,364.62199999999996,22564.3,0.005963341219627938
54,4456190.0,1963.56,10902.4,11955.1,375.57800000000003,23241.4,0.006141764174811715
55,4455370.0,2023.14,11235.2,12308.6,386.86699999999996,23939.2,0.006324647703874975
56,4454530.0,2084.49,11577.9,12672.9,398.501,24658.1,0.0065119918068179405
57,4453660.0,2147.67,11931.0,13048.3,410.49,25398.7,0.006706026770580187
58,4452760.0,2212.72,12294.7,13435.2,422.845,26161.9,0.006906752595161936
59,4451830.0,2279.7,12669.3,13833.8,435.57599999999996,26948.1,0.007114169280562965
60,4450880.0,2348.67,13055.2,14244.6,448.694,27758.1,0.007326046539843589
61,4449900.0,2419.68,13452.7,14667.9,462.213,28592.6,0.007544614659943716
62,4448890.0,2492.78,13862.0,15104.1,476.14300000000003,29452.4,0.007769873640863123
63,4447850.0,2568.05,14283.7,15553.5,490.496,30338.1,0.008001823482602033
64,4446770.0,2645.53,14718.0,16016.6,505.286,31250.6,0.00824269447210002
65,4445670.0,2725.29,15165.2,16493.8,520.526,32190.5,0.008488026035477603
66,4444530.0,2807.4,15625.8,16985.5,536.229,33158.8,0.008742278746614374
67,4443360.0,2891.91,16100.2,17492.1,552.408,34156.3,0.009003222318570647
68,4442150.0,2978.9,16588.7,18014.1,569.0790000000001,35183.7,0.009273087038285999
69,4440910.0,3068.43,17091.7,18551.9,586.255,36242.1,0.009549642618820742
70,4439620.0,3160.58,17609.8,19106.1,603.952,37332.3,0.00983734963405447
71,4438300.0,3255.41,18143.2,19677.0,622.185,38455.2,0.010131747510107703
72,4436940.0,3353.0,18692.4,20265.2,640.97,39611.7,0.010435066533920012
73,4435540.0,3453.43,19257.9,20871.2,660.324,40802.9,0.01074730670549151
74,4434100.0,3556.76,19840.1,21495.6,680.263,42029.8,0.011068468024822198
75,4432620.0,3663.08,20439.6,22138.8,700.804,43293.4,0.011398550491912074
76,4431090.0,3772.46,21056.7,22801.4,721.966,44594.7,0.011739784393700936
77,4429510.0,3885.0,21692.0,23484.0,743.7669999999999,45934.9,0.012092169730188784
78,4427890.0,4000.77,22346.1,24187.3,766.2260000000001,47315.0,0.012453476214435821
79,4426220.0,4119.86,23019.3,24911.7,789.3610000000001,48736.2,0.012825934133381844
80,4424500.0,4242.35,23712.3,25657.9,813.193,50199.7,0.013209543487026854
81,4422730.0,4368.34,24425.6,26426.6,837.742,51706.7,0.013604304275370849
82,4420910.0,4497.91,25159.8,27218.4,863.029,53258.4,0.01401021649841383
83,4419040.0,4631.16,25915.4,28034.0,889.077,54856.1,0.014427280156155797
84,4417100.0,4768.17,26693.0,28874.1,915.9060000000001,56501.1,0.014859955822476345
85,4415120.0,4909.06,27493.2,29739.4,943.539,58194.8,0.01530155263655597
86,4413070.0,5053.91,28316.7,30630.6,972.0010000000001,59938.4,0.015758761459214288
87,4410960.0,5202.82,29164.1,31548.5,1001.32,61733.5,0.016229352003511388
88,4408790.0,5355.9,30035.9,32493.8,1031.51,63581.4,0.01671332426944716
89,4406560.0,5513.25,30932.9,33467.4,1062.6,65483.7,0.017210678257021828
90,4404260.0,5674.97,31855.8,34470.1,1094.62,67441.8,0.017723644253175075
91,4401900.0,5841.17,32805.2,35502.6,1127.6,69457.2,0.018249991970966994
92,4399460.0,6011.96,33781.8,36565.9,1161.55,71531.7,0.018794181984277403
93,4396960.0,6187.45,34786.3,37660.9,1196.52,73666.8,0.019351753719226483
94,4394380.0,6367.74,35819.5,38788.3,1232.53,75864.1,0.019927167749694052
95,4391730.0,6552.95,36882.1,39949.3,1269.6,78125.4,0.02051819378874009
96,4389000.0,6743.2,37974.9,41144.7,1307.78,80452.4,0.021127062123304508
97,4386190.0,6938.6,39098.7,42375.4,1347.09,82846.9,0.021753772753387413
98,4383300.0,7139.27,40254.2,43642.6,1387.55,85310.7,0.022398325678988584
99,4380330.0,7345.32,41442.2,44947.2,1429.22,87845.8,0.023060720900108134
100,4377270.0,7556.88,42663.6,46290.2,1472.11,90453.8,0.023743188703685858
101,4374130.0,7774.06,43919.2,47672.8,1516.27,93137.0,0.02444349880278196
102,4370900.0,7997.0,45209.9,49096.1,1561.72,95897.1,0.025163881484336237
103,4367570.0,8225.8,46536.4,50561.2,1608.51,98736.3,0.025906567035288486
104,4364150.0,8460.59,47899.8,52069.2,1656.67,101657.0,0.02666932516869891
105,4360630.0,8701.5,49300.8,53621.4,1706.24,104660.0,0.027454386171507306
106,4357010.0,8948.65,50740.4,55218.9,1757.26,107749.0,0.028261750043713674
107,4353290.0,9202.16,52219.5,56863.1,1809.77,110926.0,0.029091416785317903
108,4349470.0,9462.17,53739.0,58555.1,1863.8,114192.0,0.029943386396320215
109,4345540.0,9728.79,55300.0,60296.3,1919.41,117551.0,0.030819889163660186
110,4341500.0,10002.2,56903.2,62088.1,1976.63,121004.0,0.03172092508733804
111,4337350.0,10282.4,58549.8,63931.7,2035.51,124554.0,0.032646494167353546
112,4333080.0,10569.6,60240.7,65828.7,2096.09,128204.0,0.03359882669064673
113,4328690.0,10863.9,61976.8,67780.3,2158.42,131955.0,0.034577922657217375
114,4324180.0,11165.5,63759.2,69788.2,2222.55,135810.0,0.035583782067065584
115,4319550.0,11474.4,65589.0,71853.7,2288.51,139773.0,0.03661640492019136
116,4314790.0,11790.8,67467.0,73978.5,2356.37,143845.0,0.03767802150353461
117,4309900.0,12114.8,69394.4,76164.0,2426.17,148028.0,0.03876863181709511
118,4304880.0,12446.5,71372.1,78411.9,2497.96,152327.0,0.03988823586087287
119,4299730.0,12786.0,73401.3,80723.8,2571.79,156743.0,0.0410368336348681
120,4294430.0,13133.5,75482.9,83101.3,2647.72,161279.0,0.042218885712960286
121,4288990.0,13489.0,77618.0,85546.2,2725.8,165939.0,0.043432161808209635
122,4283410.0,13852.6,79807.7,88060.1,2806.08,170724.0,0.044676661920616034
123,4277670.0,14224.5,82053.0,90644.8,2888.63,175638.0,0.0459568466240593
124,4271790.0,14604.7,84355.0,93302.2,2973.49,180683.0,0.047268255344659615
125,4265750.0,14993.4,86714.7,96034.0,3060.74,185863.0,0.048615348656296686
126,4259550.0,15390.6,89133.1,98842.1,3150.42,191181.0,0.049998126558970624
127,4253190.0,15796.4,91611.4,101728.0,3242.6,196639.0,0.051416589052681205
128,4246660.0,16210.9,94150.5,104695.0,3337.33,202241.0,0.05287296642436834
129,4239970.0,16634.1,96751.5,107743.0,3434.69,207989.0,0.05436502838709212
130,4233100.0,17066.2,99415.4,110876.0,3534.74,213887.0,0.05589723551473236
131,4226060.0,17507.1,102143.0,114095.0,3637.53,219938.0,0.05746735752034915
132,4218840.0,17957.0,104936.0,117402.0,3743.14,226145.0,0.05907762469088218
133,4211430.0,18415.8,107795.0,120799.0,3851.63,232511.0,0.06073026731327147
134,4203840.0,18883.6,110720.0,124288.0,3963.07,239039.0,0.062423055100576996
135,4196070.0,19360.5,113713.0,127872.0,4077.53,245732.0,0.06415598805279887
136,4188090.0,19846.3,116775.0,131553.0,4195.08,252594.0,0.0659357570307566
137,4179930.0,20341.3,119906.0,135333.0,4315.78,259627.0,0.06775567117363046
138,4171560.0,20845.2,123108.0,139213.0,4439.72,266835.0,0.06962242134224017
139,4162990.0,21358.1,126381.0,143197.0,4566.96,274222.0,0.07153377724964582
140,4154210.0,21880.0,129726.0,147287.0,4697.57,281789.0,0.07349196918278722
