,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1230940.0,74.7233,836.096,7548.31,100.01100000000001,8484.8,0.008742974898473754
1,1230900.0,69.4107,778.1360000000001,7642.38,101.367,8522.24,0.00877518628245999
2,1230860.0,64.5237,724.143,7729.93,102.62899999999999,8557.04,0.008807397666446337
3,1230820.0,60.0061,673.8710000000001,7811.4,103.803,8589.39,0.008839609050432573
4,1230790.0,55.8182,627.075,7887.22,104.896,8619.48,0.008863767588422222
5,1230760.0,51.9297,583.52,7957.77,105.913,8647.47,0.008887926126411982
6,1230730.0,48.3158,542.986,8023.42,106.86,8673.51,0.008912084664401632
7,1230710.0,44.9555,505.265,8084.51,107.74,8697.75,0.008928190356394805
8,1230680.0,41.8299,470.163,8141.35,108.56,8720.29,0.008952348894384454
9,1230660.0,38.9221,437.499,8194.25,109.322,8741.27,0.008968454586377628
10,1230640.0,36.2169,407.103,8243.47,110.03200000000001,8760.79,0.008984560278370801
11,1230620.0,33.6998,378.819,8289.27,110.69200000000001,8778.95,0.009000665970363864
12,1230600.0,31.3577,352.499,8331.89,111.306,8795.86,0.009016771662357037
13,1230580.0,29.1785,328.00800000000004,8371.55,111.87799999999999,8811.58,0.00903287735435021
14,1230570.0,27.1507,305.218,8408.45,112.41,8826.22,0.009040930200346797
15,1230550.0,25.2639,284.01099999999997,8442.79,112.905,8839.83,0.00905703589233986
16,1230540.0,23.5083,264.278,8474.74,113.365,8852.51,0.009065088738336446
17,1230520.0,21.8746,245.915,8504.47,113.794,8864.3,0.00908119443032962
18,1230510.0,20.3545,228.829,8532.14,114.193,8875.27,0.009089247276326207
19,1230500.0,18.94,212.929,8557.88,114.564,8885.47,0.009097300122322682
20,1230490.0,17.6238,198.13400000000001,8581.84,114.90899999999999,8894.97,0.009105352968319269
21,1230480.0,16.3991,184.36700000000002,8604.13,115.23,8903.81,0.009113405814315856
22,1230470.0,15.2595,171.55700000000002,8624.87,115.529,8912.04,0.009121458660312443
23,1230460.0,14.1991,159.636,8644.17,115.80799999999999,8919.69,0.00912951150630903
24,1230460.0,13.2124,148.54399999999998,8662.13,116.06700000000001,8926.81,0.00912951150630903
25,1230450.0,12.2943,138.222,8678.84,116.307,8933.44,0.009137564352305616
26,1230440.0,11.4399,128.618,8694.4,116.53200000000001,8939.6,0.009145617198302092
27,1230440.0,10.645,119.681,8708.87,116.74,8945.34,0.009145617198302092
28,1230430.0,9.90523,111.365,8722.33,116.934,8950.68,0.009153670044298678
29,1230430.0,9.21692,103.62700000000001,8734.86,117.115,8955.65,0.009153670044298678
30,1230420.0,8.57643,96.4261,8746.52,117.28299999999999,8960.27,0.009161722890295265
31,1230420.0,7.98045,89.7258,8757.37,117.439,8964.57,0.009161722890295265
32,1230410.0,7.425889999999999,83.4911,8767.46,117.585,8968.58,0.009169775736291852
33,1230410.0,6.90987,77.6896,8776.85,117.72,8972.3,0.009169775736291852
34,1230400.0,6.4297,72.2912,8785.59,117.846,8975.76,0.009177828582288439
35,1230400.0,5.9829,67.2679,8793.73,117.964,8978.99,0.009177828582288439
36,1230400.0,5.56715,62.5937,8801.3,118.073,8981.99,0.009177828582288439
37,1230390.0,5.18029,58.2442,8808.34,118.17399999999999,8984.78,0.009185881428285025
38,1230390.0,4.82032,54.196999999999996,8814.89,118.26899999999999,8987.38,0.009185881428285025
39,1230390.0,4.48535,50.431000000000004,8820.99,118.35600000000001,8989.8,0.009185881428285025
40,1230390.0,4.1736699999999995,46.9267,8826.66,118.43799999999999,8992.05,0.009185881428285025
41,1230380.0,3.88364,43.6659,8831.94,118.514,8994.14,0.009193934274281501
42,1230380.0,3.6137699999999997,40.6316,8836.85,118.585,8996.09,0.009193934274281501
43,1230380.0,3.36265,37.8082,8841.42,118.65100000000001,8997.9,0.009193934274281501
44,1230380.0,3.12899,35.181,8845.68,118.712,8999.59,0.009193934274281501
45,1230380.0,2.91155,32.7364,8849.64,118.76899999999999,9001.16,0.009193934274281501
46,1230370.0,2.70923,30.4616,8853.32,118.823,9002.62,0.009201987120278088
