,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2331930.0,0.22628600000000001,0.962414,0.0628132,0.00213001,1.0279,-1.2864896714592788e-06
1,2331930.0,0.435875,0.9776,0.124929,0.00423638,1.10781,-1.2864896714592788e-06
2,2331930.0,0.641312,1.03978,0.18954100000000002,0.00642736,1.23729,-1.2864896714592788e-06
3,2331920.0,0.853384,1.14626,0.25956799999999997,0.00880202,1.41668,3.0018092332939617e-06
4,2331920.0,1.08187,1.2968600000000001,0.337843,0.011456299999999999,1.6487599999999998,3.0018092332939617e-06
5,2331920.0,1.33617,1.49366,0.427259,0.014488399999999999,1.93862,3.0018092332939617e-06
6,2331920.0,1.62579,1.74079,0.5309050000000001,0.018003099999999998,2.2936,3.0018092332939617e-06
7,2331920.0,1.96085,2.04435,0.652204,0.0221164,2.72338,3.0018092332939617e-06
8,2331920.0,2.3524700000000003,2.41256,0.795035,0.026959800000000003,3.2402,3.0018092332939617e-06
9,2331920.0,2.81323,2.8558,0.963873,0.032685200000000005,3.85911,3.0018092332939617e-06
10,2331920.0,3.3576099999999998,3.38697,1.16394,0.0394695,4.59844,3.0018092332939617e-06
11,2331920.0,4.00248,4.021719999999999,1.4013799999999998,0.047521,5.480230000000001,3.0018092332939617e-06
12,2331910.0,4.7676300000000005,4.778980000000001,1.6834200000000001,0.057085300000000005,6.530930000000001,7.290108138047202e-06
13,2331910.0,5.67644,5.68144,2.0186599999999997,0.0684533,7.78218,7.290108138047202e-06
14,2331910.0,6.75655,6.756239999999999,2.4172700000000003,0.0819703,9.2717,7.290108138047202e-06
15,2331910.0,8.04077,8.0358,2.89133,0.0980458,11.0445,7.290108138047202e-06
16,2331900.0,9.56803,9.55873,3.4552099999999997,0.11716700000000001,13.1541,1.1578407042800443e-05
17,2331900.0,11.3846,11.370999999999999,4.12598,0.139913,15.6643,1.1578407042800443e-05
18,2331890.0,13.5455,13.5275,4.92394,0.166972,18.651,1.586670594744266e-05
19,2331890.0,10.3143,15.4089,5.8586800000000006,0.198669,21.491,1.586670594744266e-05
20,2331890.0,7.91564,16.5203,6.88855,0.233592,23.6615,1.586670594744266e-05
21,2331890.0,6.13154,17.0782,7.97129,0.270308,25.3345,1.586670594744266e-05
22,2331890.0,4.80131,17.2412,9.07662,0.30779,26.6371,1.586670594744266e-05
23,2331890.0,3.8064199999999997,17.1256,10.183,0.34530900000000003,27.6631,1.586670594744266e-05
24,2331890.0,3.05947,16.8167,11.2755,0.382353,28.4819,1.586670594744266e-05
25,2331890.0,2.49598,16.3766,12.3436,0.418573,29.1447,1.586670594744266e-05
26,2331890.0,2.06839,15.8505,13.3804,0.453733,29.6896,1.586670594744266e-05
27,2331890.0,1.7416,15.2712,14.3816,0.487683,30.1447,1.586670594744266e-05
28,2331890.0,1.48971,14.6624,15.3445,0.520335,30.5308,1.586670594744266e-05
29,2331890.0,1.29359,14.0411,16.2677,0.551643,30.8636,1.586670594744266e-05
30,2331890.0,1.13911,13.4194,17.151,0.581593,31.1546,1.586670594744266e-05
31,2331890.0,1.01583,12.8055,17.9944,0.6101949999999999,31.4126,1.586670594744266e-05
32,2331890.0,0.9160209999999999,12.2054,18.7988,0.637471,31.6438,1.586670594744266e-05
33,2331890.0,0.833975,11.6229,19.5651,0.663458,31.8534,1.586670594744266e-05
34,2331890.0,0.765451,11.0604,20.2946,0.688195,32.0451,1.586670594744266e-05
35,2331890.0,0.7073010000000001,10.5195,20.9886,0.711729,32.2215,1.586670594744266e-05
36,2331890.0,0.6571859999999999,10.0008,21.6485,0.734107,32.3851,1.586670594744266e-05
37,2331890.0,0.613363,9.5047,22.2758,0.755378,32.5374,1.586670594744266e-05
38,2331890.0,0.574525,9.03091,22.8719,0.7755920000000001,32.6798,1.586670594744266e-05
39,2331890.0,0.539694,8.57907,23.4382,0.794795,32.8134,1.586670594744266e-05
40,2331880.0,0.508131,8.148610000000001,23.9762,0.813037,32.939,2.01550048521959e-05
41,2331880.0,2.36288,7.96098,24.4918,0.830523,33.289,2.01550048521959e-05
42,2331880.0,4.113659999999999,8.202010000000001,25.0093,0.8480719999999999,34.0693,2.01550048521959e-05
43,2331880.0,5.86233,8.8321,25.5549,0.8665709999999999,35.2676,2.01550048521959e-05
44,2331870.0,7.6983,9.836310000000001,26.1528,0.886849,36.8945,2.4443303756949142e-05
45,2331870.0,9.70463,11.2206,26.8274,0.909725,38.981,2.4443303756949142e-05
46,2331860.0,11.963,13.0094,27.6038,0.93605,41.578,2.8731602661702382e-05
47,2331860.0,14.5581,15.2452,28.5091,0.96675,44.756,2.8731602661702382e-05
48,2331850.0,14.9483,17.6846,29.5676,1.00264,48.2908,3.30199015663446e-05
49,2331850.0,15.6361,20.0933,30.7816,1.0438100000000001,51.9562,3.30199015663446e-05
50,2331840.0,16.5809,22.5372,32.1514,1.09026,55.8186,3.730820047109784e-05
51,2331830.0,17.7567,25.0705,33.6809,1.1421299999999999,59.9361,4.159649937585108e-05
52,2331830.0,19.1887,27.7439,35.3154,1.26176,64.3671,4.159649937585108e-05
53,2331820.0,20.8283,30.601999999999997,37.121,1.39392,69.1669,4.588479828060432e-05
54,2331810.0,22.677,33.6813,39.1103,1.5395299999999998,74.3856,5.017309718524654e-05
55,2331800.0,21.763,36.6653,41.2909,1.69913,79.7076,5.446139608999978e-05
56,2331800.0,21.2709,39.2964,43.6449,1.87143,84.8638,5.446139608999978e-05
57,2331790.0,21.0969,41.6826,46.1539,2.05507,89.9422,5.874969499475302e-05
58,2331790.0,21.1645,43.9042,48.8053,2.24915,95.0094,5.874969499475302e-05
59,2331780.0,21.4176,46.0209,51.591,2.45304,100.116,6.303799389950626e-05
60,2331770.0,21.8148,48.0777,54.5057,2.6663799999999998,105.302,6.732629280414848e-05
61,2331770.0,22.3262,50.1081,57.5469,2.88898,110.598,6.732629280414848e-05
62,2331750.0,28.824,52.8298,60.87,2.9798,116.749,7.590289061365496e-05
63,2331730.0,35.1877,56.865,64.41199999999999,3.0766,124.43799999999999,8.447948842305042e-05
64,2331720.0,41.6538,62.1263,68.2547,3.1816299999999997,133.66299999999998,8.876778732780366e-05
65,2331700.0,48.4222,68.5825,72.4763,3.2970099999999998,144.472,9.734438513731014e-05
66,2331670.0,55.669,76.2476,77.1543,3.42486,156.96,0.00011020928185145884
67,2331650.0,63.5563,85.1741,82.3685,3.56737,171.263,0.0001187858796608543
68,2331620.0,72.2404,95.4477,88.2031,3.72683,187.551,0.00013165077637511402
69,2331580.0,81.8778,107.185,94.7488,3.90573,206.03599999999997,0.00014880397199401596
70,2331550.0,92.6302,120.53200000000001,102.105,4.1067800000000005,226.96599999999998,0.00016166886870816466
71,2331510.0,104.67,135.664,110.381,4.3329699999999995,250.62900000000002,0.0001788220643270666
72,2331470.0,110.87100000000001,160.092,111.501,4.59417,276.453,0.00019597525994596854
73,2331440.0,119.429,186.055,112.811,4.89984,304.053,0.00020884015666011724
74,2331390.0,130.298,214.095,114.32600000000001,5.25318,333.98699999999997,0.00023028165118377242
75,2331350.0,143.504,244.74599999999998,116.06299999999999,5.65833,366.81199999999995,0.00024743484680267436
76,2331290.0,159.134,278.552,118.044,6.12038,403.098,0.00027316464023097176
77,2331230.0,177.333,316.077,120.294,6.645410000000001,443.44199999999995,0.0002988944336593802
78,2331170.0,198.299,357.92400000000004,122.845,7.2405100000000004,488.486,0.0003246242270876776
79,2331090.0,222.28400000000002,404.74199999999996,125.73200000000001,7.913889999999999,538.9209999999999,0.00035893061832548145
80,2331000.0,250.171,457.309,127.891,9.77862,595.5790000000001,0.0003975253084680386
81,2330920.0,272.139,515.341,130.328,11.8834,658.206,0.00043183169970584245
82,2330810.0,304.664,571.8430000000001,140.59,14.2359,727.4010000000001,0.00047900298765779503
83,2330690.0,340.46,635.14,151.984,16.8475,804.788,0.0005304625745145009
84,2330560.0,379.98699999999997,705.9069999999999,164.642,19.7493,891.21,0.0005862104602759599
85,2330410.0,423.73800000000006,784.913,178.715,22.9751,987.62,0.0006505349438469255
86,2330250.0,472.24300000000005,873.034,194.365,26.5626,1095.09,0.0007191477263225332
87,2330070.0,525.424,971.179,213.058,29.2684,1214.77,0.0007963371066075364
