,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,5,5
9,0,0,6,6
10,0,0,6,6
11,0,0,6,6
12,0,0,6,6
13,0,0,6,6
14,0,0,6,6
15,0,0,6,6
16,0,0,6,6
17,0,0,6,6
18,0,0,6,6
19,1,0,5,6
20,2,0,4,6
21,3,0,3,6
22,4,0,2,6
23,5,1,0,6
24,5,1,0,6
25,5,1,0,6
26,5,1,0,6
27,5,1,0,6
28,5,1,0,6
29,5,1,0,6
30,5,1,0,6
31,5,1,0,6
32,5,1,3,9
33,5,1,8,14
34,5,1,8,14
35,5,1,8,14
36,5,1,8,14
37,5,1,8,14
38,5,1,8,14
39,5,1,9,15
40,5,1,9,15
41,5,1,11,17
42,5,1,11,17
43,9,1,7,17
44,9,1,8,18
45,9,1,9,19
46,9,1,10,20
47,9,1,10,20
48,11,1,9,21
49,11,1,11,23
50,11,1,12,24
51,11,1,20,32
52,16,1,16,33
53,16,1,19,36
54,16,1,20,37
55,16,1,25,42
56,20,1,27,48
57,20,1,29,50
58,20,1,31,52
59,20,1,31,52
60,20,1,35,56
61,20,1,45,66
62,25,1,48,74
63,36,1,44,81
64,40,1,50,91
65,41,1,57,99
66,41,2,62,105
67,47,2,59,108
68,47,2,59,108
69,47,2,76,125
70,47,2,76,125
71,47,2,79,128
72,47,2,79,128
73,66,2,78,146
74,68,2,89,159
75,90,3,82,175
76,90,3,94,187
77,90,3,100,193
78,107,3,104,214
79,107,3,108,218
80,121,3,104,228
81,146,3,87,236
82,154,3,79,236
83,162,4,96,262
84,162,5,102,269
85,175,6,92,273
86,175,6,92,273
87,197,6,88,291
88,197,6,108,311
89,211,6,108,325
90,216,8,135,359
91,244,8,115,367
92,249,8,133,390
93,249,8,148,405
94,249,8,164,421
95,249,8,164,421
96,283,8,143,434
97,283,8,167,458
98,290,8,184,482
99,291,8,195,494
100,354,8,157,519
101,377,8,144,529
102,385,8,151,544
103,400,8,155,563
104,400,8,155,563
105,447,8,132,587
106,447,8,153,608
107,472,8,156,636
108,492,8,157,657
109,515,10,165,690
110,515,10,218,743
111,536,10,228,774
112,543,10,251,804
113,543,10,251,804
114,578,10,260,848
115,599,10,320,929
116,625,10,325,960
117,634,10,351,995
118,636,10,383,1029
119,684,10,363,1057
120,714,10,361,1085
121,740,11,349,1100
122,740,11,369,1120
123,775,11,353,1139
124,870,12,273,1155
125,898,12,279,1189
126,931,13,265,1209
127,931,13,265,1209
128,1008,13,281,1302
129,1025,13,296,1334
130,1064,13,295,1372
131,1064,13,295,1372
132,1073,13,348,1434
133,1106,13,368,1487
134,1111,13,415,1539
135,1154,14,428,1596
136,1183,14,445,1642
137,1218,18,501,1737
138,1276,18,521,1815
139,1295,21,557,1873
140,1312,22,612,1946
141,1342,22,673,2037
142,1399,22,667,2088
143,1399,22,736,2157
144,1475,23,739,2237
145,1579,24,733,2336
146,1633,25,715,2373
147,1703,28,742,2473
148,1755,30,828,2613
149,1830,30,874,2734
150,1911,30,928,2869
151,2016,32,962,3010
152,2047,34,1059,3140
153,2070,37,1145,3252
154,2171,39,1265,3475
155,2269,41,1403,3713
156,2400,43,1516,3959
157,2503,45,1617,4165
158,2539,48,1802,4389
159,2703,52,1794,4549
160,2805,56,1877,4738
161,2957,60,1876,4893
162,3357,65,1743,5165
163,3445,69,1946,5460
164,3547,73,2019,5639
165,3864,78,1846,5788
166,3884,83,2018,5985
167,4216,86,1860,6162
168,4283,87,1921,6291
169,4514,89,1807,6410
170,4704,92,1702,6498
171,4704,93,1805,6602
172,4878,95,1775,6748
173,5312,97,1456,6865
174,5367,98,1460,6925
175,5736,100,1160,6996
176,5873,102,1105,7080
177,5873,102,1171,7146
178,6208,104,871,7183
179,6298,104,857,7259
180,6396,106,825,7327
181,6396,106,825,7327
