,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,2,2
11,0,0,2,2
12,0,0,2,2
13,0,0,2,2
14,0,0,2,2
15,0,0,2,2
16,0,0,2,2
17,0,0,2,2
18,0,0,2,2
19,0,0,4,4
20,1,0,4,5
21,1,0,4,5
22,2,0,3,5
23,2,0,3,5
24,3,0,2,5
25,3,0,3,6
26,4,0,10,14
27,5,0,11,16
28,5,0,12,17
29,6,0,11,17
30,6,0,12,18
31,7,0,11,18
32,7,0,11,18
33,8,0,10,18
34,8,0,10,18
35,9,0,9,18
36,10,0,8,18
37,10,0,8,18
38,13,0,5,18
39,13,0,5,18
40,17,0,1,18
41,17,0,1,18
42,17,0,1,18
43,17,0,1,18
44,17,0,1,18
45,17,0,1,18
46,17,0,1,18
47,17,0,1,18
48,17,0,1,18
49,17,0,3,20
50,18,0,4,22
51,18,0,4,22
52,18,0,5,23
53,18,0,5,23
54,18,0,5,23
55,19,0,6,25
56,20,0,5,25
57,23,0,2,25
58,23,0,2,25
59,24,0,1,25
60,24,0,1,25
61,24,0,1,25
62,24,0,1,25
63,24,0,1,25
64,24,0,1,25
65,24,0,1,25
66,24,0,1,25
67,25,0,0,25
68,25,0,0,25
69,25,0,1,26
70,25,0,1,26
71,25,0,1,26
72,25,0,1,26
73,25,0,1,26
74,26,0,1,27
75,26,0,1,27
76,26,0,2,28
77,26,0,2,28
78,26,0,7,33
79,26,0,8,34
80,26,0,15,41
81,26,0,17,43
82,26,0,21,47
83,26,0,21,47
84,26,0,22,48
85,26,0,28,54
86,26,0,29,55
87,26,0,30,56
88,32,0,26,58
89,32,0,29,61
90,40,0,34,74
91,40,0,47,87
92,40,0,47,87
93,41,0,55,96
94,49,0,48,97
95,50,0,49,99
96,50,0,53,103
97,50,0,55,105
98,52,0,56,108
99,63,0,48,111
100,79,0,32,111
101,84,0,28,112
102,91,0,21,112
103,91,0,28,119
104,92,0,28,120
105,95,0,25,120
106,103,0,17,120
107,104,0,19,123
108,106,0,18,124
109,109,0,20,129
110,109,0,22,131
111,110,0,26,136
112,112,0,29,141
113,115,0,29,144
114,119,0,33,152
115,119,0,36,155
116,120,0,59,179
117,122,0,75,197
118,122,0,101,223
119,126,0,117,243
120,128,0,122,250
121,137,0,126,263
122,142,0,140,282
123,146,0,201,347
124,147,0,222,369
125,155,0,235,390
126,180,0,233,413
127,180,1,251,432
128,195,1,242,438
129,222,2,228,452
130,241,2,255,498
131,253,2,277,532
132,265,2,294,561
133,296,2,301,599
134,324,2,345,671
135,347,2,382,731
136,364,2,377,743
137,410,3,349,762
138,456,3,357,816
139,497,3,346,846
140,497,3,407,907
141,531,3,405,939
142,590,3,405,998
143,615,4,405,1024
144,684,4,372,1060
145,691,4,401,1096
146,719,4,402,1125
147,720,4,443,1167
148,761,4,444,1209
149,861,8,355,1224
150,861,8,398,1267
151,912,8,393,1313
152,959,9,459,1427
153,966,9,495,1470
154,987,10,539,1536
155,1021,10,545,1576
156,1037,12,588,1637
157,1136,13,508,1657
158,1158,13,658,1829
159,1178,15,730,1923
160,1238,17,724,1979
161,1266,19,790,2075
162,1409,19,724,2152
163,1439,20,771,2230
164,1464,23,841,2328
165,1531,23,990,2544
166,1593,24,1055,2672
167,1720,25,1054,2799
168,1742,28,1171,2941
169,1772,32,1274,3078
170,1898,34,1214,3146
171,2039,36,1240,3315
172,2154,38,1266,3458
173,2407,38,1187,3632
174,2508,40,1264,3812
175,2665,41,1284,3990
176,2738,41,1331,4110
177,2939,47,1219,4205
178,2964,51,1371,4386
179,3171,53,1272,4496
180,3339,54,1215,4608
181,3486,57,1222,4765
182,3544,62,1321,4927
183,3597,64,1399,5060
184,3773,67,1270,5110
185,4092,71,1019,5182
186,4103,72,1153,5328
187,4193,76,1160,5429
188,4277,77,1196,5550
189,4497,79,1087,5663
190,4624,80,1026,5730
191,4781,85,924,5790
192,4927,86,866,5879
193,5132,86,774,5992
194,5132,86,774,5992
