,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,2,2
19,0,0,2,2
20,0,0,3,3
21,0,0,3,3
22,0,0,3,3
23,1,0,2,3
24,1,0,2,3
25,1,0,3,4
26,1,0,3,4
27,2,0,2,4
28,2,0,5,7
29,2,0,5,7
30,2,0,5,7
31,2,0,7,9
32,3,0,10,13
33,3,0,10,13
34,3,0,10,13
35,3,0,16,19
36,4,0,16,20
37,-3,0,25,22
38,-3,0,27,24
39,-3,0,28,25
40,-3,0,28,25
41,-3,0,29,26
42,-3,0,29,26
43,-1,0,45,44
44,-1,0,74,73
45,-1,0,79,78
46,-1,0,82,81
47,-1,0,85,84
48,2,0,84,86
49,2,0,87,89
50,7,0,93,100
51,17,0,88,105
52,17,0,103,120
53,47,0,73,120
54,57,0,63,120
55,62,1,69,132
56,68,1,65,134
57,68,1,65,134
58,86,1,50,137
59,93,1,45,139
60,93,1,54,148
61,101,1,48,150
62,105,1,45,151
63,116,1,37,154
64,116,1,42,159
65,124,1,38,163
66,124,1,38,163
67,124,1,49,174
68,139,1,40,180
69,142,1,56,199
70,146,1,52,199
71,148,1,50,199
72,148,1,63,212
73,148,1,84,233
74,158,1,102,261
75,158,1,102,261
76,158,1,102,261
77,164,1,185,350
78,164,1,258,423
79,164,3,269,436
80,186,4,284,474
81,208,6,288,502
82,218,6,278,502
83,218,6,309,533
84,263,6,267,536
85,263,6,267,536
86,263,6,330,599
87,263,7,361,631
88,263,9,396,668
89,418,9,292,719
90,418,10,327,755
91,424,10,392,826
92,456,10,400,866
93,486,10,370,866
94,515,11,399,925
95,574,11,369,954
96,574,15,470,1059
97,665,15,414,1094
98,700,16,441,1157
99,700,18,477,1195
100,751,18,439,1208
101,773,18,417,1208
102,817,18,373,1208
103,844,18,477,1339
104,860,18,507,1385
105,971,18,477,1466
106,1004,18,444,1466
107,1025,20,503,1548
108,1025,20,532,1577
109,1114,20,509,1643
110,1114,20,594,1728
111,1158,20,600,1778
112,1190,22,676,1888
113,1265,24,700,1989
114,1411,24,614,2049
115,1474,24,606,2104
116,1517,24,629,2170
117,1563,24,642,2229
118,1563,24,711,2298
119,1613,25,706,2344
120,1643,25,718,2386
121,1657,28,799,2484
122,1824,28,673,2525
123,1952,28,545,2525
124,1952,29,622,2603
125,2095,30,543,2668
126,2155,31,532,2718
127,2217,31,494,2742
128,2262,31,499,2792
129,2297,31,487,2815
130,2363,32,446,2841
131,2471,32,374,2877
132,2500,32,366,2898
133,2542,32,325,2899
134,2594,33,332,2959
135,2618,33,333,2984
136,2664,33,316,3013
137,2711,33,301,3045
138,2744,33,319,3096
139,2820,33,303,3156
140,2834,33,289,3156
141,2834,34,341,3209
142,2858,34,348,3240
143,2879,35,382,3296
144,2901,35,391,3327
145,2936,36,405,3377
146,2974,38,415,3427
147,3014,40,397,3451
148,3065,40,366,3471
149,3087,40,383,3510
150,3140,40,352,3532
151,3181,40,351,3572
152,3245,40,337,3622
153,3297,40,331,3668
154,3335,41,340,3716
155,3374,41,367,3782
156,3374,41,413,3828
157,3459,41,362,3862
158,3492,41,420,3953
159,3524,41,511,4076
160,3566,41,569,4176
161,3601,41,609,4251
162,3645,41,605,4291
163,3709,41,650,4400
164,3763,41,726,4530
165,3841,41,675,4557
166,3911,41,795,4747
167,3991,41,813,4845
168,4101,41,828,4970
169,4169,41,836,5046
170,4246,41,887,5174
171,4389,41,844,5274
172,4554,41,820,5415
173,4664,41,793,5498
174,4840,41,784,5665
175,4952,41,837,5830
176,5043,41,913,5997
177,5174,42,986,6202
178,5350,42,886,6278
179,5507,42,898,6447
180,5673,42,1003,6718
181,5817,42,1030,6889
182,5992,42,1004,7038
183,6185,44,1043,7272
184,6277,44,1019,7340
185,6433,44,869,7346
186,6597,44,836,7477
187,6717,44,804,7565
188,6888,44,819,7751
189,7024,44,763,7831
190,7164,44,720,7928
191,7326,44,660,8030
192,7453,44,645,8142
193,7597,44,620,8261
194,7597,44,620,8261
