,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1611520.0,219.44299999999998,589.924,7787.95,59.9016,8438.48,0.00717425523591253
1,1611430.0,209.09099999999998,562.8530000000001,7883.11,60.3812,8507.01,0.007229702464013221
2,1611340.0,199.293,536.9540000000001,7973.89,60.8389,8572.33,0.0072851496921139125
3,1611250.0,189.99400000000003,512.203,8060.5,61.2754,8634.58,0.007340596920214493
4,1611170.0,181.153,488.56300000000005,8143.11,61.6918,8693.94,0.00738988334519286
5,1611090.0,172.738,465.99699999999996,8221.9,62.089,8750.54,0.007439169770171228
6,1611020.0,164.72299999999998,444.46,8297.05,62.4679,8804.51,0.007482295392027272
7,1610950.0,157.084,423.911,8368.73,62.8292,8855.98,0.0075254210138833155
8,1610880.0,149.804,404.305,8437.1,63.1738,8905.06,0.00756854663573947
9,1610820.0,142.862,385.602,8502.3,63.5025,8951.86,0.0076055114544731905
10,1610760.0,136.243,367.76199999999994,8564.49,63.816,8996.5,0.007642476273207022
11,1610700.0,129.931,350.74300000000005,8623.8,64.1149,9039.07,0.007679441091940742
12,1610640.0,123.912,334.51099999999997,8680.36,64.4001,9079.67,0.007716405910674462
13,1610590.0,118.171,319.028,8734.31,64.672,9118.39,0.0077472099262859695
14,1610540.0,112.696,304.26,8785.76,64.9314,9155.31,0.007778013941897477
15,1610490.0,107.475,290.17400000000004,8834.83,65.1787,9190.52,0.0078088179575089844
16,1610450.0,102.49600000000001,276.73900000000003,8881.62,65.4146,9224.1,0.007833461169998168
17,1610400.0,97.74700000000001,263.926,8926.25,65.6396,9256.13,0.007864265185609565
18,1610360.0,93.2179,251.704,8968.81,65.8541,9286.67,0.007888908398098748
19,1610320.0,88.8986,240.048,9009.41,66.0587,9315.8,0.007913551610587932
20,1610280.0,84.7792,228.93099999999998,9048.12,66.2539,9343.57,0.007938194823077116
21,1610250.0,80.8506,218.328,9085.04,66.44,9370.06,0.007956677232443976
22,1610210.0,77.1039,208.215,9120.25,66.6175,9395.32,0.00798132044493316
23,1610180.0,73.5307,198.571,9153.82,66.7867,9419.42,0.007999802854300131
24,1610150.0,70.123,189.372,9185.85,66.9481,9442.39,0.008018285263666991
25,1610120.0,66.8731,180.59900000000002,9216.39,67.1021,9464.3,0.008036767673033851
26,1610090.0,63.7737,172.233,9245.51,67.2489,9485.2,0.008055250082400711
27,1610060.0,60.8179,164.253,9273.29,67.3889,9505.12,0.008073732491767682
28,1610040.0,57.998999999999995,156.643,9299.77,67.5224,9524.12,0.008086054098012219
29,1610010.0,55.3107,149.385,9325.03,67.6498,9542.25,0.008104536507379079
30,1609990.0,52.747,142.463,9349.13,67.7712,9559.53,0.008116858113623726
31,1609970.0,50.302,135.862,9372.1,67.887,9576.01,0.008129179719868262
32,1609940.0,47.9703,129.566,9394.01,67.9975,9591.73,0.008147662129235123
33,1609920.0,45.7466,123.561,9414.9,68.1028,9606.71,0.00815998373547977
34,1609900.0,43.626000000000005,117.835,9434.83,68.2032,9621.01,0.008172305341724306
35,1609880.0,41.6036,112.374,9453.83,68.29899999999999,9634.64,0.008184626947968954
36,1609870.0,39.675,107.166,9471.95,68.3904,9647.64,0.008190787751091277
37,1609850.0,37.8357,102.199,9489.24,68.4775,9660.03,0.008203109357335814
38,1609830.0,36.0817,97.4625,9505.72,68.5606,9671.86,0.008215430963580461
39,1609820.0,34.4089,92.9451,9521.43,68.6398,9683.13,0.008221591766702674
40,1609800.0,32.8137,88.637,9536.42,68.7154,9693.88,0.008233913372947321
41,1609790.0,31.2924,84.5285,9550.72,68.7874,9704.13,0.008240074176069645
42,1609780.0,29.8416,80.6103,9564.35,68.8561,9713.91,0.008246234979191858
43,1609760.0,28.4581,76.8737,9577.35,68.9217,9723.23,0.008258556585436505
44,1609750.0,27.1387,73.3102,9589.74,68.9841,9732.13,0.008264717388558718
45,1609740.0,25.8804,69.9118,9601.57,69.0437,9740.61,0.008270878191681041
46,1609730.0,24.6805,66.6709,9612.84,69.1006,9748.69,0.008277038994803365
47,1609720.0,23.5362,63.5802,9623.59,69.1548,9756.4,0.008283199797925689
48,1609710.0,22.4449,60.6327,9633.85,69.2065,9763.76,0.008289360601047902
49,1609700.0,21.4042,57.8218,9643.62,69.2557,9770.77,0.008295521404170225
50,1609690.0,20.4118,55.1412,9652.95,69.3027,9777.46,0.008301682207292549
51,1609680.0,19.4654,52.5848,9661.84,69.3476,9783.84,0.008307843010414873
52,1609670.0,18.5628,50.1468,9670.32,69.3903,9789.92,0.008314003813537085
53,1609660.0,17.7021,47.8219,9678.41,69.4311,9795.72,0.008320164616659409
54,1609660.0,16.8813,45.6048,9686.12,69.47,9801.25,0.008320164616659409
55,1609650.0,16.0985,43.4904,9693.47,69.507,9806.52,0.008326325419781733
56,1609640.0,15.3521,41.474,9700.49,69.5424,9811.55,0.008332486222904056
57,1609640.0,14.6402,39.5511,9707.18,69.5761,9816.35,0.008332486222904056
58,1609630.0,13.9613,37.7173,9713.55,69.6082,9820.92,0.008338647026026269
59,1609620.0,13.314,35.9685,9719.64,69.6389,9825.29,0.008344807829148593
60,1609620.0,12.6966,34.3008,9725.44,69.6681,9829.45,0.008344807829148593
