,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2969180.0,138.879,591.865,1976.25,37.8123,2607.04,0.0011091759498895737
1,2969090.0,142.38299999999998,575.939,2060.95,38.8043,2676.82,0.0011394537283215822
2,2969000.0,143.046,563.07,2143.57,39.7721,2747.54,0.0011697315067534797
3,2968910.0,142.236,551.883,2224.47,40.7196,2818.19,0.0012000092851853772
4,2968820.0,140.66899999999998,541.655,2303.81,41.6489,2888.23,0.0012302870636172747
5,2968730.0,138.724,532.004,2381.71,42.5614,2957.38,0.0012605648420492832
6,2968640.0,136.599,522.7280000000001,2458.24,43.4578,3025.53,0.0012908426204811807
7,2968560.0,134.398,513.721,2533.45,44.3387,3092.59,0.0013177562013095834
8,2968480.0,132.175,504.923,2607.36,45.2045,3158.57,0.001344669782137875
9,2968390.0,129.959,496.30400000000003,2680.02,46.0554,3223.44,0.0013749475605698835
10,2968310.0,127.76299999999999,487.847,2751.43,46.8919,3287.22,0.0014018611413982862
11,2968240.0,125.59700000000001,479.54,2821.62,47.7141,3349.92,0.001425410524623083
12,2968160.0,123.462,471.37699999999995,2890.62,48.5223,3411.55,0.0014523241054514857
13,2968080.0,121.36,463.35400000000004,2958.45,49.3167,3472.14,0.0014792376862797774
14,2968010.0,119.29299999999999,455.467,3025.12,50.0976,3531.69,0.0015027870695046852
15,2967930.0,117.26,447.713,3090.66,50.8652,3590.24,0.0015297006503330879
16,2967860.0,115.262,440.091,3155.08,51.6198,3647.78,0.0015532500335578847
17,2967790.0,113.296,432.597,3218.4,52.3615,3704.34,0.0015767994167826815
18,2967720.0,111.36399999999999,425.22900000000004,3280.65,53.0906,3759.94,0.0016003488000075894
19,2967650.0,109.465,417.985,3341.83,53.8072,3814.59,0.0016238981832323862
20,2967580.0,107.59700000000001,410.86400000000003,3401.98,54.5117,3868.3,0.001647447566457183
21,2967520.0,105.76100000000001,403.86300000000006,3461.09,55.2041,3921.1,0.001667632752078485
22,2967450.0,103.956,396.98,3519.21,55.8848,3973.0,0.0016911821353032819
23,2967390.0,102.182,390.213,3576.33,56.5538,4024.02,0.0017113673209245839
24,2967320.0,100.43799999999999,383.56,3632.47,57.2115,4074.16,0.0017349167041493807
25,2967260.0,98.723,377.02,3687.66,57.8579,4123.45,0.0017551018897706827
26,2967200.0,97.0373,370.59,3741.91,58.4933,4171.89,0.0017752870753919847
27,2967140.0,95.3801,364.269,3795.23,59.1179,4219.51,0.0017954722610132867
28,2967080.0,93.7511,358.05400000000003,3847.65,59.7318,4266.31,0.0018156574466345887
29,2967020.0,92.1496,351.945,3899.16,60.3352,4312.32,0.0018358426322558907
30,2966970.0,90.5753,345.939,3949.8,60.9284,4357.54,0.0018526636202735869
31,2966910.0,89.0277,340.035,3999.58,61.5114,4401.99,0.0018728488058948889
32,2966860.0,87.5064,334.231,4048.51,62.0845,4445.67,0.001889669793912585
33,2966800.0,86.0109,328.525,4096.6,62.6478,4488.61,0.001909854979533887
34,2966750.0,84.5407,322.915,4143.87,63.2014,4530.82,0.0019266759675516942
35,2966700.0,83.0955,317.401,4190.33,63.7456,4572.31,0.0019434969555693904
36,2966650.0,81.6749,311.98,4236.0,64.2806,4613.08,0.0019603179435870866
37,2966600.0,80.2784,306.651,4280.89,64.8063,4653.16,0.0019771389316048937
38,2966550.0,78.9056,301.413,4325.01,65.3231,4692.55,0.00199395991962259
39,2966500.0,77.5561,296.263,4368.38,65.8311,4731.27,0.002010780907640286
40,2966450.0,76.2296,291.2,4411.01,66.3304,4769.33,0.0020276018956580932
41,2966400.0,74.9256,286.224,4452.91,66.8212,4806.74,0.0020444228836757894
42,2966360.0,73.6438,281.33099999999996,4494.09,67.3035,4843.51,0.0020578796740899907
43,2966310.0,72.3838,276.522,4534.57,67.7777,4879.64,0.002074700662107687
44,2966270.0,71.1452,271.795,4574.35,68.2437,4915.16,0.0020881574525218882
45,2966220.0,69.9277,267.14799999999997,4613.46,68.7018,4950.07,0.0021049784405396954
46,2966180.0,68.7309,262.58,4651.9,69.152,4984.39,0.0021184352309538967
47,2966140.0,67.5545,258.089,4689.68,69.5945,5018.12,0.002131892021367987
48,2966090.0,66.3981,253.675,4726.81,70.0295,5051.27,0.0021487130093857942
49,2966050.0,65.2615,249.33599999999998,4763.31,70.457,5083.85,0.0021621697997999956
50,2966010.0,64.1441,245.07,4799.19,70.8772,5115.87,0.002175626590214197
51,2965970.0,63.0458,240.877,4834.45,71.2902,5147.35,0.0021890833806283982
52,2965930.0,61.9662,236.75599999999997,4869.11,71.6961,5178.29,0.0022025401710424886
53,2965900.0,60.905,232.704,4903.17,72.0951,5208.69,0.002212632763853195
54,2965860.0,59.8619,228.722,4936.66,72.4873,5238.58,0.0022260895542673964
55,2965820.0,58.8366,224.80700000000002,4969.56,72.8728,5267.95,0.0022395463446815977
56,2965790.0,57.8287,220.959,5001.91,73.2516,5296.83,0.0022496389374921932
57,2965750.0,56.838,217.176,5033.7,73.624,5325.2,0.0022630957279063946
58,2965710.0,55.8643,213.458,5064.95,73.99,5353.09,0.002276552518320596
59,2965680.0,54.9071,209.803,5095.66,74.3498,5380.51,0.0022866451111311914
60,2965650.0,53.9663,206.21099999999998,5125.85,74.7033,5407.45,0.002296737703941898
61,2965610.0,53.0415,202.679,5155.52,75.0509,5433.93,0.0023101944943560992
62,2965580.0,52.1325,199.208,5184.68,75.3924,5459.96,0.0023202870871666947
63,2965550.0,51.239,195.796,5213.34,75.7281,5485.54,0.0023303796799772902
64,2965520.0,50.3607,192.442,5241.51,76.0581,5510.68,0.0023404722727879967
65,2965480.0,49.4975,189.146,5269.2,76.3824,5535.39,0.002353929063202198
66,2965450.0,48.648999999999994,185.905,5296.42,76.7012,5559.68,0.0023640216560127936
67,2965420.0,47.8149,182.72,5323.17,77.0145,5583.56,0.0023741142488235
68,2965390.0,46.9952,179.58900000000003,5349.46,77.3224,5607.02,0.0023842068416340956
69,2965370.0,46.1894,176.512,5375.29,77.6251,5630.08,0.0023909352368411962
70,2965340.0,45.3974,173.487,5400.69,77.9225,5652.74,0.0024010278296517917
71,2965310.0,44.6189,170.513,5425.65,78.2149,5675.02,0.0024111204224624982
72,2965280.0,43.8537,167.59099999999998,5450.19,78.5023,5696.92,0.0024212130152730937
73,2965250.0,43.1016,164.718,5474.3,78.7847,5718.43,0.0024313056080838003
74,2965230.0,42.3624,161.895,5498.0,79.0623,5739.58,0.002438034003290901
75,2965200.0,41.6358,159.119,5521.29,79.3351,5760.37,0.0024481265961014964
76,2965180.0,40.9216,156.391,5544.19,79.6033,5780.8,0.002454854991308597
77,2965150.0,40.2196,153.71,5566.69,79.8669,5800.88,0.0024649475841191926
78,2965130.0,39.5296,151.07399999999998,5588.8,80.1259,5820.62,0.0024716759793262932
79,2965100.0,38.8515,148.483,5610.54,80.3805,5840.02,0.0024817685721369998
80,2965080.0,38.1849,145.937,5631.9,80.6307,5859.08,0.0024884969673441004
81,2965050.0,37.5297,143.434,5652.9,80.8767,5877.82,0.002498589560154696
82,2965030.0,36.8857,140.974,5673.54,81.1184,5896.23,0.0025053179553617966
83,2965010.0,36.2528,138.556,5693.82,81.35600000000001,5914.33,0.0025120463505688972
84,2964990.0,35.6307,136.18,5713.76,81.5895,5932.12,0.002518774745775998
