,Recovered,Deceased,Infected,I_c
0,0,0,1.1428571428571428,2
1,0,0,1.2857142857142858,2
2,0,0,1.4285714285714286,2
3,0,0,2.2857142857142856,7
4,0,0,3.1428571428571432,7
5,0,0,4.142857142857143,8
6,0,0,5.142857142857143,8
7,0,0,6.428571428571429,11
8,0,0,8.0,13
9,0,0,9.714285714285714,14
10,0,0,10.714285714285714,14
11,0,0,12.142857142857142,17
12,0,0,13.571428571428573,18
13,0,0,15.857142857142858,24
14,1,0,17.714285714285715,25
15,2,0,19.142857142857142,25
16,3,1,20.142857142857142,25
17,3,1,22.0,31
18,4,1,24.142857142857146,37
19,5,1,26.714285714285715,42
20,6,2,30.0,55
21,10,2,35.57142857142857,75
22,10,2,41.57142857142857,77
23,10,2,48.0,78
24,10,2,54.0,81
25,10,2,59.57142857142857,83
26,10,2,64.57142857142857,83
27,13,2,67.57142857142857,83
28,13,2,68.28571428571429,83
29,18,2,69.14285714285714,91
30,22,2,69.57142857142857,93
31,22,2,69.57142857142857,93
32,22,2,69.28571428571429,93
33,53,2,64.57142857142857,93
34,53,2,60.28571428571429,93
35,53,2,56.14285714285714,94
36,54,2,51.57142857142857,95
37,61,2,46.57142857142857,97
38,61,2,42.285714285714285,102
39,71,2,36.57142857142857,102
40,83,2,33.714285714285715,103
41,83,2,31.0,104
42,89,2,27.285714285714285,104
43,89,2,23.714285714285715,105
44,91,2,20.571428571428573,105
45,91,2,17.714285714285715,112
46,91,2,16.285714285714285,112
47,95,2,16.142857142857142,114
48,100,2,15.285714285714285,115
49,100,2,16.714285714285715,125
50,100,2,18.142857142857142,126
51,100,2,19.857142857142858,126
52,100,2,21.142857142857142,130
53,101,2,22.142857142857146,129
54,106,2,22.714285714285715,129
55,106,2,24.0,130
56,113,2,23.142857142857146,132
57,113,2,23.0,138
58,113,2,23.0,139
59,120,3,21.428571428571427,140
60,127,4,19.142857142857142,141
61,121,4,18.857142857142858,144
62,121,4,18.714285714285715,146
63,123,4,19.0,146
64,123,4,19.285714285714285,152
65,123,4,19.428571428571427,152
66,123,4,21.857142857142854,161
67,129,4,24.857142857142854,164
68,129,4,26.714285714285715,165
69,131,4,29.285714285714285,174
70,131,4,33.0,180
71,132,4,36.142857142857146,183
72,132,5,39.42857142857143,185
73,132,5,41.714285714285715,187
74,136,5,44.714285714285715,193
75,139,5,47.42857142857143,195
76,139,5,49.57142857142857,198
77,141,5,51.0,201
78,144,5,51.714285714285715,201
79,148,5,51.85714285714285,202
80,149,5,51.85714285714285,204
81,154,5,50.85714285714285,204
82,158,5,49.85714285714285,207
83,159,5,48.28571428571429,207
84,164,5,47.85714285714285,221
85,165,4,48.0,222
86,166,4,48.714285714285715,224
87,167,4,49.57142857142857,227
88,167,4,55.0,254
89,167,4,61.42857142857143,260
90,169,4,68.71428571428571,267
91,169,4,76.28571428571429,278
92,169,4,86.57142857142857,298
93,169,4,97.85714285714286,306
94,177,5,109.57142857142857,320
95,177,5,122.28571428571428,354
96,181,5,135.71428571428572,369
97,192,7,149.14285714285714,387
98,204,7,165.28571428571428,429
99,211,8,186.7142857142857,494
100,213,8,216.85714285714286,565
101,213,9,252.0,606
102,213,9,290.85714285714283,666
103,243,9,332.57142857142856,727
104,265,9,375.0,759
105,291,9,419.57142857142856,830
106,291,11,470.8571428571428,936
107,291,12,530.0,1061
108,297,12,610.8571428571429,1259
109,298,15,694.5714285714287,1343
110,353,17,783.8571428571429,1470
111,438,17,873.2857142857142,1566
112,438,19,970.8571428571428,1670
113,497,20,1079.4285714285713,1911
114,506,23,1172.4285714285713,1938
115,506,24,1252.2857142857142,2039
116,535,25,1328.2857142857142,2122
117,613,25,1403.0,2261
118,654,25,1488.0,2385
119,688,25,1572.142857142857,2515
120,755,25,1630.5714285714291,2583
121,883,28,1688.2857142857142,2724
122,987,28,1755.0,2991
123,1356,28,1784.2857142857142,3151
124,1460,28,1834.0,3459
125,1543,31,1884.5714285714291,3634
126,1776,31,1897.0,3696
127,1845,33,1913.857142857143,3799
128,2001,34,1923.857142857143,3918
129,2177,36,1896.2857142857144,3996
130,2228,38,1930.428571428572,4272
131,2231,38,1948.5714285714291,4367
132,2438,41,1940.142857142857,4480
133,2499,41,1969.2857142857144,4633
134,2510,42,2053.0,5059
135,2614,44,2148.428571428572,5209
136,2703,45,2261.5714285714284,5323
137,2949,48,2333.0,5503
138,3318,50,2365.142857142857,5691
139,3388,49,2436.428571428572,5937
140,3470,51,2505.428571428572,6097
141,3552,52,2548.285714285714,6411
142,3652,57,2594.5714285714284,6584
143,3713,57,2675.5714285714284,6912
144,3809,59,2765.857142857143,7006
145,4128,60,2873.285714285714,7263
146,4498,61,2937.857142857143,7511
147,4593,61,3019.714285714286,7803
