,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3528870.0,530.0369999999999,3043.43,3614.24,64.3416,6725.48,0.002217877951115055
1,3528580.0,529.328,3144.35,3773.24,66.2661,6987.33,0.0022998749686856668
2,3528280.0,535.148,3241.52,3937.32,68.252,7250.6,0.0023846994696207213
3,3527980.0,544.915,3337.6,4106.36,70.2978,7517.81,0.002469523970555665
4,3527660.0,557.14,3434.16,4280.34,72.4036,7790.52,0.0025600034382198267
5,3527340.0,570.9680000000001,3532.14,4459.32,74.5698,8069.71,0.0026504829058838775
6,3527010.0,585.909,3632.1,4643.38,76.7975,8356.03,0.002743789856912371
7,3526670.0,601.684,3734.41,4832.64,79.0881,8649.97,0.002839924291305418
8,3526320.0,618.138,3839.31,5027.22,81.4431,8951.89,0.0029388862090630186
9,3525960.0,635.186,3946.98,5227.27,83.8643,9262.11,0.003040675610185062
10,3525590.0,652.784,4057.55,5432.91,86.3533,9580.9,0.0031452924946716587
11,3525210.0,670.914,4171.13,5644.32,88.912,9908.54,0.0032527368625226982
12,3524820.0,689.568,4287.83,5861.65,91.5423,10245.3,0.0033630087137381803
13,3524420.0,708.7489999999999,4407.74,6085.05,94.2461,10591.4,0.003476108048318327
14,3524010.0,728.465,4530.95,6314.7,97.0256,10947.1,0.0035920348662629165
15,3523590.0,748.7260000000001,4657.56,6550.76,99.8827,11312.8,0.0037107891675719484
16,3523150.0,769.545,4787.65,6793.43,102.82,11688.6,0.0038351984356099766
17,3522700.0,790.934,4921.34,7042.87,105.839,12074.8,0.0039624351870125585
18,3522240.0,812.908,5058.7,7299.27,108.94200000000001,12471.8,0.004092499421779694
19,3521770.0,835.4810000000001,5199.85,7562.83,112.132,12879.8,0.004225391139911272
20,3521280.0,858.67,5344.88,7833.74,115.411,13299.1,0.004363937824771846
21,3520790.0,882.49,5493.9,8112.2,118.781,13730.1,0.004502484509632421
22,3520270.0,906.9580000000001,5647.01,8398.43,122.245,14173.0,0.004649513644586434
23,3519740.0,932.09,5804.32,8692.63,125.806,14628.2,0.004799370262905112
24,3519200.0,957.904,5965.94,8995.03,129.466,15096.0,0.004952054364588121
25,3518650.0,984.4169999999999,6132.0,9305.84,133.22799999999998,15576.8,0.005107565949635684
26,3518070.0,1011.65,6302.59,9625.31,137.094,16070.9,0.005271559984776797
27,3517480.0,1039.61,6477.86,9953.66,141.06799999999998,16578.6,0.005438381503282463
28,3516880.0,1068.33,6657.91,10291.1,145.153,17100.3,0.0056080305051525725
29,3516260.0,1097.83,6842.87,10638.0,149.351,17636.5,0.005783334473751678
30,3515620.0,1128.12,7032.88,10994.5,153.666,18187.5,0.0059642934090797795
31,3514960.0,1159.22,7228.07,11360.9,158.1,18753.6,0.006150907311136877
32,3514290.0,1191.16,7428.56,11737.4,162.657,19335.4,0.006340348696558418
33,3513600.0,1223.95,7634.5,12124.4,167.34099999999998,19933.2,0.006535445048709065
34,3512890.0,1257.62,7846.04,12522.1,172.155,20547.4,0.006736196367588709
35,3512160.0,1292.19,8063.31,12930.9,177.102,21178.5,0.0069426026531972385
36,3511400.0,1327.68,8286.46,13350.9,182.18599999999998,21827.0,0.0071574913888994285
37,3510630.0,1364.11,8515.65,13782.6,187.41,22493.3,0.007375207607966061
38,3509840.0,1401.52,8751.03,14226.2,192.78,23177.8,0.00759857879376169
39,3509030.0,1439.91,8992.77,14682.1,198.297,23881.1,0.007827604946286315
40,3508190.0,1479.32,9241.01,15150.5,203.967,24603.7,0.00806511354890449
41,3507330.0,1519.78,9495.94,15631.9,209.793,25346.0,0.00830827711825155
42,3506450.0,1561.3,9757.71,16126.6,215.78,26108.6,0.008557095654327718
