,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5324710.0,929.925,2985.18,16683.9,256.228,19927.2,0.005251251723624506
1,5324480.0,917.8660000000001,2982.72,16868.0,259.327,20111.9,0.0052942197373010424
2,5324250.0,907.827,2978.28,17051.9,262.423,20294.5,0.005337187750977579
3,5324020.0,899.345,2972.31,17235.5,265.513,20475.1,0.005380155764654115
4,5323790.0,892.063,2965.19,17418.7,268.596,20654.3,0.005423123778330652
5,5323570.0,885.706,2957.18,17601.4,271.672,20832.0,0.005464223617499542
6,5323340.0,880.063,2948.49,17783.6,274.738,21008.6,0.005507191631175967
7,5323120.0,874.9730000000001,2939.3,17965.2,277.796,21184.1,0.005548291470344857
8,5322890.0,870.309,2929.72,18146.3,280.844,21358.6,0.005591259484021394
9,5322670.0,865.977,2919.85,18326.7,283.881,21532.2,0.0056323593231902835
10,5322450.0,861.9010000000001,2909.77,18506.6,286.908,21705.0,0.0056734591623591735
11,5322230.0,858.025,2899.54,18685.8,289.925,21877.0,0.005714559001527952
12,5322010.0,854.305,2889.19,18864.4,292.931,22048.2,0.005755658840696842
13,5321790.0,850.7080000000001,2878.76,19042.3,295.926,22218.7,0.005796758679865732
14,5321570.0,847.2080000000001,2868.27,19219.6,298.911,22388.5,0.005837858519034511
15,5321350.0,843.784,2857.76,19396.3,301.884,22557.6,0.005878958358203401
16,5321140.0,840.421,2847.22,19572.2,304.847,22726.0,0.0059181900228645334
17,5320920.0,837.1080000000001,2836.68,19747.6,307.798,22893.7,0.005959289862033423
18,5320700.0,833.835,2826.14,19922.3,310.73900000000003,23060.8,0.006000389701202313
19,5320490.0,830.596,2815.61,20096.3,313.66900000000004,23227.3,0.006039621365863446
20,5320280.0,827.385,2805.1,20269.7,316.587,23393.1,0.006078853030524689
21,5320060.0,824.197,2794.61,20442.5,319.495,23558.2,0.006119952869693468
22,5319850.0,821.0310000000001,2784.13,20614.6,322.392,23722.7,0.006159184534354711
23,5319640.0,817.882,2773.69,20786.0,325.278,23886.6,0.006198416199015844
24,5319430.0,814.75,2763.27,20956.8,328.154,24049.9,0.006237647863677087
25,5319220.0,811.633,2752.87,21127.0,331.01800000000003,24212.5,0.0062768795283382195
26,5319010.0,808.529,2742.51,21296.5,333.87199999999996,24374.5,0.006316111192999463
27,5318800.0,805.439,2732.17,21465.4,336.715,24535.9,0.006355342857660595
28,5318590.0,802.36,2721.87,21633.7,339.54699999999997,24696.7,0.006394574522321839
29,5318390.0,799.293,2711.6,21801.3,342.369,24856.9,0.0064319380124753245
30,5318180.0,796.238,2701.36,21968.3,345.17900000000003,25016.4,0.006471169677136457
31,5317980.0,793.193,2691.15,22134.6,347.98,25175.4,0.006508533167289943
32,5317770.0,790.159,2680.97,22300.4,350.769,25333.7,0.006547764831951186
33,5317570.0,787.1360000000001,2670.82,22465.5,353.548,25491.4,0.006585128322104672
34,5317370.0,784.123,2660.71,22629.9,356.31699999999995,25648.5,0.006622491812258158
35,5317170.0,781.12,2650.63,22793.8,359.075,25805.1,0.006659855302411644
36,5316960.0,778.127,2640.58,22957.0,361.82300000000004,25961.0,0.006699086967072887
37,5316760.0,775.1439999999999,2630.56,23119.6,364.56,26116.3,0.006736450457226373
38,5316560.0,772.171,2620.57,23281.6,367.287,26271.0,0.006773813947379859
39,5316370.0,769.2080000000001,2610.62,23443.0,370.00300000000004,26425.2,0.006809309263025698
40,5316170.0,766.255,2600.69,23603.8,372.71,26578.7,0.006846672753179184
41,5315970.0,763.312,2590.8,23763.9,375.405,26731.7,0.00688403624333267
42,5315770.0,760.3789999999999,2580.94,23923.5,378.091,26884.0,0.0069213997334862665
43,5315580.0,757.455,2571.12,24082.4,380.76599999999996,27035.8,0.006956895049132106
44,5315380.0,754.541,2561.32,24240.8,383.43199999999996,27187.0,0.006994258539285592
45,5315190.0,751.637,2551.56,24398.5,386.087,27337.6,0.007029753854931431
46,5315000.0,748.742,2541.82,24555.6,388.73199999999997,27487.7,0.00706524917057727
47,5314800.0,745.857,2532.12,24712.1,391.36699999999996,27637.1,0.007102612660730756
48,5314610.0,742.982,2522.46,24868.1,393.991,27786.0,0.007138107976376595
49,5314420.0,740.1160000000001,2512.82,25023.4,396.606,27934.3,0.007173603292022435
50,5314230.0,737.26,2503.21,25178.1,399.211,28082.0,0.007209098607668274
51,5314040.0,734.414,2493.64,25332.3,401.806,28229.2,0.007244593923314002
52,5313850.0,731.577,2484.09,25485.9,404.39,28375.8,0.0072800892389598415
53,5313660.0,728.7489999999999,2474.58,25638.8,406.965,28521.8,0.007315584554605681
54,5313480.0,725.931,2465.1,25791.2,409.531,28667.3,0.0073492116957438736
55,5313290.0,723.123,2455.65,25943.0,412.086,28812.2,0.007384707011389713
56,5313100.0,720.324,2446.23,26094.2,414.631,28956.5,0.007420202327035552
57,5312920.0,717.534,2436.85,26244.9,417.167,29100.3,0.007453829468173634
58,5312730.0,714.7539999999999,2427.49,26394.9,419.69300000000004,29243.5,0.007489324783819473
59,5312550.0,711.9830000000001,2418.16,26544.4,422.209,29386.2,0.007522951924957666
60,5312370.0,709.222,2408.87,26693.3,424.716,29528.3,0.007556579066095859
61,5312180.0,706.4689999999999,2399.61,26841.7,427.213,29669.9,0.007592074381741698
62,5312000.0,703.727,2390.37,26989.4,429.7,29810.9,0.00762570152287978
63,5311820.0,700.993,2381.17,27136.6,432.17800000000005,29951.4,0.0076593286640179725
64,5311640.0,698.2689999999999,2372.0,27283.3,434.64599999999996,30091.3,0.007692955805156165
65,5311460.0,695.554,2362.86,27429.3,437.105,30230.7,0.007726582946294247
66,5311280.0,692.8480000000001,2353.75,27574.8,439.55400000000003,30369.5,0.00776021008743244
67,5311100.0,690.1519999999999,2344.67,27719.8,441.994,30507.8,0.0077938372285706325
68,5310920.0,687.465,2335.62,27864.2,444.425,30645.6,0.007827464369708714
69,5310750.0,684.7869999999999,2326.6,28008.0,446.846,30782.8,0.00785922333633926
70,5310570.0,682.118,2317.61,28151.3,449.25699999999995,30919.5,0.007892850477477342
71,5310400.0,679.4580000000001,2308.65,28294.0,451.66,31055.6,0.007924609444107888
72,5310220.0,676.808,2299.72,28436.2,454.05300000000005,31191.3,0.00795823658524597
73,5310050.0,674.166,2290.82,28577.8,456.43699999999995,31326.4,0.007989995551876516
74,5309870.0,671.534,2281.95,28718.8,458.811,31460.9,0.008023622693014598
75,5309700.0,668.9110000000001,2273.11,28859.4,461.17699999999996,31595.0,0.008055381659645144
76,5309530.0,666.296,2264.3,28999.3,463.533,31728.5,0.00808714062627558
