,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,3,3
2,0,0,3,3
3,0,0,3,3
4,0,0,3,3
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,6,6
9,0,0,6,6
10,0,0,6,6
11,0,0,6,6
12,0,0,6,6
13,0,0,6,6
14,0,0,6,6
15,0,0,6,6
16,0,0,6,6
17,0,0,6,6
18,0,0,6,6
19,1,0,5,6
20,3,0,3,6
21,5,0,1,6
22,5,0,1,6
23,6,0,0,6
24,6,0,0,6
25,6,0,0,6
26,6,0,0,6
27,6,0,0,6
28,6,0,0,6
29,6,0,0,6
30,6,0,0,6
31,6,0,0,6
32,6,0,0,6
33,6,0,0,6
34,6,0,0,6
35,6,0,0,6
36,6,0,0,6
37,6,0,0,6
38,6,0,0,6
39,6,0,0,6
40,6,0,0,6
41,6,0,0,6
42,6,0,0,6
43,6,0,0,6
44,6,0,0,6
45,6,0,0,6
46,6,0,0,6
47,6,0,5,11
48,6,0,5,11
49,6,0,5,11
50,6,1,4,11
51,6,1,4,11
52,6,1,6,13
53,6,1,6,13
54,6,1,7,14
55,6,1,8,15
56,9,1,5,15
57,11,1,3,15
58,11,1,6,18
59,11,1,7,19
60,11,1,7,19
61,11,1,19,31
62,11,1,19,31
63,11,1,24,36
64,11,1,24,36
65,11,1,24,36
66,11,1,24,36
67,11,1,25,37
68,11,1,25,37
69,11,1,25,37
70,11,1,26,38
71,10,1,27,38
72,11,1,26,38
73,11,1,27,39
74,11,1,27,39
75,11,1,31,43
76,11,1,35,47
77,11,1,35,47
78,11,1,39,51
79,11,1,39,51
80,11,1,46,58
81,14,4,52,70
82,14,4,55,73
83,14,4,60,78
84,14,4,87,105
85,14,4,90,108
86,14,4,111,129
87,14,4,140,158
88,46,4,113,163
89,46,5,156,207
90,46,6,166,218
91,46,6,166,218
92,46,6,234,286
93,46,6,234,286
94,46,7,270,323
95,46,7,286,339
96,46,7,287,340
97,46,7,292,345
98,46,7,311,364
99,46,7,332,385
100,46,7,346,399
101,46,7,356,409
102,46,7,387,440
103,46,7,420,473
104,46,7,514,567
105,46,7,584,637
106,46,7,792,845
107,247,7,686,940
108,247,7,825,1079
109,247,7,986,1240
110,247,9,1010,1266
111,247,9,1164,1420
112,247,9,1377,1633
113,247,10,1514,1771
114,247,10,1621,1878
115,247,10,1670,1927
116,247,10,1894,2151
117,443,10,1803,2256
118,532,10,1807,2349
119,532,10,1845,2387
120,648,10,1731,2389
121,704,10,1757,2471
122,744,10,1827,2581
123,776,10,1829,2615
124,796,10,1928,2734
125,810,10,1980,2800
126,912,10,1973,2895
127,1029,10,1906,2945
128,1089,10,1874,2973
129,1104,10,2041,3155
130,1839,10,1376,3225
131,2009,15,1240,3264
132,2088,17,1311,3416
133,2108,17,1378,3503
134,2752,17,759,3528
135,2909,20,722,3651
136,2972,21,726,3719
137,3179,21,596,3796
138,3226,21,628,3875
139,3271,21,649,3941
140,3291,21,664,3976
141,3381,21,609,4011
142,3479,22,573,4074
143,3523,24,663,4210
144,3559,27,683,4269
145,3617,27,839,4483
146,4014,27,624,4665
147,4014,29,677,4720
148,4014,30,749,4793
149,4052,32,854,4938
150,4192,32,860,5084
151,4299,39,906,5244
152,4400,43,1005,5448
153,4558,46,968,5572
154,4617,46,1002,5665
155,4560,47,1135,5742
156,4590,48,1208,5846
157,4704,50,1171,5925
158,4772,50,1180,6002
159,4861,54,1233,6148
160,4916,56,1387,6359
161,4983,56,1536,6575
162,5007,57,1786,6850
163,5117,60,1816,6993
164,5294,66,1805,7165
165,5410,66,1755,7231
166,5541,73,1729,7343
167,5632,73,1827,7532
168,5708,74,1929,7711
169,5796,75,1954,7825
170,5996,77,1832,7905
171,6217,83,1733,8033
172,6270,83,1869,8222
173,6373,86,2071,8530
174,6483,89,2199,8771
175,6561,91,2332,8984
176,6769,91,2234,9094
177,7073,91,2235,9399
178,7728,95,1764,9587
179,7728,95,1764,9587
