,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,13624400.0,2.7370900000000002,2.5513,0.0392176,0.008932899999999999,2.59548,5.137838292590402e-07
1,13624400.0,2.4168,3.79235,0.108385,0.024687599999999997,3.9197900000000003,5.137838292590402e-07
2,13624400.0,2.37445,4.91245,0.202958,0.046229400000000004,5.15578,5.137838292590402e-07
3,13624400.0,2.51816,6.031630000000001,0.321693,0.0732745,6.42149,5.137838292590402e-07
4,13624400.0,2.79892,7.231510000000001,0.46549700000000005,0.10603,7.79939,5.137838292590402e-07
5,13624400.0,3.1933599999999998,8.57348,0.6368090000000001,0.14505099999999999,9.35375,5.137838292590402e-07
6,13624400.0,3.69381,10.1097,0.83929,0.191172,11.1411,5.137838292590402e-07
7,13624400.0,4.30276,11.8896,1.07769,0.24547399999999997,13.217,5.137838292590402e-07
8,13624400.0,5.0298,13.9648,1.35786,0.309291,15.6399,5.137838292590402e-07
9,13624400.0,5.89002,16.3917,1.68681,0.38421900000000003,18.4751,5.137838292590402e-07
10,13624400.0,6.903389999999999,19.2342,2.07286,0.472152,21.7969,5.137838292590402e-07
11,13624400.0,8.09459,22.5662,2.52582,0.575325,25.6912,5.137838292590402e-07
12,13624400.0,9.49337,26.4732,3.05721,0.696365,30.258000000000003,5.137838292590402e-07
13,13624400.0,11.135,31.0556,3.6806,0.83836,35.6143,5.137838292590402e-07
14,13624400.0,13.0613,36.4305,4.4118900000000005,1.0049299999999999,41.897,5.137838292590402e-07
15,13624300.0,15.3211,42.7351,5.26973,1.20033,49.2667,7.853552818848364e-06
16,13624300.0,17.9722,50.1307,6.27604,1.42954,57.9115,7.853552818848364e-06
17,13624300.0,21.0822,58.8059,7.45649,1.69842,68.0522,7.853552818848364e-06
18,13624300.0,13.5606,65.9835,8.8193,2.00884,76.86399999999999,7.853552818848364e-06
19,13624300.0,9.18554,69.9877,10.3009,2.34631,82.6645,7.853552818848364e-06
20,13624300.0,6.63788,72.1498,11.8479,2.69868,86.7126,7.853552818848364e-06
21,13624300.0,5.15156,73.2428,13.4293,3.0588900000000003,89.7395,7.853552818848364e-06
22,13624300.0,4.28166,73.7158,15.0272,3.42286,92.1699,7.853552818848364e-06
23,13624300.0,3.76979,73.8296,16.6311,3.7882,94.2503,7.853552818848364e-06
24,13624300.0,3.4658900000000004,73.7356,18.2351,4.15356,96.1241,7.853552818848364e-06
25,13624300.0,3.28281,73.5217,19.8357,4.51813,97.8743,7.853552818848364e-06
26,13624300.0,3.1699200000000003,73.23899999999999,21.4308,4.88145,99.5495,7.853552818848364e-06
27,13624300.0,3.09784,72.9172,23.0192,5.24327,101.178,7.853552818848364e-06
28,13624300.0,3.04949,72.5734,24.6005,5.60344,102.775,7.853552818848364e-06
29,13624300.0,3.01496,72.2178,26.1741,5.961869999999999,104.351,7.853552818848364e-06
30,13624300.0,2.98848,71.85600000000001,27.7399,6.31853,105.912,7.853552818848364e-06
31,13624300.0,2.96671,71.4915,29.2978,6.67338,107.46,7.853552818848364e-06
32,13624300.0,2.94772,71.1262,30.8478,7.02643,108.99799999999999,7.853552818848364e-06
