,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,0,0,1,1
22,0,0,1,1
23,0,0,1,1
24,0,0,1,1
25,0,0,1,1
26,0,0,1,1
27,0,0,1,1
28,0,0,1,1
29,0,0,1,1
30,0,0,1,1
31,0,0,1,1
32,1,0,0,1
33,1,0,0,1
34,1,0,0,1
35,1,0,0,1
36,1,0,0,1
37,1,0,0,1
38,1,0,0,1
39,1,0,0,1
40,1,0,0,1
41,1,0,0,1
42,1,0,0,1
43,1,0,0,1
44,1,0,3,4
45,1,0,6,7
46,1,0,6,7
47,1,0,6,7
48,1,0,6,7
49,1,0,6,7
50,1,0,6,7
51,1,0,8,9
52,1,0,8,9
53,1,0,8,9
54,1,0,8,9
55,1,0,9,10
56,1,0,9,10
57,1,0,9,10
58,1,0,10,11
59,1,0,10,11
60,5,0,6,11
61,5,0,6,11
62,5,0,26,31
63,5,0,26,31
64,5,0,32,37
65,5,0,33,38
66,5,0,34,39
67,9,0,30,39
68,9,0,31,40
69,9,0,31,40
70,9,0,31,40
71,9,0,31,40
72,12,0,28,40
73,24,0,16,40
74,23,0,17,40
75,23,0,17,40
76,23,0,17,40
77,23,0,17,40
78,23,0,17,40
79,39,0,4,43
80,38,0,5,43
81,38,0,5,43
82,38,0,5,43
83,38,0,5,43
84,38,0,5,43
85,38,0,5,43
86,38,0,5,43
87,38,0,5,43
88,41,0,2,43
89,41,0,4,45
90,41,0,4,45
91,41,0,6,47
92,41,0,6,47
93,41,0,7,48
94,41,0,9,50
95,41,0,16,57
96,41,0,18,59
97,43,0,19,62
98,43,0,31,74
99,43,0,34,77
100,43,0,37,80
101,48,0,32,80
102,48,0,35,83
103,48,0,41,89
104,52,0,38,90
105,64,0,28,92
106,64,0,30,94
107,70,0,24,94
108,70,0,33,103
109,73,0,30,103
110,73,0,38,111
111,74,0,47,121
112,74,1,58,133
113,74,1,79,154
114,74,1,103,178
115,74,1,125,200
116,108,1,108,217
117,112,3,131,246
118,112,3,154,269
119,121,3,185,309
120,121,3,195,319
121,131,6,195,332
122,134,6,208,348
123,134,6,261,401
124,146,6,300,452
125,146,6,366,518
126,160,6,404,570
127,160,6,451,617
128,186,6,460,652
129,258,9,445,712
130,258,9,491,758
131,258,9,524,791
132,337,12,454,803
133,379,12,436,827
134,451,12,422,885
135,459,12,471,942
136,480,12,513,1005
137,505,14,584,1103
138,511,14,616,1141
139,531,14,643,1188
140,555,14,680,1249
141,637,14,665,1316
142,680,14,699,1393
143,843,14,570,1427
144,843,14,641,1498
145,960,14,545,1519
146,1030,14,516,1560
147,1109,14,484,1607
148,1109,14,544,1667
149,1130,14,621,1765
150,1284,14,556,1854
151,1376,17,532,1925
152,1455,17,481,1953
153,1469,20,578,2067
154,1471,20,654,2145
155,1510,20,676,2206
156,1588,20,748,2356
157,1616,20,820,2456
158,1616,22,913,2551
159,1616,22,1199,2837
160,1679,22,1300,3001
161,1770,25,1380,3175
162,1871,25,1430,3326
163,1917,25,1476,3418
164,2111,25,1522,3658
165,2160,25,1734,3919
166,2233,25,1711,3969
167,2412,25,1555,3992
168,2621,27,1438,4086
169,2712,27,1489,4228
170,3355,29,1091,4475
171,3481,33,1188,4702
172,3615,33,1286,4934
173,3629,33,1470,5132
174,3682,33,1544,5259
175,3682,33,1771,5486
176,3682,33,1923,5638
177,3866,33,1880,5779
178,4129,33,1701,5863
179,4302,33,1528,5863
180,4548,33,1608,6189
181,4548,33,1730,6311
182,4729,33,1638,6400
183,5042,33,1389,6464
184,5286,33,1224,6543
185,5367,33,1213,6613
186,5452,35,1324,6811
187,5680,35,1272,6987
188,5768,38,1367,7173
189,5906,38,1409,7353
190,5906,38,1409,7353
